,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
15,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2025-10-18 11:20:30.000,2025-10-18 11:20:25,6662.0,52.0,3921.0,143.0,3300.0,2641.0,24891.0,2025-10-15 09:21:12.000,9.6.22,433.0,325.0,6.0,43,True,,mkdocs-material,conda-forge/mkdocs-material,80448.0,74475.0,https://pypi.org/project/mkdocs-material,2025-10-15 09:21:12.000,5973.0,10600677.0,10613017.0,https://anaconda.org/conda-forge/mkdocs-material,2025-10-15 20:59:20.201,802116.0,1.0,['mkdocs'],,,,,,,,,,,,,,,,,,,
16,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2025-10-22 11:03:14.000,2025-10-22 10:59:20,15176.0,79.0,2484.0,473.0,830.0,4459.0,11160.0,2025-07-04 14:43:52.000,7.3.2,146.0,222.0,262.0,43,True,,robotframework,conda-forge/robotframework,14730.0,13733.0,https://pypi.org/project/robotframework,2025-10-07 13:19:44.000,997.0,3815074.0,3819431.0,https://anaconda.org/conda-forge/robotframework,2025-07-07 01:12:14.679,239455.0,1.0,,576.0,,,,,,,,,,,,,,,,,,
17,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2025-10-21 23:23:22.000,2025-10-21 23:23:22,22234.0,107.0,2265.0,162.0,6415.0,6117.0,7447.0,2025-03-02 22:31:56.000,8.2.3,229.0,891.0,1238.0,43,False,,sphinx,conda-forge/sphinx,492570.0,465214.0,https://pypi.org/project/sphinx,2025-03-02 22:31:56.000,27356.0,57636131.0,57828242.0,https://anaconda.org/conda-forge/sphinx,2025-09-17 17:21:40.903,12487248.0,1.0,['sphinx'],,,,,,,,,,,,,,,,,,,
18,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2025-10-23 12:21:39.000,2025-10-23 12:21:36,17499.0,149.0,1979.0,177.0,5050.0,9670.0,7141.0,2025-10-10 13:52:21.000,25.9.1,106.0,474.0,618.0,43,True,,conda,conda-forge/conda,51832.0,51749.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,83.0,7598.0,1022954.0,https://anaconda.org/conda-forge/conda,2025-10-10 15:22:06.940,65975262.0,1.0,,31767.0,,,,,,,,,,,,,,,,,,
19,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2025-10-21 20:40:54.000,2025-10-21 20:40:38,4423.0,91.0,613.0,44.0,1077.0,1178.0,6848.0,2025-10-11 13:30:57.000,7.0.0,150.0,321.0,178.0,43,True,,isort,conda-forge/isort,586036.0,563827.0,https://pypi.org/project/isort,2025-10-11 13:30:57.000,22209.0,69857685.0,69986359.0,https://anaconda.org/conda-forge/isort,2025-10-11 14:25:50.638,8106521.0,2.0,,,,,,,,,,,,,,,,,,,,
20,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2025-10-22 15:07:15.000,2025-10-22 15:07:15,3640.0,44.0,2374.0,189.0,3211.0,5748.0,33985.0,2025-09-21 14:51:46.000,2.2.1,181.0,611.0,577.0,42,True,,poetry,conda-forge/poetry,870.0,,https://pypi.org/project/poetry,2025-09-21 14:51:46.000,870.0,65974887.0,66263001.0,https://anaconda.org/conda-forge/poetry,2025-09-22 08:31:06.578,6584674.0,2.0,,15559236.0,,,,,,,,,,,,,,,,,,
21,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2025-10-16 14:34:48.000,2025-10-16 14:34:47,2781.0,24.0,897.0,89.0,1283.0,2214.0,14499.0,2025-08-09 18:59:03.000,4.3.0,198.0,165.0,29.0,42,True,,pre-commit,conda-forge/pre-commit,275046.0,254514.0,https://pypi.org/project/pre-commit,2025-08-09 18:56:13.000,20532.0,60125954.0,60306504.0,https://anaconda.org/conda-forge/pre-commit,2025-08-10 13:09:51.846,8061269.0,1.0,,3865400.0,,,,,,,,,,,,,,,,,,
22,hypothesis,HypothesisWorks/hypothesis,testing,The property-based testing library for Python.,,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2025-10-22 20:43:25.214,2025-10-22 19:22:06,16782.0,457.0,625.0,67.0,2846.0,1644.0,8142.0,2025-10-22 19:22:41.000,hypothesis-python-6.142.3,1448.0,355.0,80.0,42,True,,hypothesis,conda-forge/hypothesis,38581.0,35524.0,https://pypi.org/project/hypothesis,2025-10-22 19:22:13.000,3057.0,15315955.0,15549460.0,https://anaconda.org/conda-forge/hypothesis,2025-10-22 20:43:25.214,15177854.0,1.0,,,,,,,,,,,,,,,,,,,,
23,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2025-10-16 14:07:27.000,2025-10-16 14:06:12,2496.0,10.0,336.0,37.0,390.0,1583.0,3707.0,2025-06-20 19:31:34.000,7.3.0,94.0,178.0,22.0,42,True,,flake8,conda-forge/flake8,696316.0,669782.0,https://pypi.org/project/flake8,2025-06-20 19:31:34.000,26534.0,44377165.0,44523025.0,https://anaconda.org/conda-forge/flake8,2025-06-26 20:01:55.726,9480930.0,1.0,,,,,,,,,,,,,,,,,,,,
24,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2025-05-22 12:10:29.000,2024-11-12 13:36:45,2019.0,,1400.0,206.0,589.0,587.0,30576.0,2024-11-27 19:23:27.000,4.67.1,142.0,129.0,574.0,41,True,,tqdm,conda-forge/tqdm,1206210.0,1160030.0,https://pypi.org/project/tqdm,2024-11-24 20:12:19.000,46180.0,238567200.0,239226259.0,https://anaconda.org/conda-forge/tqdm,2025-04-22 14:56:23.993,42164243.0,1.0,,19403.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2024-12-14 01:39:50.951159,3.0,5406.0,,,,,,,,,,,,,
25,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2025-10-20 13:17:06.000,2025-10-20 13:17:06,2118.0,3.0,2550.0,226.0,1338.0,1993.0,21188.0,2024-08-30 12:24:05.000,1.6.1,62.0,262.0,128.0,41,True,,mkdocs,conda-forge/mkdocs,97166.0,90030.0,https://pypi.org/project/mkdocs,2024-08-30 12:24:05.000,7136.0,10173454.0,10185484.0,https://anaconda.org/conda-forge/mkdocs,2025-04-22 14:56:22.183,625602.0,1.0,['mkdocs'],,,,,,,,,,,,,,,,,,,
26,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2025-09-03 13:15:39.000,2025-09-03 13:15:39,8498.0,8.0,514.0,111.0,616.0,1362.0,6045.0,2024-11-11 01:41:40.000,0.19.2,35.0,176.0,91.0,41,True,,jedi,conda-forge/jedi,585037.0,583884.0,https://pypi.org/project/jedi,2024-11-11 01:41:40.000,1153.0,78502776.0,79031763.0,https://anaconda.org/conda-forge/jedi,2025-04-22 14:56:29.139,33855196.0,1.0,,,,,,,,,,,,,,,,,,,,
27,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2025-10-23 14:26:39.000,2025-10-23 14:26:37,3333.0,208.0,563.0,75.0,3001.0,1703.0,2085.0,2025-10-20 12:38:55.000,2.42.1,303.0,290.0,199.0,40,True,,sentry-sdk,conda-forge/sentry-sdk,1349.0,,https://pypi.org/project/sentry-sdk,2025-10-20 13:50:36.000,1349.0,78392860.0,78415044.0,https://anaconda.org/conda-forge/sentry-sdk,2025-10-20 15:17:04.073,1409030.0,1.0,,3864.0,,,,,,,,,,,,,,,,,,
28,pytest-asyncio,pytest-dev/pytest-asyncio,testing,Asyncio support for pytest.,,https://github.com/pytest-dev/pytest-asyncio,https://github.com/pytest-dev/pytest-asyncio,Apache-2.0,2015-04-11 00:18:05.000,2025-10-21 02:08:31.000,2025-10-21 02:01:52,1205.0,121.0,165.0,34.0,874.0,332.0,1571.0,2025-09-12 07:34:24.000,1.2.0,71.0,73.0,52.0,40,True,,pytest-asyncio,conda-forge/pytest-asyncio,171010.0,159427.0,https://pypi.org/project/pytest-asyncio,2025-09-12 07:33:52.000,11583.0,63349850.0,63391056.0,https://anaconda.org/conda-forge/pytest-asyncio,2025-09-12 13:07:58.151,2676044.0,1.0,['pytest'],1673.0,,,,,,,,,,,,,,,,,,
29,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2025-10-22 17:20:00.000,2025-10-22 16:58:55,8423.0,79.0,1745.0,130.0,2310.0,7131.0,14913.0,2025-10-22 17:08:49.430,1.1.407,491.0,131.0,138.0,39,True,,,,1461.0,1428.0,,,,,1574980.0,,,,2.0,,5576.0,,,,,,pyright,https://www.npmjs.com/package/pyright,2025-10-22 17:08:49.430,33.0,1574788.0,,,,,,,,
30,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2025-10-22 14:04:45.000,2025-10-22 14:02:32,14033.0,676.0,734.0,133.0,481.0,2530.0,14003.0,2025-10-21 10:28:45.000,2.8.4,364.0,200.0,164.0,39,True,,nuitka,conda-forge/nuitka,3607.0,3459.0,https://pypi.org/project/nuitka,2025-10-21 10:28:45.000,148.0,399639.0,434425.0,https://anaconda.org/conda-forge/nuitka,2025-10-21 12:28:34.535,2261113.0,1.0,,,,,,,,,,,,,,,,,,,,
31,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2025-10-17 16:01:24.000,2025-02-10 20:44:26,1355.0,,901.0,198.0,414.0,468.0,13954.0,2024-11-14 00:11:39.000,0.43.0,75.0,156.0,416.0,39,True,,yapf,conda-forge/yapf,108037.0,106781.0,https://pypi.org/project/yapf,2024-11-14 00:11:39.000,1256.0,11068468.0,11116696.0,https://anaconda.org/conda-forge/yapf,2025-04-22 14:56:24.153,2604333.0,2.0,,,,,,,,,,,,,,,,,,,,
32,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2025-10-21 00:45:19.000,2025-10-21 00:35:16,2359.0,90.0,628.0,97.0,1085.0,939.0,7947.0,2025-10-02 08:57:53.000,7.5.1,123.0,220.0,214.0,39,True,,pip-tools,conda-forge/pip-tools,39151.0,36361.0,https://pypi.org/project/pip-tools,2025-10-02 08:57:53.000,2790.0,20155966.0,20160122.0,https://anaconda.org/conda-forge/pip-tools,2025-10-02 17:06:17.950,270163.0,2.0,,,,,,,,,,,,,,,,,,,,
33,structlog,hynek/structlog,logging,"Simple, powerful, and fast logging for Python.",,https://github.com/hynek/structlog,https://github.com/hynek/structlog,Apache-2.0,2013-08-13 15:55:58.000,2025-10-23 13:51:03.000,2025-10-18 10:01:03,1797.0,73.0,252.0,31.0,382.0,346.0,4319.0,2025-06-02 08:21:11.000,25.4.0,41.0,136.0,39.0,39,True,,structlog,conda-forge/structlog,27598.0,26123.0,https://pypi.org/project/structlog,2025-06-02 08:21:11.000,1475.0,39961736.0,39976501.0,https://anaconda.org/conda-forge/structlog,2025-06-02 14:06:59.579,841635.0,2.0,,,,,,,,,,,,,,,,,,,,
34,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2025-10-21 09:54:03.000,2025-10-20 17:55:04,933.0,41.0,540.0,39.0,1609.0,1684.0,3850.0,2025-10-09 18:53:51.000,4.31.0,248.0,331.0,146.0,39,True,,tox,conda-forge/tox,142407.0,130672.0,https://pypi.org/project/tox,2025-10-09 18:53:51.000,11735.0,23371811.0,23395642.0,https://anaconda.org/conda-forge/tox,2025-10-09 20:04:05.472,1549074.0,1.0,['pytest'],,,,,,,,,,,,-2.0,,,,,,,
35,scons,SCons/scons,build-tools,SCons - a software construction tool.,,https://github.com/SCons/scons,https://github.com/SCons/scons,MIT,2017-09-24 19:23:46.000,2025-10-20 04:26:22.000,2025-10-20 04:26:22,9742.0,69.0,336.0,59.0,1264.0,2814.0,2297.0,2025-10-02 17:54:35.000,4.10.0,41.0,171.0,649.0,39,True,,scons,conda-forge/scons,4044.0,3988.0,https://pypi.org/project/scons,2025-10-02 17:40:14.000,56.0,987009.0,1004422.0,https://anaconda.org/conda-forge/scons,2025-10-03 10:47:38.256,1078250.0,1.0,,1814.0,,,,,,,,,,,,,,,,,,
36,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2025-10-23 06:40:07.000,2025-10-23 06:40:05,1344.0,23.0,244.0,50.0,543.0,393.0,1719.0,2025-07-01 13:31:02.000,3.8.0,71.0,109.0,287.0,39,True,,pytest-xdist,conda-forge/pytest-xdist,128244.0,122627.0,https://pypi.org/project/pytest-xdist,2025-07-01 13:30:56.000,5617.0,63331146.0,63489242.0,https://anaconda.org/conda-forge/pytest-xdist,2025-07-02 10:39:49.174,9959282.0,1.0,['pytest'],320.0,,,,,,,,,,,,,,,,,,
37,setuptools_scm,pypa/setuptools_scm,build-tools,the blessed package to manage your versions by scm tags.,,https://github.com/pypa/setuptools-scm,https://github.com/pypa/setuptools-scm,MIT,2015-07-01 17:57:56.000,2025-10-20 20:39:53.000,2025-10-19 20:57:36,2070.0,179.0,227.0,24.0,591.0,604.0,926.0,2025-10-19 22:08:04.000,9.2.2,99.0,149.0,36.0,39,True,,setuptools_scm,conda-forge/setuptools_scm,34316.0,32046.0,https://pypi.org/project/setuptools_scm,2025-10-19 22:08:04.000,2270.0,89395499.0,89481057.0,https://anaconda.org/conda-forge/setuptools_scm,2025-10-20 12:59:23.792,5561330.0,1.0,,10.0,,,,,,,,,,,-1.0,,,,,,,
38,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2025-10-23 09:48:02.000,2025-10-23 09:47:54,6571.0,138.0,1627.0,497.0,984.0,1963.0,30304.0,2025-10-08 15:45:21.000,4.3.3,124.0,211.0,147.0,38,True,,glances,conda-forge/glances,1205.0,1201.0,https://pypi.org/project/glances,2025-07-09 15:40:39.000,4.0,184007.0,191161.0,https://anaconda.org/conda-forge/glances,2025-04-22 14:56:20.672,407056.0,1.0,,1691.0,,,,,,,,,,,,,,,,,,
39,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2025-10-09 09:50:01.000,2025-10-03 13:14:25,985.0,31.0,752.0,137.0,273.0,901.0,22944.0,2024-12-06 11:25:42.000,0.7.3,22.0,68.0,234.0,38,True,,loguru,conda-forge/loguru,154955.0,143467.0,https://pypi.org/project/loguru,2024-12-06 11:20:54.000,11488.0,45071236.0,45128440.0,https://anaconda.org/conda-forge/loguru,2025-05-07 16:22:25.668,3718318.0,2.0,,,,,,,,,,,,,,,,,,,,
40,playwright-python,microsoft/playwright-python,testing,Python version of the Playwright testing and automation library.,,https://github.com/microsoft/playwright-python,https://github.com/microsoft/playwright-python,Apache-2.0,2020-07-01 15:28:13.000,2025-10-20 17:17:54.000,2025-10-07 13:36:52,999.0,23.0,1063.0,146.0,1147.0,1443.0,13825.0,2025-08-28 15:46:20.000,1.55.0,124.0,51.0,46.0,38,True,,playwright,,48947.0,46280.0,https://pypi.org/project/playwright,2025-08-28 15:46:20.000,2667.0,23114999.0,23114999.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
