,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-02-08 12:02:56.000000,2024-02-08 11:56:07,6028.0,45.0,1322.0,237.0,667.0,1419.0,9792.0,,,39.0,203.0,44,True,,270.0,psutil,conda-forge/psutil,,433330.0,433330.0,https://pypi.org/project/psutil,88262510.0,88919555.0,https://anaconda.org/conda-forge/psutil,2024-01-20 03:59:05.167,28252970.0,1.0,,,,,,,,,,,,,,,,,,,
11,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2024-02-07 06:38:38.802000,2024-02-07 03:38:25,6058.0,236.0,3120.0,124.0,2757.0,2185.0,17274.0,2024-02-07 03:39:56.000,9.5.8,195.0,252.0,43,True,,29.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],43047.0,43047.0,https://pypi.org/project/mkdocs-material,4009263.0,4017060.0,https://anaconda.org/conda-forge/mkdocs-material,2024-02-07 06:38:38.802,350866.0,1.0,,,,,,,,,,,,,,,,,,,
12,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2024-02-08 00:01:38.000000,2024-02-07 03:22:08,16709.0,115.0,1484.0,199.0,4073.0,8745.0,5972.0,2024-01-31 19:22:31.000,24.1.0,100.0,448.0,43,True,,741.0,conda,conda-forge/conda,,46621.0,45524.0,https://pypi.org/project/conda,123480.0,1212643.0,https://anaconda.org/conda-forge/conda,2023-12-04 23:31:22.998,49012359.0,1.0,2017-04-22 23:43:59.218,1097.0,,,,,,,,,,,,,,,,,
13,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2024-02-08 13:19:03.000000,2024-02-06 08:37:01,20613.0,166.0,1915.0,150.0,5169.0,5651.0,5918.0,2023-09-13 23:13:00.000,7.2.6,108.0,806.0,43,False,,1093.0,sphinx,conda-forge/sphinx,['sphinx'],357520.0,357520.0,https://pypi.org/project/sphinx,11949670.0,12143037.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8701526.0,1.0,,,,,,,,,,,,,,,,,,,
14,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2024-02-08 13:04:32.000000,2024-01-31 13:05:27,3871.0,4.0,1626.0,543.0,1067.0,1064.0,46316.0,2023-11-15 16:33:44.000,13.7.0,108.0,235.0,42,True,,167.0,rich,conda-forge/rich,,165657.0,165657.0,https://pypi.org/project/rich,42302757.0,42444246.0,https://anaconda.org/conda-forge/rich,2023-11-16 18:47:06.251,6084047.0,1.0,,,,,,,,,,,,,,,,,,,
15,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2024-02-08 13:41:00.000000,2024-02-08 04:10:46,6267.0,648.0,737.0,70.0,5900.0,3150.0,22906.0,2024-02-05 22:46:26.000,0.2.1,101.0,357.0,42,True,astral-sh/ruff,637.0,ruff,conda-forge/ruff,,32141.0,32141.0,https://pypi.org/project/ruff,10946783.0,10994693.0,https://anaconda.org/conda-forge/ruff,2024-02-06 00:19:28.630,517591.0,1.0,,,174259.0,,,,,,,,,,,,,,,,
16,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2024-02-04 21:38:46.000000,2024-01-29 21:31:12,2046.0,55.0,2283.0,234.0,1250.0,1795.0,17874.0,2023-09-18 21:27:59.000,1.5.3,29.0,246.0,42,True,,118.0,mkdocs,conda-forge/mkdocs,['mkdocs'],56318.0,56318.0,https://pypi.org/project/mkdocs,2935664.0,2945549.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,316343.0,1.0,,,,,,,,,,,,,,,,,,,
17,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2024-02-07 17:08:08.000000,2024-02-07 17:08:08,9139.0,90.0,1965.0,233.0,2328.0,4914.0,11044.0,2023-12-10 23:44:46.000,6.3.0,60.0,464.0,42,True,,279.0,pyinstaller,conda-forge/pyinstaller,,54583.0,54168.0,https://pypi.org/project/pyinstaller,2075210.0,2095347.0,https://anaconda.org/conda-forge/pyinstaller,2024-01-09 20:51:23.693,524893.0,1.0,2023-12-10 23:42:31.000,415.0,743890.0,,,,,,,,,,,,,,,,
18,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2024-02-07 09:35:40.000000,2024-02-07 09:35:39,14538.0,200.0,2181.0,476.0,707.0,4101.0,8754.0,2024-01-11 16:01:12.000,7.0,79.0,196.0,42,True,,234.0,robotframework,conda-forge/robotframework,,9808.0,9808.0,https://pypi.org/project/robotframework,2138426.0,2143284.0,https://anaconda.org/conda-forge/robotframework,2024-01-11 22:50:41.389,169890.0,1.0,,,554.0,,,,,,,,,,,,,,,,
19,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2024-02-08 02:35:20.000000,2024-02-05 15:22:05,9060.0,65.0,1031.0,77.0,4087.0,4449.0,5023.0,2023-12-11 13:19:48.000,3.0.3,83.0,554.0,42,True,pylint-dev/pylint,874.0,pylint,conda-forge/pylint,,405606.0,405606.0,https://pypi.org/project/pylint,18677356.0,18785828.0,https://anaconda.org/conda-forge/pylint,2023-12-11 15:36:48.979,4772806.0,1.0,,,,,,,,,,,,,,,,,,,
20,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2024-02-07 19:05:59.000000,2024-02-07 15:43:44,3080.0,82.0,2217.0,187.0,2649.0,4898.0,28284.0,2023-11-16 19:09:04.000,1.7.1,166.0,535.0,41,True,,678.0,poetry,conda-forge/poetry,,376.0,,https://pypi.org/project/poetry,28856900.0,29111876.0,https://anaconda.org/conda-forge/poetry,2023-11-17 02:06:37.060,1114648.0,2.0,2023-11-16 19:09:04.000,376.0,15386209.0,,,,,,,,,,,,,,,,
21,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2024-02-08 03:17:57.000000,2024-01-12 16:39:51,2629.0,18.0,788.0,86.0,1158.0,1912.0,11597.0,2023-12-09 21:29:42.000,3.6.0,188.0,156.0,41,True,,25.0,pre-commit,conda-forge/pre-commit,,179541.0,172578.0,https://pypi.org/project/pre-commit,17286459.0,17406247.0,https://anaconda.org/conda-forge/pre-commit,2023-12-10 03:04:10.677,4084628.0,1.0,2023-12-09 21:25:28.000,6963.0,947016.0,,,,,,,,,,,,,,,,
22,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2024-01-27 18:27:44.000000,2024-01-15 05:16:11,4162.0,39.0,598.0,48.0,971.0,1075.0,6220.0,2023-12-13 20:37:31.000,5.13.2,146.0,294.0,41,True,,188.0,isort,conda-forge/isort,,464499.0,445855.0,https://pypi.org/project/isort,33067814.0,33198495.0,https://anaconda.org/conda-forge/isort,2023-12-14 01:51:17.173,5619304.0,2.0,2023-12-13 20:37:23.000,18644.0,,,,,,,,,,,,,,,,,
23,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2024-02-06 07:21:45.000000,2024-01-16 16:26:23,759.0,13.0,959.0,169.0,1342.0,1288.0,4637.0,2023-12-01 16:24:25.000,20.25.0,66.0,113.0,41,True,,22.0,virtualenv,conda-forge/virtualenv,,357884.0,357884.0,https://pypi.org/project/virtualenv,113373395.0,113523878.0,https://anaconda.org/conda-forge/virtualenv,2023-12-01 19:29:52.700,6019347.0,2.0,,,,,,,,,,,,,,,,,,,
24,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2024-02-06 22:30:13.563438,2024-02-05 21:50:42,1966.0,1.0,1396.0,208.0,541.0,577.0,26977.0,2023-08-10 11:59:02.000,4.66.1,135.0,113.0,40,True,,491.0,tqdm,conda-forge/tqdm,,673608.0,644099.0,https://pypi.org/project/tqdm,88101987.0,88661883.0,https://anaconda.org/conda-forge/tqdm,2023-08-10 12:44:00.709,24627471.0,1.0,2023-08-10 11:38:57.000,29509.0,11988.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2024-02-06 22:30:13.563438,2.0,4200.0,,,,,,,,,,,
25,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2024-02-08 10:35:36.000000,2024-02-08 10:33:31,11945.0,697.0,566.0,133.0,361.0,1977.0,10430.0,2024-02-02 15:25:01.000,2.0.1,286.0,166.0,39,True,,152.0,nuitka,conda-forge/nuitka,,1852.0,1787.0,https://pypi.org/project/nuitka,113871.0,127668.0,https://anaconda.org/conda-forge/nuitka,2024-02-03 07:59:34.741,620901.0,1.0,2024-02-02 15:25:01.000,65.0,,,,,,,,,,,,,,,,,
26,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2024-02-08 00:58:01.000000,2024-02-07 00:38:59,7139.0,334.0,1287.0,115.0,1201.0,5185.0,11595.0,2024-02-05 16:49:18.000,1.1.350,434.0,107.0,38,True,,21.0,,,,750.0,738.0,,,1037229.0,,,,2.0,,,1568.0,,,,,,pyright,https://www.npmjs.com/package/pyright,2024-02-05 16:38:42.139,12.0,1037151.0,,,,,,
27,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,,2013-03-10 13:51:19.000,2024-02-08 06:54:26.898000,2024-02-08 05:43:49,13983.0,618.0,555.0,73.0,2385.0,1447.0,7135.0,2023-04-26 08:30:52.000,hypothesis-python-6.74.0,753.0,322.0,38,False,,39.0,hypothesis,conda-forge/hypothesis,,24844.0,24844.0,https://pypi.org/project/hypothesis,5825585.0,6012135.0,https://anaconda.org/conda-forge/hypothesis,2024-02-08 06:54:26.898,8394759.0,1.0,,,,,,,,,,,,,,,,,,,
28,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2024-02-05 14:41:00.000000,2024-02-05 14:40:59,1346.0,21.0,554.0,65.0,426.0,476.0,5779.0,2024-01-23 21:10:23.000,1.7.7,14.0,175.0,38,True,,159.0,bandit,conda-forge/bandit,,46931.0,46931.0,https://pypi.org/project/bandit,4134174.0,4141320.0,https://anaconda.org/conda-forge/bandit,2024-01-26 11:30:27.704,285421.0,1.0,,,760.0,,,,,,,,,,,,,,,,
29,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2024-02-07 22:05:41.000000,2024-01-26 16:15:37,8411.0,9.0,490.0,114.0,594.0,1326.0,5603.0,,,23.0,167.0,38,False,,56.0,jedi,conda-forge/jedi,,392809.0,392809.0,https://pypi.org/project/jedi,33108653.0,33574862.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,20513198.0,1.0,,,,,,,,,,,,,,,,,,,
30,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2024-02-06 22:59:27.000000,2024-02-06 22:30:26,702.0,34.0,481.0,42.0,1399.0,1595.0,3449.0,2024-01-17 04:16:15.000,4.12.1,92.0,71.0,38,True,,88.0,tox,conda-forge/tox,['pytest'],110415.0,110415.0,https://pypi.org/project/tox,12984780.0,13003919.0,https://anaconda.org/conda-forge/tox,2024-01-17 13:37:29.011,861266.0,1.0,,,,,,,,,,,,,,,,,,,
31,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,,2014-09-13 17:06:24.000,2024-02-07 14:51:59.000000,2024-01-08 22:40:02,2446.0,18.0,290.0,37.0,358.0,1530.0,3172.0,,,31.0,174.0,38,False,,22.0,flake8,conda-forge/flake8,,525373.0,525373.0,https://pypi.org/project/flake8,26966035.0,27122836.0,https://anaconda.org/conda-forge/flake8,2024-01-05 19:47:00.587,7056049.0,1.0,,,,,,,,,,,,,,,,,,,
32,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2024-02-01 15:30:25.000000,2024-01-17 19:36:10,686.0,10.0,235.0,28.0,421.0,283.0,563.0,2023-10-01 13:50:29.000,23.2,43.0,105.0,38,True,,74.0,packaging,conda-forge/packaging,,1062615.0,1042438.0,https://pypi.org/project/packaging,274559848.0,275503897.0,https://anaconda.org/conda-forge/packaging,2023-10-01 23:22:47.528,42481599.0,2.0,2023-10-01 13:50:03.000,20177.0,770.0,,,,,,,,,,,,,,,,
33,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2024-02-03 16:35:34.000000,2024-02-03 13:51:39,802.0,26.0,651.0,138.0,164.0,773.0,17351.0,2023-09-11 15:25:24.000,0.7.2,21.0,52.0,37,True,,138.0,loguru,conda-forge/loguru,,74569.0,74569.0,https://pypi.org/project/loguru,14507331.0,14551025.0,https://anaconda.org/conda-forge/loguru,2023-09-24 09:55:27.841,1966249.0,1.0,,,,,,,,,,,,,,,,,,,
34,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2024-02-05 22:30:27.000000,2024-02-05 22:30:20,1338.0,2.0,868.0,213.0,362.0,462.0,13577.0,,,26.0,152.0,37,True,,363.0,yapf,conda-forge/yapf,,89669.0,89669.0,https://pypi.org/project/yapf,5234354.0,5284704.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1711907.0,2.0,,,,,,,,,,,,,,,,,,,
35,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2024-01-30 14:57:45.000000,2024-01-29 19:01:38,2097.0,37.0,612.0,103.0,989.0,883.0,7333.0,2023-08-08 23:35:03.000,7.3.0,67.0,208.0,37,True,,164.0,pip-tools,conda-forge/pip-tools,,25595.0,25595.0,https://pypi.org/project/pip-tools,11785178.0,11788216.0,https://anaconda.org/conda-forge/pip-tools,2023-08-09 01:51:06.267,136731.0,2.0,,,,,,,,,,,,,,,,,,,
36,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2024-01-25 20:03:16.000000,2024-01-25 20:03:15,1481.0,5.0,1783.0,167.0,711.0,622.0,4552.0,2023-11-28 04:13:59.000,2.0.0,52.0,116.0,37,True,,246.0,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],8212.0,16.0,https://pypi.org/project/sphinx_rtd_theme,3974264.0,4058396.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2023-11-28 15:01:30.175,3701840.0,2.0,2023-11-28 04:13:59.000,8196.0,,,,,,,,,,,,,,,,,
37,structlog,hynek/structlog,logging,"Simple, powerful, and fast logging for Python.",,https://github.com/hynek/structlog,https://github.com/hynek/structlog,Apache-2.0,2013-08-13 15:55:58.000,2024-02-07 10:08:39.000000,2024-02-07 10:08:38,1535.0,66.0,197.0,33.0,287.0,283.0,2975.0,2024-01-08 09:52:50.000,24.1.0,34.0,111.0,37,True,,25.0,structlog,conda-forge/structlog,,11881.0,10726.0,https://pypi.org/project/structlog,10292190.0,10301911.0,https://anaconda.org/conda-forge/structlog,2023-10-09 17:50:22.949,359684.0,1.0,2024-01-08 09:52:50.000,1155.0,,,,,,,,,,,,,,,,,
38,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2024-02-01 23:24:32.000000,2024-01-06 03:05:03,1109.0,26.0,300.0,39.0,552.0,427.0,1504.0,2022-12-01 01:51:31.000,4.0.2,52.0,118.0,37,True,,52.0,twine,conda-forge/twine,,116364.0,100158.0,https://pypi.org/project/twine,4134662.0,4144819.0,https://anaconda.org/conda-forge/twine,2023-06-16 13:23:13.063,914166.0,1.0,2022-12-01 01:49:17.129,16206.0,,,,,,,,,,,,,,,,,
39,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2024-02-05 20:15:32.000000,2024-02-05 20:15:32,924.0,14.0,133.0,34.0,219.0,343.0,469.0,2023-11-26 14:37:13.000,0.42.0,34.0,79.0,37,True,,40.0,wheel,conda-forge/wheel,,251283.0,251283.0,https://pypi.org/project/wheel,332038825.0,334057737.0,https://anaconda.org/conda-forge/wheel,2023-11-26 15:42:45.198,84794309.0,1.0,,,,,,,,,,,,,,,,,,,
40,PDM,pdm-project/pdm,dependency-managers,A modern Python package and dependency manager supporting the latest PEP standards.,,https://github.com/pdm-project/pdm,https://github.com/pdm-project/pdm,MIT,2019-12-27 03:50:57.000,2024-02-06 08:18:30.000000,2024-02-06 08:18:29,2609.0,114.0,308.0,29.0,902.0,1390.0,6119.0,2024-02-01 05:03:18.000,2.12.3,100.0,167.0,36,True,,41.0,pdm,conda-forge/pdm,,237.0,237.0,https://pypi.org/project/pdm,711199.0,719458.0,https://anaconda.org/conda-forge/pdm,2024-02-01 06:53:12.992,239537.0,2.0,,,4.0,,,,,,,,,,,,,,,,
41,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2024-02-06 03:19:06.000000,2024-02-02 21:10:10,24712.0,432.0,1657.0,200.0,5780.0,878.0,5139.0,2024-01-25 20:32:45.000,3.11.0,129.0,857.0,36,True,,706.0,buildbot,conda-forge/buildbot,,803.0,345.0,https://pypi.org/project/buildbot,22306.0,24862.0,https://anaconda.org/conda-forge/buildbot,2024-01-25 22:08:36.918,92438.0,2.0,2024-01-25 20:32:45.000,458.0,36707.0,,,,,,,,,,,,,,,,
42,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2024-01-23 07:06:05.000000,2023-10-27 07:04:25,2846.0,,288.0,72.0,236.0,362.0,4478.0,2023-08-26 13:59:08.000,2.0.4,25.0,60.0,36,True,,125.0,autopep8,conda-forge/autopep8,,201123.0,201123.0,https://pypi.org/project/autopep8,4092319.0,4124357.0,https://anaconda.org/conda-forge/autopep8,2023-08-26 14:51:03.645,1409675.0,3.0,,,,,,,,,,,,,,,,,,,
