,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
23,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-10-27 16:01:35.000,2023-10-25 18:00:01,1331.0,30.0,933.0,215.0,353.0,365.0,458.0,13468.0,2023-09-22 18:40:43.000,0.40.2,74.0,150.0,41,True,,yapf,conda-forge/yapf,,88156.0,85842.0,https://pypi.org/project/yapf,4964075.0,5017278.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1649294.0,2.0,2023-09-22 18:40:43.000,2314.0,,,,,,,,,,,,,,,,,
24,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-10-22 14:23:40.000,2023-10-21 09:21:23,4116.0,20.0,541.0,48.0,953.0,178.0,1064.0,6119.0,2023-01-31 16:31:31.154,5.8.0,143.0,288.0,40,True,,isort,conda-forge/isort,,442524.0,424442.0,https://pypi.org/project/isort,27006355.0,27068307.0,https://anaconda.org/conda-forge/isort,2023-06-16 13:18:02.201,5451780.0,2.0,2023-01-31 16:31:31.154,18082.0,,,,,,,,,,,,,,,,,
25,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-11-01 18:41:21.000,2023-11-01 18:41:20,743.0,36.0,948.0,171.0,1323.0,18.0,1284.0,4576.0,2023-10-23 18:36:13.000,20.24.6,64.0,112.0,40,True,,virtualenv,conda-forge/virtualenv,,330105.0,330105.0,https://pypi.org/project/virtualenv,104425308.0,104575419.0,https://anaconda.org/conda-forge/virtualenv,2023-10-23 20:27:05.672,5554116.0,2.0,,,,,,,,,,,,,,,,,,,
26,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-11-02 04:53:54.000,2023-11-01 18:19:31,2057.0,58.0,597.0,103.0,977.0,162.0,860.0,7174.0,2023-08-08 23:42:23.000,7.3.0,119.0,204.0,39,True,,pip-tools,conda-forge/pip-tools,,26031.0,23519.0,https://pypi.org/project/pip-tools,11280318.0,11283369.0,https://anaconda.org/conda-forge/pip-tools,2023-08-09 01:51:06.267,128170.0,2.0,2023-08-08 23:42:23.000,2512.0,,,,,,,,,,,,,,,,,
27,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2023-10-18 21:45:39.000,2023-10-04 07:41:55,8402.0,16.0,485.0,114.0,590.0,48.0,1322.0,5540.0,,,23.0,165.0,39,False,,jedi,conda-forge/jedi,,360353.0,360353.0,https://pypi.org/project/jedi,32333781.0,32814050.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,19691049.0,1.0,,,,,,,,,,,,,,,,,,,
28,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-10-30 18:43:59.000,2023-10-30 18:43:58,667.0,46.0,473.0,43.0,1362.0,73.0,1586.0,3389.0,2023-09-08 22:44:51.000,4.11.3,89.0,65.0,39,True,,tox,conda-forge/tox,['pytest'],106370.0,106370.0,https://pypi.org/project/tox,13419146.0,13438717.0,https://anaconda.org/conda-forge/tox,2023-09-09 02:01:04.061,821985.0,1.0,,,,,,,,,,,,,,,,,,,
29,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-11-02 14:16:45.000,2023-11-02 14:10:41,1971.0,100.0,412.0,71.0,1390.0,171.0,886.0,1643.0,2023-10-31 16:00:37.000,1.33.1,202.0,194.0,39,True,,sentry-sdk,conda-forge/sentry-sdk,,51835.0,51405.0,https://pypi.org/project/sentry-sdk,22099044.0,22115458.0,https://anaconda.org/conda-forge/sentry-sdk,2023-10-31 18:05:12.810,669473.0,1.0,2023-10-31 16:00:23.000,430.0,3469.0,,,,,,,,,,,,,,,,
30,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-11-01 14:26:35.000,2023-11-01 14:26:27,776.0,50.0,636.0,129.0,150.0,119.0,745.0,16485.0,2023-09-11 15:25:24.000,0.7.2,21.0,51.0,38,True,,loguru,conda-forge/loguru,,65576.0,65576.0,https://pypi.org/project/loguru,22428961.0,22471343.0,https://anaconda.org/conda-forge/loguru,2023-09-24 09:55:27.841,1780082.0,2.0,,,,,,,,,,,,,,,,,,,
31,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-11-02 07:34:47.000,2023-11-02 07:34:41,6745.0,317.0,1132.0,111.0,897.0,12.0,4671.0,11104.0,2023-11-01 03:24:10.000,1.1.334,418.0,99.0,38,True,,,,,667.0,655.0,,,775359.0,,,,2.0,,,1146.0,,,,,,pyright,https://www.npmjs.com/package/pyright,2023-11-01 03:18:08.028,12.0,775299.0,,,,,,
32,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2023-10-31 21:27:12.000,2023-10-31 21:27:11,1476.0,19.0,1751.0,165.0,708.0,245.0,619.0,4486.0,2023-08-21 18:28:32.000,1.3.0,51.0,115.0,38,True,,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],7808.0,16.0,https://pypi.org/project/sphinx_rtd_theme,3953129.0,4041748.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2023-08-22 09:02:27.150,3633414.0,2.0,2023-10-31 21:19:32.000,7792.0,,,,,,,,,,,,6.0,,,,,
33,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-10-27 07:04:26.000,2023-10-27 07:04:25,2846.0,24.0,298.0,73.0,233.0,122.0,362.0,4443.0,2023-08-26 13:59:08.000,2.0.4,75.0,60.0,38,True,,autopep8,conda-forge/autopep8,,199499.0,193572.0,https://pypi.org/project/autopep8,3989367.0,4022232.0,https://anaconda.org/conda-forge/autopep8,2023-08-26 14:51:03.645,1347475.0,3.0,2023-08-26 13:49:56.000,5927.0,,,,,,,,,,,,,,,,,
34,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,,2014-09-13 17:06:24.000,2023-10-23 21:47:32.000,2023-10-23 21:47:31,2427.0,19.0,283.0,38.0,345.0,22.0,1512.0,3065.0,,,30.0,172.0,38,False,,flake8,conda-forge/flake8,,499885.0,499885.0,https://pypi.org/project/flake8,25303292.0,25467245.0,https://anaconda.org/conda-forge/flake8,2023-07-31 20:03:25.549,6886058.0,1.0,,,,,,,,,,,,,,,,,,,
35,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2023-10-27 22:12:52.000,2023-10-27 22:12:52,675.0,22.0,235.0,28.0,401.0,73.0,272.0,538.0,2023-10-01 13:50:29.000,23.2,43.0,102.0,38,True,,packaging,conda-forge/packaging,,941196.0,921591.0,https://pypi.org/project/packaging,257277462.0,258243024.0,https://anaconda.org/conda-forge/packaging,2023-10-01 23:22:47.528,40553031.0,1.0,2023-10-01 13:50:03.000,19605.0,744.0,,,,,,,,,,,,,,,,
36,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-11-01 11:03:22.000,2023-10-27 11:32:51,11517.0,256.0,525.0,134.0,330.0,168.0,1840.0,9922.0,,,184.0,156.0,37,True,,nuitka,conda-forge/nuitka,,1557.0,1557.0,https://pypi.org/project/nuitka,84743.0,98764.0,https://anaconda.org/conda-forge/nuitka,2023-10-30 16:34:35.248,588897.0,2.0,,,,,,,,,,,,,,,,,,,
37,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,,2013-03-10 13:51:19.000,2023-11-02 13:00:34.000,2023-10-22 21:00:24,13333.0,158.0,548.0,73.0,2328.0,39.0,1408.0,6987.0,2023-04-26 08:30:52.000,hypothesis-python-6.74.0,715.0,320.0,37,False,,hypothesis,conda-forge/hypothesis,,23139.0,23139.0,https://pypi.org/project/hypothesis,6145650.0,6341991.0,https://anaconda.org/conda-forge/hypothesis,2023-10-16 17:31:20.211,8246355.0,1.0,,,,,,,,,,,,,,,,,,,
38,structlog,hynek/structlog,logging,"Simple, powerful, and fast logging for Python.",,https://github.com/hynek/structlog,https://github.com/hynek/structlog,Apache-2.0,2013-08-13 15:55:58.000,2023-11-02 13:34:53.000,2023-11-02 09:37:35,1464.0,67.0,186.0,33.0,273.0,27.0,272.0,2806.0,2023-10-09 14:56:16.000,23.2.0,32.0,105.0,37,True,,structlog,conda-forge/structlog,,10880.0,9773.0,https://pypi.org/project/structlog,7286615.0,7296729.0,https://anaconda.org/conda-forge/structlog,2023-10-09 17:50:22.949,343876.0,2.0,2023-10-09 14:56:16.000,1107.0,,,,,,,,,,,,,,,,,
39,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2023-11-02 00:13:15.000,2023-11-02 00:13:15,909.0,29.0,128.0,34.0,203.0,35.0,341.0,455.0,2023-10-30 10:05:34.000,0.41.3,33.0,76.0,37,True,,wheel,conda-forge/wheel,,234147.0,234147.0,https://pypi.org/project/wheel,270411482.0,272466436.0,https://anaconda.org/conda-forge/wheel,2023-10-30 13:03:38.406,80143235.0,1.0,,,,,,,,,,,,,,,,,,,
40,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2023-10-25 22:45:17.000,2023-10-25 22:45:16,1324.0,8.0,548.0,66.0,403.0,195.0,459.0,5551.0,2023-03-10 01:08:04.773,1.7.5,36.0,173.0,36,True,,bandit,conda-forge/bandit,,46767.0,44956.0,https://pypi.org/project/bandit,3352188.0,3359540.0,https://anaconda.org/conda-forge/bandit,2023-09-25 08:07:42.894,271637.0,1.0,2023-03-10 01:08:04.773,1811.0,747.0,,,,,,,,,,,,,,,,
41,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2023-11-02 10:28:45.000,2023-10-11 00:32:49,24231.0,345.0,1640.0,202.0,5600.0,698.0,849.0,5097.0,2023-09-03 09:48:42.000,3.9.2,125.0,850.0,36,True,,buildbot,conda-forge/buildbot,,791.0,334.0,https://pypi.org/project/buildbot,31957.0,34564.0,https://anaconda.org/conda-forge/buildbot,2023-09-03 11:43:28.850,89537.0,2.0,2023-09-03 09:48:42.000,457.0,33351.0,,,,,,,,,,,,,,,,
42,pyenv,pyenv/pyenv,virtual-envs,Simple Python version management.,,https://github.com/pyenv/pyenv,https://github.com/pyenv/pyenv,MIT,2012-08-31 06:57:52.000,2023-10-30 19:10:26.000,2023-10-30 19:10:26,3198.0,60.0,2808.0,382.0,1000.0,38.0,1622.0,33937.0,2023-10-22 09:36:02.000,2.3.31,87.0,431.0,35,True,,pyenv,,,21.0,21.0,https://pypi.org/project/pyenv,11913.0,11913.0,,,,2.0,,,,,,,,,,,,,,,,,,,
