,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2024-02-17 01:31:09.466598,2024-02-10 18:11:50,1979.0,15.0,1398.0,208.0,542.0,578.0,27042.0,2024-02-10 19:02:52.000,4.66.2,136.0,115.0,43,True,,490.0,tqdm,conda-forge/tqdm,,11958.0,90987008.0,683389.0,653623.0,https://pypi.org/project/tqdm,2024-02-10 18:19:53.000,29766.0,90423368.0,https://anaconda.org/conda-forge/tqdm,2024-02-10 20:59:56.053,24792253.0,1.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2024-02-17 01:31:09.466598,2.0,4201.0,,,,,,,,,,,
11,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2024-02-22 13:24:14.000000,2024-02-22 13:24:08,6094.0,211.0,3136.0,124.0,2782.0,2194.0,17451.0,2024-02-19 06:18:49.000,9.5.10,197.0,254.0,43,True,,30.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],,4129707.0,43709.0,43709.0,https://pypi.org/project/mkdocs-material,,,4121862.0,https://anaconda.org/conda-forge/mkdocs-material,2024-02-19 13:54:11.151,353057.0,1.0,,,,,,,,,,,,,,,,
12,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2024-02-22 11:28:15.000000,2024-02-22 08:48:12,20620.0,170.0,1926.0,150.0,5179.0,5660.0,5943.0,2023-09-13 23:13:00.000,7.2.6,108.0,808.0,43,False,,1102.0,sphinx,conda-forge/sphinx,['sphinx'],,12406008.0,360228.0,360228.0,https://pypi.org/project/sphinx,,,12211916.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8734181.0,1.0,,,,,,,,,,,,,,,,
13,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2024-02-22 13:35:43.000000,2024-02-20 19:03:32,6339.0,624.0,771.0,71.0,5988.0,3203.0,23923.0,2024-02-17 22:41:45.000,0.2.2,285.0,365.0,42,True,astral-sh/ruff,673.0,ruff,conda-forge/ruff,,200191.0,12181064.0,36261.0,33993.0,https://pypi.org/project/ruff,2024-02-17 22:35:45.000,2268.0,12129846.0,https://anaconda.org/conda-forge/ruff,2024-02-18 02:48:01.291,537294.0,1.0,,,,,,,,,,,,,,,,
14,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2024-02-21 21:33:27.000000,2024-02-21 21:33:26,9147.0,90.0,1804.0,234.0,2333.0,4925.0,11079.0,2024-02-10 13:49:52.000,6.4.0,61.0,465.0,42,True,,272.0,pyinstaller,conda-forge/pyinstaller,,744107.0,2090354.0,54732.0,54732.0,https://pypi.org/project/pyinstaller,,,2070116.0,https://anaconda.org/conda-forge/pyinstaller,2024-02-10 19:45:53.984,528582.0,1.0,,,,,,,,,,,,,,,,
15,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2024-02-22 08:56:55.000000,2024-02-20 01:45:43,14030.0,597.0,592.0,73.0,2396.0,1454.0,7151.0,2024-02-20 01:45:45.000,6.98.9,1140.0,324.0,42,True,,39.0,hypothesis,conda-forge/hypothesis,,,6138599.0,27490.0,25075.0,https://pypi.org/project/hypothesis,2024-02-20 01:45:45.000,2415.0,5951561.0,https://anaconda.org/conda-forge/hypothesis,2024-02-20 07:21:50.200,8416710.0,1.0,,,,,,,,,,,,,,,,
16,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2024-02-22 14:11:47.000000,2024-02-22 13:57:33,9069.0,68.0,1032.0,77.0,4100.0,4465.0,5040.0,2023-12-11 13:19:48.000,3.0.3,83.0,555.0,42,True,pylint-dev/pylint,879.0,pylint,conda-forge/pylint,,,19163160.0,408318.0,408318.0,https://pypi.org/project/pylint,,,19054327.0,https://anaconda.org/conda-forge/pylint,2023-12-11 15:36:48.979,4788665.0,1.0,,,,,,,,,,,,,,,,
17,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2024-02-20 01:17:13.000000,2024-01-08 22:40:02,2446.0,16.0,301.0,37.0,359.0,1534.0,3187.0,2024-01-05 00:41:49.000,7.0.0,89.0,174.0,42,True,,23.0,flake8,conda-forge/flake8,,,27365857.0,575643.0,529099.0,https://pypi.org/project/flake8,2024-01-05 00:41:49.000,46544.0,27208554.0,https://anaconda.org/conda-forge/flake8,2024-01-05 19:47:00.587,7078668.0,1.0,,,,,,,,,,,,,,,,
18,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2024-02-13 00:52:53.000000,2024-01-31 13:05:27,3871.0,1.0,1714.0,542.0,1068.0,1065.0,46461.0,2023-11-15 16:33:44.000,13.7.0,190.0,235.0,41,True,,242.0,rich,conda-forge/rich,,,43625407.0,176659.0,170350.0,https://pypi.org/project/rich,2023-11-15 16:32:11.000,6309.0,43482123.0,https://anaconda.org/conda-forge/rich,2023-11-16 18:47:06.251,6161230.0,1.0,,,,,,,,,,,,,,,,
19,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2024-02-20 12:32:44.000000,2024-02-08 18:17:16,2047.0,41.0,2285.0,235.0,1254.0,1797.0,17944.0,2023-09-18 21:27:59.000,1.5.3,29.0,246.0,41,True,,117.0,mkdocs,conda-forge/mkdocs,['mkdocs'],,3001251.0,57049.0,57049.0,https://pypi.org/project/mkdocs,,,2991308.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,318197.0,1.0,,,,,,,,,,,,,,,,
20,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2024-02-21 22:12:45.000000,2024-02-20 00:02:49,11737.0,98.0,2619.0,233.0,6846.0,7518.0,17214.0,,,58.0,695.0,41,False,,2476.0,mypy,conda-forge/mypy,,,22645039.0,226974.0,226974.0,https://pypi.org/project/mypy,,,22560567.0,https://anaconda.org/conda-forge/mypy,2023-12-21 19:13:37.556,3716809.0,1.0,,,,,,,,,,,,,,,,
21,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2024-02-20 15:21:59.000000,2024-02-20 15:21:58,2637.0,24.0,790.0,87.0,1162.0,1915.0,11670.0,2024-02-18 18:22:07.000,3.6.2,190.0,156.0,41,True,,27.0,pre-commit,conda-forge/pre-commit,,1001073.0,17995647.0,182213.0,175111.0,https://pypi.org/project/pre-commit,2024-02-18 18:19:38.000,7102.0,17874171.0,https://anaconda.org/conda-forge/pre-commit,2024-02-18 19:29:08.366,4115578.0,1.0,,,,,,,,,,,,,,,,
22,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2024-02-07 09:35:40.000000,2024-02-07 09:35:39,14538.0,164.0,2222.0,476.0,707.0,4102.0,8812.0,2024-01-11 16:01:12.000,7.0,127.0,196.0,41,True,,274.0,robotframework,conda-forge/robotframework,,554.0,2423306.0,11045.0,9902.0,https://pypi.org/project/robotframework,2024-01-11 16:17:42.000,1143.0,2418431.0,https://anaconda.org/conda-forge/robotframework,2024-01-11 22:50:41.389,170492.0,1.0,,,,,,,,,,,,,,,,
23,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2024-02-21 07:55:41.000000,2024-01-15 05:16:11,4162.0,38.0,547.0,48.0,974.0,1075.0,6240.0,2023-12-13 20:37:31.000,5.13.2,100.0,294.0,41,True,,177.0,isort,conda-forge/isort,,,33923503.0,449245.0,449245.0,https://pypi.org/project/isort,,,33792329.0,https://anaconda.org/conda-forge/isort,2023-12-14 01:51:17.173,5640517.0,2.0,,,,,,,,,,,,,,,,
24,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,,2012-10-15 22:08:03.000,2024-02-22 10:51:50.000000,2024-02-21 20:22:12,16733.0,120.0,1425.0,199.0,4095.0,8768.0,5992.0,2024-02-19 13:57:26.000,24.1.2,100.0,449.0,41,False,,677.0,conda,conda-forge/conda,,,1218435.0,45726.0,45726.0,https://pypi.org/project/conda,,,125616.0,https://anaconda.org/conda-forge/conda,2024-02-13 19:19:18.126,49176866.0,1.0,,,,,,,,,,,,,,,,
25,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2024-02-22 11:44:36.913000,2024-02-22 01:50:42,765.0,19.0,961.0,170.0,1344.0,1291.0,4644.0,2023-12-01 16:24:25.000,20.25.0,67.0,113.0,41,True,,21.0,virtualenv,conda-forge/virtualenv,,,113216916.0,362037.0,362037.0,https://pypi.org/project/virtualenv,,,113064806.0,https://anaconda.org/conda-forge/virtualenv,2024-02-22 11:44:36.913,6084419.0,2.0,,,,,,,,,,,,,,,,
26,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2024-02-21 19:48:43.000000,2024-02-18 12:09:36,12019.0,771.0,567.0,134.0,364.0,2003.0,10480.0,2024-02-18 12:12:10.000,2.0.3,288.0,166.0,39,True,,146.0,nuitka,conda-forge/nuitka,,,128582.0,1880.0,1813.0,https://pypi.org/project/nuitka,2024-02-18 12:12:10.000,67.0,114710.0,https://anaconda.org/conda-forge/nuitka,2024-02-18 16:19:51.306,624248.0,1.0,,,,,,,,,,,,,,,,
27,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2024-02-22 13:50:53.000000,2024-02-21 18:00:48,2111.0,51.0,529.0,103.0,993.0,885.0,7362.0,2024-02-16 14:07:31.000,7.4.0,68.0,206.0,39,True,,146.0,pip-tools,conda-forge/pip-tools,,,12362661.0,25906.0,25906.0,https://pypi.org/project/pip-tools,,,12359605.0,https://anaconda.org/conda-forge/pip-tools,2024-02-16 16:10:37.235,137522.0,2.0,,,,,,,,,,,,,,,,
28,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2024-02-19 12:07:48.000000,2024-02-19 12:07:47,8412.0,10.0,491.0,114.0,594.0,1326.0,5613.0,,,23.0,168.0,39,False,,57.0,jedi,conda-forge/jedi,,,36436118.0,397737.0,397737.0,https://pypi.org/project/jedi,,,35966981.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,20642050.0,1.0,,,,,,,,,,,,,,,,
29,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2024-02-17 00:58:06.000000,2024-02-17 00:58:05,1342.0,6.0,868.0,213.0,363.0,462.0,13588.0,,,26.0,153.0,38,True,,366.0,yapf,conda-forge/yapf,,,5187590.0,90050.0,90050.0,https://pypi.org/project/yapf,,,5137020.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1719403.0,2.0,,,,,,,,,,,,,,,,
30,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2024-02-21 22:39:18.000000,2024-02-21 22:39:13,7165.0,308.0,1208.0,114.0,1216.0,5233.0,11697.0,2024-02-19 22:34:29.000,1.1.351,100.0,107.0,38,True,,23.0,,,,1655.0,1121761.0,748.0,748.0,,,,,,,,2.0,,,,,,pyright,https://www.npmjs.com/package/pyright,1121679.0,,,,,,,,
31,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2024-02-10 15:25:27.000000,2024-02-10 15:25:26,1347.0,22.0,554.0,65.0,427.0,476.0,5814.0,2024-01-23 21:10:23.000,1.7.7,14.0,175.0,38,True,,159.0,bandit,conda-forge/bandit,,761.0,4264947.0,47172.0,47172.0,https://pypi.org/project/bandit,,,4257759.0,https://anaconda.org/conda-forge/bandit,2024-01-26 11:30:27.704,287085.0,1.0,,,,,,,,,,,,,,,,
32,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2024-02-22 02:53:42.000000,2024-02-22 02:52:42,707.0,37.0,482.0,42.0,1404.0,1595.0,3453.0,2024-02-17 00:50:30.000,4.13.0,93.0,71.0,38,True,,94.0,tox,conda-forge/tox,['pytest'],,13295696.0,111045.0,111045.0,https://pypi.org/project/tox,,,13276421.0,https://anaconda.org/conda-forge/tox,2024-02-19 15:27:24.544,867406.0,1.0,,,,,,,,,,,,,,,,
33,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2024-02-14 01:44:51.000000,2024-02-14 01:44:50,1130.0,37.0,292.0,39.0,561.0,434.0,1507.0,2024-02-11 13:47:42.000,5.0.0,26.0,118.0,38,True,,47.0,twine,conda-forge/twine,,1.0,4772390.0,100729.0,100729.0,https://pypi.org/project/twine,,,4751518.0,https://anaconda.org/conda-forge/twine,2024-02-11 22:36:42.897,918381.0,1.0,,,,,,,,,,,,,,,,
34,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2024-02-20 01:46:24.000000,2024-02-20 01:46:24,1151.0,17.0,202.0,47.0,405.0,351.0,1314.0,2023-11-21 15:21:18.000,3.5.0,50.0,98.0,38,True,,235.0,pytest-xdist,conda-forge/pytest-xdist,['pytest'],16.0,16938059.0,93727.0,93727.0,https://pypi.org/project/pytest-xdist,,,16806735.0,https://anaconda.org/conda-forge/pytest-xdist,2023-11-21 18:58:37.015,5646728.0,1.0,,,,,,,,,,,,,,,,
35,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2024-02-21 23:20:49.000000,2024-02-20 16:05:31,3097.0,80.0,2116.0,190.0,2662.0,4923.0,28655.0,2023-11-16 19:09:01.000,1.7.1,100.0,540.0,37,True,,607.0,poetry,conda-forge/poetry,,15395712.0,30125257.0,,,https://pypi.org/project/poetry,,,29869974.0,https://anaconda.org/conda-forge/poetry,2023-11-17 02:06:37.060,1121885.0,2.0,,,,,,,,,,,,,,,,
36,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2024-02-20 18:42:14.000000,2024-02-17 11:14:22,803.0,27.0,654.0,138.0,166.0,775.0,17473.0,2023-09-11 15:25:24.000,0.7.2,21.0,53.0,37,True,,146.0,loguru,conda-forge/loguru,,,14922472.0,75708.0,75708.0,https://pypi.org/project/loguru,,,14878403.0,https://anaconda.org/conda-forge/loguru,2023-09-24 09:55:27.841,1983113.0,1.0,,,,,,,,,,,,,,,,
37,structlog,hynek/structlog,logging,"Simple, powerful, and fast logging for Python.",,https://github.com/hynek/structlog,https://github.com/hynek/structlog,Apache-2.0,2013-08-13 15:55:58.000,2024-02-17 09:53:43.000000,2024-02-17 05:49:16,1536.0,56.0,200.0,33.0,289.0,284.0,3007.0,2024-01-08 09:52:50.000,24.1.0,34.0,111.0,37,True,,25.0,structlog,conda-forge/structlog,,,10415966.0,12036.0,10871.0,https://pypi.org/project/structlog,2024-01-08 09:52:50.000,1165.0,10406166.0,https://anaconda.org/conda-forge/structlog,2024-02-12 20:32:00.254,362603.0,1.0,,,,,,,,,,,,,,,,
38,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2024-02-22 14:16:22.000000,2024-02-21 10:47:17,2110.0,95.0,478.0,71.0,1565.0,982.0,1699.0,2024-02-19 13:52:45.000,1.40.5,217.0,203.0,37,True,,188.0,sentry-sdk,conda-forge/sentry-sdk,,3820.0,27365640.0,500.0,,https://pypi.org/project/sentry-sdk,2024-02-19 13:41:57.000,500.0,27349004.0,https://anaconda.org/conda-forge/sentry-sdk,2024-02-19 15:08:01.838,727816.0,1.0,,,,,,,,,,,,,,,,
39,pyflakes,PyCQA/pyflakes,linters,A simple program which checks Python source files for errors.,,https://github.com/PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2024-02-17 02:54:02.000000,2024-02-17 02:54:02,566.0,4.0,183.0,29.0,298.0,466.0,1327.0,2024-01-05 00:28:45.000,3.2.0,38.0,85.0,37,True,,56.0,pyflakes,conda-forge/pyflakes,,,29179140.0,281986.0,268142.0,https://pypi.org/project/pyflakes,2024-01-05 00:28:45.000,13844.0,28976698.0,https://anaconda.org/conda-forge/pyflakes,2024-01-05 03:19:34.488,7085499.0,1.0,,,,,,,,,,,,,,,,
40,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2024-02-01 15:30:25.000000,2024-01-17 19:36:10,686.0,9.0,246.0,28.0,421.0,283.0,567.0,2023-10-01 13:50:29.000,23.2,43.0,105.0,37,True,,87.0,packaging,conda-forge/packaging,,775.0,284955960.0,1080443.0,1060173.0,https://pypi.org/project/packaging,2023-10-01 13:50:03.000,20270.0,284006577.0,https://anaconda.org/conda-forge/packaging,2023-10-01 23:22:47.528,42721633.0,2.0,,,,,,,,,,,,,,,,
41,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2024-02-19 19:36:15.000000,2024-02-05 20:15:32,924.0,12.0,134.0,34.0,220.0,343.0,470.0,2023-11-26 14:37:13.000,0.42.0,34.0,79.0,37,True,,40.0,wheel,conda-forge/wheel,,,355804591.0,253946.0,253946.0,https://pypi.org/project/wheel,,,353772439.0,https://anaconda.org/conda-forge/wheel,2023-11-26 15:42:45.198,85350401.0,2.0,,,,,,,,,,,,,,,,
42,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2024-02-21 03:44:25.000000,2024-02-18 08:50:20,5334.0,90.0,1451.0,502.0,787.0,1530.0,24468.0,2023-05-18 15:52:21.000,3.4.0.2,97.0,180.0,36,True,,233.0,glances,conda-forge/glances,,1572.0,198490.0,863.0,811.0,https://pypi.org/project/glances,2023-05-20 14:52:01.505,52.0,196242.0,https://anaconda.org/conda-forge/glances,2023-06-05 20:53:05.651,212154.0,1.0,,,,,,,,,,,,,,,,
