,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
10,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-09-28 08:26:04.000,2023-09-26 15:50:14,14085.0,170.0,2796.0,310.0,5296.0,933.0,6008.0,8952.0,,,65.0,748.0,44,True,,pip,conda-forge/pip,,153144.0,153144.0,https://pypi.org/project/pip,,,169450405.0,171723170.0,https://anaconda.org/conda-forge/pip,2023-07-22 11:20:31.783,90910619.0,1.0,,,,,,,,,,,,,,,,,
11,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-09-19 11:05:17.000,2023-08-10 10:52:15,1964.0,22.0,1319.0,212.0,527.0,464.0,577.0,25854.0,2023-08-10 11:59:02.000,4.66.1,135.0,112.0,43,True,,tqdm,conda-forge/tqdm,,580670.0,553140.0,https://pypi.org/project/tqdm,2023-08-10 11:38:57.000,27530.0,74653282.0,75246864.0,https://anaconda.org/conda-forge/tqdm,2023-08-10 12:44:00.709,23142659.0,1.0,11258.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-08-26 01:32:37.879259,2.0,4112.0,,,,,,,,,,,
12,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2023-09-28 13:42:42.000,2023-09-28 13:42:40,5150.0,1228.0,560.0,68.0,4660.0,519.0,2380.0,17896.0,2023-09-22 18:14:36.000,0.0.291,265.0,263.0,43,True,astral-sh/ruff,ruff,conda-forge/ruff,,18880.0,17641.0,https://pypi.org/project/ruff,2023-09-22 17:56:30.000,1239.0,5665032.0,5707559.0,https://anaconda.org/conda-forge/ruff,2023-09-24 04:41:08.413,352681.0,1.0,65331.0,,,,,,,,,,,,,,,,
13,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-09-22 07:35:14.305,2023-08-07 06:49:18,5962.0,21.0,1307.0,236.0,647.0,241.0,1405.0,9562.0,,,37.0,198.0,43,True,,psutil,conda-forge/psutil,,370059.0,370059.0,https://pypi.org/project/psutil,,,107682617.0,108362612.0,https://anaconda.org/conda-forge/psutil,2023-09-22 07:35:14.305,25839840.0,1.0,,,,,,,,,,,,,,,,,
14,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2023-09-23 23:56:11.000,2023-09-23 23:56:11,8399.0,33.0,503.0,114.0,588.0,47.0,1319.0,5508.0,2023-07-28 23:12:48.000,0.19.0,33.0,165.0,43,True,,jedi,conda-forge/jedi,,356481.0,348011.0,https://pypi.org/project/jedi,2023-07-28 23:12:48.000,8470.0,31256881.0,31740093.0,https://anaconda.org/conda-forge/jedi,2023-08-01 13:39:11.480,18845302.0,1.0,,,,,,,,,,,,,,,,,
15,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-09-27 07:17:33.000,2023-09-27 06:33:04,8929.0,223.0,1034.0,76.0,3945.0,770.0,4356.0,4848.0,2023-09-25 11:58:22.000,2.17.6,177.0,542.0,43,True,pylint-dev/pylint,pylint,conda-forge/pylint,,406950.0,384205.0,https://pypi.org/project/pylint,2023-09-25 11:58:22.000,22745.0,18380466.0,18496675.0,https://anaconda.org/conda-forge/pylint,2023-09-25 14:10:53.168,4532176.0,1.0,,,,,,,,,,,,,,,,,
16,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-09-21 12:41:26.000,2023-09-18 21:23:33,1963.0,50.0,2230.0,226.0,1191.0,113.0,1750.0,17112.0,2023-09-18 21:27:59.000,1.5.3,29.0,243.0,42,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],49836.0,49836.0,https://pypi.org/project/mkdocs,,,2384224.0,2395055.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,292454.0,1.0,,,,,,,,,,,,,,,,,
17,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-09-28 13:56:56.000,2023-09-27 09:15:13,5726.0,382.0,2997.0,123.0,2553.0,26.0,2002.0,15574.0,2023-09-25 07:50:20.000,9.4.2,176.0,231.0,42,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],37274.0,37274.0,https://pypi.org/project/mkdocs-material,,,3122881.0,3130697.0,https://anaconda.org/conda-forge/mkdocs-material,2023-09-25 13:46:34.314,312640.0,1.0,,,,,,,,,,,,,,,,,
18,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-09-26 18:16:57.000,2023-09-26 18:16:57,2594.0,43.0,748.0,87.0,1125.0,21.0,1835.0,10987.0,2023-09-02 17:13:27.000,3.4.0,186.0,154.0,42,True,,pre-commit,conda-forge/pre-commit,,156684.0,150775.0,https://pypi.org/project/pre-commit,2023-09-02 17:09:40.000,5909.0,14317875.0,14439215.0,https://anaconda.org/conda-forge/pre-commit,2023-09-12 11:36:23.551,3703373.0,1.0,656463.0,,,,,,,,,,,,,,,,
19,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-09-28 07:59:20.000,2023-09-28 07:59:19,8988.0,183.0,1781.0,232.0,2250.0,255.0,4754.0,10625.0,2023-09-22 23:31:12.000,6.0.0,57.0,459.0,42,True,,pyinstaller,conda-forge/pyinstaller,,48723.0,48723.0,https://pypi.org/project/pyinstaller,,,1668700.0,1690188.0,https://anaconda.org/conda-forge/pyinstaller,2023-09-25 11:19:40.117,489859.0,1.0,741617.0,,,,,,,,,,,,,,,,
20,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-09-28 13:01:51.000,2023-09-28 12:52:34,14193.0,81.0,2150.0,479.0,673.0,296.0,3928.0,8364.0,2023-07-28 19:29:00.000,6.1.1,120.0,186.0,42,True,,robotframework,conda-forge/robotframework,,9908.0,8794.0,https://pypi.org/project/robotframework,2023-07-28 19:27:05.000,1114.0,1776570.0,1781689.0,https://anaconda.org/conda-forge/robotframework,2023-07-28 20:32:29.432,153449.0,1.0,553.0,,,,,,,,,,,,,,,,
21,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2023-09-28 13:31:22.000,2023-09-21 22:04:42,20424.0,303.0,1863.0,147.0,5030.0,1127.0,5493.0,5651.0,2023-09-13 23:13:00.000,7.2.6,108.0,789.0,42,False,,sphinx,conda-forge/sphinx,['sphinx'],331044.0,331044.0,https://pypi.org/project/sphinx,,,11535954.0,11743037.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8283350.0,1.0,,,,,,,,,,,,,,,,,
22,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-09-26 20:23:48.000,2023-09-26 20:23:47,1319.0,24.0,933.0,216.0,343.0,365.0,452.0,13417.0,2023-09-22 18:40:43.000,0.40.2,74.0,150.0,41,True,,yapf,conda-forge/yapf,,85673.0,83366.0,https://pypi.org/project/yapf,2023-09-22 18:40:43.000,2307.0,5003921.0,5059052.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1598805.0,2.0,,,,,,,,,,,,,,,,,
23,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2023-09-25 03:18:22.350,2023-09-25 01:10:58,13290.0,169.0,564.0,72.0,2313.0,44.0,1398.0,6923.0,2023-09-18 16:03:23.000,6.86.2,1087.0,316.0,41,True,,hypothesis,conda-forge/hypothesis,,24837.0,22577.0,https://pypi.org/project/hypothesis,2023-09-25 01:11:02.000,2260.0,6025262.0,6228728.0,https://anaconda.org/conda-forge/hypothesis,2023-09-25 03:18:22.350,8138652.0,1.0,,,,,,,,,,,,,,,,,
24,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,,2012-10-15 22:08:03.000,2023-09-28 00:14:03.000,2023-09-26 08:46:36,16527.0,144.0,1342.0,194.0,3851.0,667.0,8572.0,5723.0,2023-09-27 19:49:06.000,23.9.0,100.0,441.0,41,False,,conda,conda-forge/conda,,43121.0,43121.0,https://pypi.org/project/conda,,,57715.0,1227044.0,https://anaconda.org/conda-forge/conda,2023-09-12 22:18:42.668,46773170.0,1.0,,,,,,,,,,,,,,,,,
25,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-09-26 22:36:05.000,2023-09-26 22:36:04,733.0,44.0,941.0,168.0,1313.0,16.0,1282.0,4555.0,2023-09-08 14:38:13.000,20.24.5,63.0,110.0,41,True,,virtualenv,conda-forge/virtualenv,,315297.0,315297.0,https://pypi.org/project/virtualenv,,,100838195.0,100989906.0,https://anaconda.org/conda-forge/virtualenv,2023-08-30 19:19:12.197,5309906.0,2.0,,,,,,,,,,,,,,,,,
26,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-09-26 05:51:40.000,2023-08-20 20:18:05,4102.0,14.0,541.0,48.0,944.0,178.0,1063.0,6026.0,2023-01-31 16:31:31.154,5.8.0,143.0,286.0,40,True,,isort,conda-forge/isort,,434524.0,416693.0,https://pypi.org/project/isort,2023-01-31 16:31:31.154,17831.0,27177866.0,27239550.0,https://anaconda.org/conda-forge/isort,2023-06-16 13:18:02.201,5304831.0,2.0,,,,,,,,,,,,,,,,,
27,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-09-27 00:22:08.000,2023-09-27 00:22:07,661.0,52.0,494.0,42.0,1355.0,69.0,1581.0,3366.0,2023-09-08 22:45:32.000,4.11.3,208.0,290.0,40,True,,tox,conda-forge/tox,['pytest'],127244.0,105017.0,https://pypi.org/project/tox,2023-09-08 22:45:32.000,22227.0,13346009.0,13365858.0,https://anaconda.org/conda-forge/tox,2023-09-09 02:01:04.061,793961.0,1.0,,,,,,,,,,,,,,,,,
28,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-09-27 13:20:49.000,2023-09-21 06:16:20,2036.0,76.0,512.0,100.0,971.0,136.0,850.0,7095.0,2023-08-08 23:35:03.000,7.3.0,67.0,198.0,39,True,,pip-tools,conda-forge/pip-tools,,22782.0,22782.0,https://pypi.org/project/pip-tools,,,10514866.0,10517904.0,https://anaconda.org/conda-forge/pip-tools,2023-08-09 01:51:06.267,121525.0,2.0,,,,,,,,,,,,,,,,,
29,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-09-28 13:39:28.000,2023-09-28 13:02:20,1926.0,116.0,408.0,71.0,1340.0,171.0,859.0,1610.0,2023-09-13 11:09:57.000,1.31.0,199.0,191.0,39,True,,sentry-sdk,conda-forge/sentry-sdk,,50155.0,49749.0,https://pypi.org/project/sentry-sdk,2023-09-13 11:09:41.000,406.0,22048400.0,22064367.0,https://anaconda.org/conda-forge/sentry-sdk,2023-09-13 14:04:23.642,619438.0,1.0,3285.0,,,,,,,,,,,,,,,,
30,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-09-24 12:57:33.000,2023-09-11 15:09:13,763.0,47.0,625.0,130.0,146.0,110.0,740.0,16114.0,2023-09-11 15:25:24.000,0.7.2,21.0,49.0,38,True,,loguru,conda-forge/loguru,,62847.0,62847.0,https://pypi.org/project/loguru,,,12641517.0,12683072.0,https://anaconda.org/conda-forge/loguru,2023-09-24 09:55:27.841,1662233.0,2.0,,,,,,,,,,,,,,,,,
31,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-09-27 16:34:25.000,2023-09-27 16:34:21,6611.0,290.0,1132.0,110.0,798.0,9.0,4540.0,10905.0,2023-09-27 00:31:48.000,1.1.329,413.0,97.0,38,True,,,,,636.0,624.0,,,,,677220.0,,,,2.0,926.0,,,,,,pyright,https://www.npmjs.com/package/pyright,2023-09-27 00:23:07.320,12.0,677169.0,,,,,,
32,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-08-27 14:12:45.000,2023-08-27 14:12:45,2833.0,14.0,298.0,72.0,229.0,122.0,360.0,4420.0,2023-08-26 13:59:08.000,2.0.4,75.0,59.0,38,True,,autopep8,conda-forge/autopep8,,196549.0,190638.0,https://pypi.org/project/autopep8,2023-08-26 13:49:56.000,5911.0,3907553.0,3940778.0,https://anaconda.org/conda-forge/autopep8,2023-08-26 14:51:03.645,1295809.0,3.0,,,,,,,,,,,,,,,,,
33,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,,2014-09-13 17:06:24.000,2023-09-26 13:01:35.000,2023-09-26 13:01:34,2417.0,33.0,293.0,38.0,341.0,26.0,1504.0,3008.0,,,30.0,172.0,38,False,,flake8,conda-forge/flake8,,491230.0,491230.0,https://pypi.org/project/flake8,,,24116420.0,24284823.0,https://anaconda.org/conda-forge/flake8,2023-07-31 20:03:25.549,6736140.0,1.0,,,,,,,,,,,,,,,,,
34,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-09-27 18:19:06.000,2023-09-19 03:41:36,11406.0,412.0,517.0,131.0,327.0,144.0,1817.0,9750.0,,,182.0,153.0,37,True,,nuitka,conda-forge/nuitka,,1496.0,1496.0,https://pypi.org/project/nuitka,,,84961.0,99355.0,https://anaconda.org/conda-forge/nuitka,2023-09-19 14:27:42.694,575799.0,1.0,,,,,,,,,,,,,,,,,
35,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2023-09-19 12:05:20.000,2023-05-24 18:28:10,920.0,,206.0,39.0,239.0,139.0,239.0,1531.0,2023-05-24 18:44:54.000,4.1.0,45.0,86.0,37,True,,pytest-cov,conda-forge/pytest-cov,['pytest'],310302.0,276064.0,https://pypi.org/project/pytest-cov,2023-05-24 18:44:54.000,34238.0,30165903.0,30272071.0,https://anaconda.org/conda-forge/pytest-cov,2023-06-16 13:15:36.736,9555173.0,1.0,,,,,,,,,,,,,,,,,
36,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2023-09-12 00:25:22.000,2023-09-12 00:25:22,663.0,15.0,232.0,29.0,392.0,77.0,263.0,525.0,2023-04-12 16:11:39.000,23.1,42.0,98.0,37,True,,packaging,conda-forge/packaging,,894989.0,875585.0,https://pypi.org/project/packaging,2023-04-12 16:13:15.470,19404.0,172101185.0,172546706.0,https://anaconda.org/conda-forge/packaging,2023-06-16 13:17:40.629,38759057.0,1.0,741.0,,,,,,,,,,,,,,,,
37,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2023-09-26 08:02:41.000,2023-09-26 08:02:40,899.0,31.0,141.0,31.0,198.0,38.0,339.0,446.0,2023-08-22 09:30:57.000,0.41.2,75.0,74.0,37,True,,wheel,conda-forge/wheel,,265804.0,228878.0,https://pypi.org/project/wheel,2023-08-22 09:30:57.000,36926.0,248131639.0,250204281.0,https://anaconda.org/conda-forge/wheel,2023-08-22 10:40:09.822,76687770.0,1.0,,,,,,,,,,,,,,,,,
38,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-09-28 09:04:33.000,2023-09-24 08:30:56,2965.0,62.0,2015.0,190.0,2512.0,575.0,4671.0,26724.0,2023-08-21 17:53:17.000,1.6.1,100.0,486.0,36,True,,poetry,conda-forge/poetry,,,,https://pypi.org/project/poetry,,,23039045.0,23307340.0,https://anaconda.org/conda-forge/poetry,2023-08-21 20:30:34.699,1008471.0,2.0,15273566.0,,,,,,,,,,,,,,,,
39,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2023-09-28 02:59:20.000,2023-09-28 02:59:19,1323.0,10.0,535.0,66.0,400.0,162.0,459.0,5482.0,2023-03-10 01:02:04.000,1.7.5,12.0,173.0,36,True,,bandit,conda-forge/bandit,,44161.0,44161.0,https://pypi.org/project/bandit,,,3172321.0,3179891.0,https://anaconda.org/conda-forge/bandit,2023-09-25 08:07:42.894,264535.0,1.0,737.0,,,,,,,,,,,,,,,,
40,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2023-09-26 15:06:28.000,2023-09-24 18:41:59,24181.0,472.0,1478.0,202.0,5536.0,672.0,846.0,5079.0,2023-09-02 20:49:47.000,3.9.2,61.0,850.0,36,True,,buildbot,conda-forge/buildbot,,333.0,333.0,https://pypi.org/project/buildbot,,,31330.0,34024.0,https://anaconda.org/conda-forge/buildbot,2023-09-03 11:43:28.850,88228.0,2.0,33295.0,,,,,,,,,,,,,,,,
41,wemake-python-styleguide,wemake-services/wemake-python-styleguide,linters,The strictest and most opinionated python linter ever!.,,https://github.com/wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,MIT,2018-03-09 21:04:25.000,2023-09-25 05:27:09.000,2023-09-25 05:27:01,2290.0,61.0,371.0,29.0,1683.0,105.0,960.0,2295.0,2023-05-31 14:30:27.000,0.18.0,55.0,182.0,36,True,,wemake-python-styleguide,,,15326.0,15326.0,https://pypi.org/project/wemake-python-styleguide,,,162630.0,162630.0,,,,1.0,,,,,,,,,,,,,,,,,
42,pyenv,pyenv/pyenv,virtual-envs,Simple Python version management.,,https://github.com/pyenv/pyenv,https://github.com/pyenv/pyenv,MIT,2012-08-31 06:57:52.000,2023-09-23 16:47:16.000,2023-09-23 16:47:15,3171.0,47.0,2845.0,382.0,988.0,29.0,1614.0,33481.0,2023-09-17 07:48:27.000,2.3.27,83.0,427.0,35,True,,pyenv,,,16.0,15.0,https://pypi.org/project/pyenv,2019-01-12 14:49:22.000,1.0,10293.0,10293.0,,,,2.0,,,,,,,,,,,,,,,,,
