,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-09-04 13:43:33.000,2023-08-01 15:44:57,3833.0,53.0,1605.0,537.0,1021.0,172.0,1028.0,44599.0,2023-08-01 15:47:37.000,13.5.2,187.0,227.0,44,True,,rich,conda-forge/rich,,124472.0,119874.0,https://pypi.org/project/rich,2023-08-01 15:46:49.000,4598.0,30785743.0,30913363.0,https://anaconda.org/conda-forge/rich,2023-07-31 12:52:42.810,4849586.0,1.0,,,,,,,,,,,,,,,,,
11,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-09-07 08:55:53.000,2023-09-07 07:17:30,14034.0,183.0,2788.0,310.0,5283.0,937.0,5989.0,8929.0,,,65.0,745.0,44,True,,pip,conda-forge/pip,,150770.0,150770.0,https://pypi.org/project/pip,,,174370787.0,176587613.0,https://anaconda.org/conda-forge/pip,2023-07-22 11:20:31.783,88673075.0,1.0,,,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-09-06 18:31:57.000,2023-08-10 10:52:15,1964.0,22.0,1232.0,212.0,525.0,355.0,577.0,25626.0,2023-08-10 11:59:02.000,4.66.1,108.0,112.0,43,True,,tqdm,conda-forge/tqdm,,540494.0,540494.0,https://pypi.org/project/tqdm,,,72299274.0,72881184.0,https://anaconda.org/conda-forge/tqdm,2023-08-10 12:44:00.709,22687472.0,1.0,11134.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-08-26 01:32:37.879259,2.0,4109.0,,,,,,,,,,,
13,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2023-09-07 14:02:20.000,2023-09-05 22:36:24,16485.0,130.0,1401.0,196.0,3803.0,752.0,8529.0,5686.0,2023-08-21 22:53:54.000,23.7.3,100.0,439.0,43,True,,conda,conda-forge/conda,,43881.0,42786.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,1095.0,78276.0,1232333.0,https://anaconda.org/conda-forge/conda,2023-08-22 18:18:06.001,46162302.0,1.0,,,,,,,,,,,,,,,,,
14,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2023-09-07 14:10:10.000,2023-09-07 13:41:22,4910.0,1283.0,554.0,64.0,4389.0,470.0,2232.0,17424.0,2023-09-01 17:09:13.000,0.0.287,261.0,255.0,42,True,astral-sh/ruff,ruff,conda-forge/ruff,,16661.0,15541.0,https://pypi.org/project/ruff,2023-09-01 17:04:39.000,1120.0,4994679.0,5033868.0,https://anaconda.org/conda-forge/ruff,2023-09-02 00:16:52.648,329932.0,1.0,55765.0,,,,,,,,,,,,,,,,
15,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-09-06 18:33:36.000,2023-09-04 08:02:38,1952.0,60.0,2221.0,228.0,1179.0,112.0,1743.0,17020.0,2023-08-02 14:54:19.000,1.5.2,28.0,242.0,42,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],48878.0,48878.0,https://pypi.org/project/mkdocs,,,2252117.0,2262718.0,https://anaconda.org/conda-forge/mkdocs,2023-08-02 15:49:46.651,286228.0,1.0,,,,,,,,,,,,,,,,,
16,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2023-09-07 14:15:12.000,2023-09-06 17:43:24,11484.0,243.0,2630.0,235.0,6550.0,2496.0,7176.0,16230.0,,,53.0,669.0,42,False,,mypy,conda-forge/mypy,,203723.0,203723.0,https://pypi.org/project/mypy,,,17515433.0,17601992.0,https://anaconda.org/conda-forge/mypy,2023-08-16 20:06:43.683,3375825.0,1.0,,,,,,,,,,,,,,,,,
17,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-09-07 11:37:57.000,2023-09-07 11:35:34,5559.0,247.0,2956.0,122.0,2509.0,22.0,1976.0,15112.0,2023-09-04 19:38:54.000,9.2.8,171.0,228.0,42,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],36414.0,36414.0,https://pypi.org/project/mkdocs-material,,,2970821.0,2978419.0,https://anaconda.org/conda-forge/mkdocs-material,2023-09-05 04:51:22.605,303929.0,1.0,,,,,,,,,,,,,,,,,
18,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-09-04 16:57:00.000,2023-09-04 16:57:00,8950.0,174.0,1910.0,233.0,2235.0,271.0,4729.0,10585.0,2023-08-29 22:21:06.000,5.13.2,56.0,458.0,42,True,,pyinstaller,conda-forge/pyinstaller,,48252.0,47914.0,https://pypi.org/project/pyinstaller,2023-08-29 22:18:47.000,338.0,1586261.0,1607552.0,https://anaconda.org/conda-forge/pyinstaller,2023-06-26 15:53:40.337,483681.0,1.0,741165.0,,,,,,,,,,,,,,,,
19,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-09-07 07:44:39.000,2023-09-07 07:44:09,14151.0,53.0,2150.0,478.0,672.0,296.0,3909.0,8314.0,2023-07-28 19:29:00.000,6.1.1,120.0,186.0,42,True,,robotframework,conda-forge/robotframework,,9630.0,8519.0,https://pypi.org/project/robotframework,2023-07-28 19:27:05.000,1111.0,1709284.0,1709289.0,https://anaconda.org/conda-forge/robotframework,,,1.0,552.0,,,,,,,,,,,,,,,,
20,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2023-09-06 10:52:25.323,2023-09-06 09:27:32,13249.0,192.0,564.0,72.0,2302.0,44.0,1386.0,6891.0,2023-09-05 17:30:41.000,6.84.1,1080.0,314.0,42,True,,hypothesis,conda-forge/hypothesis,,24563.0,22314.0,https://pypi.org/project/hypothesis,2023-09-06 09:27:36.000,2249.0,6026177.0,6228154.0,https://anaconda.org/conda-forge/hypothesis,2023-09-06 10:52:25.323,8079089.0,1.0,,,,,,,,,,,,,,,,,
21,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-09-07 07:24:21.000,2023-09-07 07:24:21,8835.0,169.0,1024.0,76.0,3906.0,767.0,4335.0,4820.0,2023-07-26 09:54:27.000,2.17.5,176.0,537.0,42,True,pylint-dev/pylint,pylint,conda-forge/pylint,,403206.0,380551.0,https://pypi.org/project/pylint,2023-08-15 20:22:59.000,22655.0,17573661.0,17688211.0,https://anaconda.org/conda-forge/pylint,2023-07-26 12:44:25.216,4467462.0,1.0,,,,,,,,,,,,,,,,,
22,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-09-04 10:09:40.000,2023-09-04 10:09:40,1306.0,39.0,900.0,218.0,332.0,363.0,442.0,13385.0,2023-06-20 05:44:07.767,0.40.1,73.0,149.0,41,True,,yapf,conda-forge/yapf,,84613.0,82317.0,https://pypi.org/project/yapf,2023-06-20 05:44:07.767,2296.0,4811188.0,4865393.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1571948.0,2.0,,,,,,,,,,,,,,,,,
23,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-09-06 18:45:26.000,2023-09-05 13:07:18,2582.0,41.0,664.0,86.0,1118.0,18.0,1822.0,10883.0,2023-09-02 17:13:27.000,3.4.0,100.0,152.0,41,True,,pre-commit,conda-forge/pre-commit,,147473.0,147473.0,https://pypi.org/project/pre-commit,,,13277831.0,13395634.0,https://anaconda.org/conda-forge/pre-commit,2023-09-02 20:14:40.754,3607668.0,1.0,610563.0,,,,,,,,,,,,,,,,
24,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-09-07 07:20:40.000,2023-09-06 15:46:35,723.0,41.0,1039.0,169.0,1303.0,16.0,1282.0,4538.0,2023-08-30 14:33:07.000,20.24.4,210.0,263.0,41,True,,virtualenv,conda-forge/virtualenv,,325594.0,307640.0,https://pypi.org/project/virtualenv,2023-08-30 14:29:02.000,17954.0,90600034.0,90747673.0,https://anaconda.org/conda-forge/virtualenv,2023-08-30 19:19:12.197,5167372.0,2.0,,,,,,,,,,,,,,,,,
25,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-09-06 08:29:28.000,2023-09-06 08:29:27,2942.0,50.0,2042.0,183.0,2497.0,630.0,4648.0,26493.0,2023-08-21 17:53:20.000,1.6.1,164.0,479.0,40,True,,poetry,conda-forge/poetry,,289.0,,https://pypi.org/project/poetry,2023-08-21 17:53:20.000,289.0,20620516.0,20887855.0,https://anaconda.org/conda-forge/poetry,2023-08-21 20:30:34.699,985489.0,2.0,15250475.0,,,,,,,,,,,,,,,,
26,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-09-06 18:45:20.000,2023-08-20 20:18:05,4102.0,16.0,541.0,48.0,942.0,178.0,1062.0,5988.0,2023-01-31 16:31:31.154,5.8.0,143.0,286.0,40,True,,isort,conda-forge/isort,,429728.0,412021.0,https://pypi.org/project/isort,2023-01-31 16:31:31.154,17707.0,26386130.0,26446819.0,https://anaconda.org/conda-forge/isort,2023-06-16 13:18:02.201,5219330.0,2.0,,,,,,,,,,,,,,,,,
27,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-09-07 12:26:58.000,2023-09-06 15:48:18,648.0,51.0,491.0,42.0,1347.0,70.0,1574.0,3348.0,2023-09-01 19:00:55.000,4.11.1,206.0,287.0,40,True,,tox,conda-forge/tox,['pytest'],126434.0,104295.0,https://pypi.org/project/tox,2023-09-01 19:00:55.000,22139.0,12316395.0,12335862.0,https://anaconda.org/conda-forge/tox,2023-09-04 15:36:08.242,778692.0,1.0,,,,,,,,,,,,,,,,,
28,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-09-07 12:46:30.000,2023-08-30 23:36:54,11348.0,410.0,510.0,131.0,322.0,138.0,1799.0,9618.0,2023-08-14 11:00:15.000,1.7.10,270.0,152.0,39,True,,nuitka,conda-forge/nuitka,,1507.0,1447.0,https://pypi.org/project/nuitka,2023-09-01 04:48:16.000,60.0,75455.0,89675.0,https://anaconda.org/conda-forge/nuitka,2023-09-01 05:52:14.677,568802.0,1.0,,,,,,,,,,,,,,,,,
29,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-09-07 13:46:39.000,2023-09-05 15:33:34,2034.0,113.0,511.0,100.0,967.0,134.0,849.0,7052.0,2023-08-08 23:35:03.000,7.3.0,67.0,197.0,39,True,,pip-tools,conda-forge/pip-tools,,22366.0,22366.0,https://pypi.org/project/pip-tools,,,9893666.0,9896565.0,https://anaconda.org/conda-forge/pip-tools,2023-08-09 01:51:06.267,115993.0,2.0,,,,,,,,,,,,,,,,,
30,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-09-07 14:40:24.000,2023-09-07 11:42:17,1908.0,124.0,388.0,70.0,1318.0,156.0,839.0,1595.0,2023-08-29 13:46:16.000,1.30.0,108.0,189.0,39,True,,sentry-sdk,conda-forge/sentry-sdk,,48817.0,48817.0,https://pypi.org/project/sentry-sdk,,,21603699.0,21618968.0,https://anaconda.org/conda-forge/sentry-sdk,2023-08-29 16:08:11.764,592227.0,1.0,3283.0,,,,,,,,,,,,,,,,
31,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2023-08-01 13:39:11.480,2023-07-28 22:57:34,8386.0,24.0,483.0,114.0,583.0,45.0,1318.0,5494.0,,,22.0,165.0,38,False,,jedi,conda-forge/jedi,,341159.0,341159.0,https://pypi.org/project/jedi,,,28399921.0,28869711.0,https://anaconda.org/conda-forge/jedi,2023-08-01 13:39:11.480,18321840.0,1.0,,,,,,,,,,,,,,,,,
32,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2023-08-31 09:08:43.000,2023-08-29 23:16:22,1470.0,16.0,1751.0,164.0,701.0,245.0,615.0,4450.0,2023-08-21 18:28:32.000,1.3.0,49.0,115.0,38,True,,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],7493.0,16.0,https://pypi.org/project/sphinx_rtd_theme,2023-08-29 23:14:50.000,7477.0,4552605.0,4643365.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2023-08-22 09:02:27.150,3539669.0,2.0,,,,,,,,,,,,,,,,,
33,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-08-27 14:12:45.000,2023-08-27 14:12:45,2833.0,14.0,298.0,72.0,229.0,122.0,360.0,4412.0,2023-08-26 13:59:08.000,2.0.4,75.0,59.0,38,True,,autopep8,conda-forge/autopep8,,194762.0,188855.0,https://pypi.org/project/autopep8,2023-08-26 13:49:56.000,5907.0,3526378.0,3558887.0,https://anaconda.org/conda-forge/autopep8,2023-08-26 14:51:03.645,1267881.0,3.0,,,,,,,,,,,,,,,,,
34,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-09-07 10:51:30.000,2023-09-04 12:36:26,749.0,33.0,623.0,131.0,138.0,103.0,732.0,15835.0,2023-09-04 13:15:14.000,0.7.1,20.0,49.0,37,True,,loguru,conda-forge/loguru,,61217.0,61217.0,https://pypi.org/project/loguru,,,7548542.0,7588412.0,https://anaconda.org/conda-forge/loguru,2023-09-04 15:50:45.696,1594804.0,2.0,,,,,,,,,,,,,,,,,
35,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-09-06 17:01:32.000,2023-09-06 17:01:32,6559.0,333.0,1078.0,110.0,765.0,6.0,4471.0,10805.0,2023-09-06 01:59:27.000,1.1.326,100.0,97.0,37,True,,,,,602.0,602.0,,,,,655703.0,,,,2.0,841.0,,,,,,pyright,https://www.npmjs.com/package/pyright,655657.0,,,,,,,,
36,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,,2014-09-13 17:06:24.000,2023-08-22 13:08:00.000,2023-08-22 13:07:59,2411.0,35.0,281.0,38.0,336.0,25.0,1501.0,2985.0,,,30.0,172.0,37,False,,flake8,conda-forge/flake8,,485740.0,485740.0,https://pypi.org/project/flake8,,,22896656.0,23062578.0,https://anaconda.org/conda-forge/flake8,2023-07-31 20:03:25.549,6636896.0,1.0,,,,,,,,,,-4.0,,,,,,,
37,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2023-09-06 20:58:14.000,2023-08-19 15:57:25,5159.0,117.0,1393.0,503.0,747.0,209.0,1483.0,23441.0,2023-05-18 15:52:21.000,3.4.0.2,96.0,175.0,36,True,,glances,conda-forge/glances,,760.0,709.0,https://pypi.org/project/glances,2022-05-26 08:29:00.000,51.0,138155.0,140448.0,https://anaconda.org/conda-forge/glances,2023-06-05 20:53:05.651,205085.0,1.0,1519.0,,,,,,,,,,,,,,,,
38,pyautogui,asweigart/pyautogui,testing,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,,https://github.com/asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000,2023-08-29 23:13:35.000,2023-06-07 11:16:23,408.0,,1080.0,187.0,156.0,455.0,225.0,8565.0,2023-05-24 20:13:07.561,0.9.54,51.0,52.0,36,True,,pyautogui,conda-forge/pyautogui,,27405.0,26614.0,https://pypi.org/project/pyautogui,2021-07-07 17:05:04.000,791.0,632625.0,635569.0,https://anaconda.org/conda-forge/pyautogui,2023-06-12 20:13:48.004,206117.0,1.0,,,,,,,,,,,,,,,,,
39,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2023-09-07 11:17:15.000,2023-09-05 19:50:01,24075.0,383.0,1640.0,202.0,5511.0,698.0,838.0,5073.0,2023-09-03 09:48:42.000,3.9.2,125.0,849.0,36,True,,buildbot,conda-forge/buildbot,,789.0,332.0,https://pypi.org/project/buildbot,2023-09-03 09:48:42.000,457.0,32270.0,34931.0,https://anaconda.org/conda-forge/buildbot,2023-09-03 11:43:28.850,87363.0,1.0,32447.0,,,,,,,,,,,,,,,,
40,wemake-python-styleguide,wemake-services/wemake-python-styleguide,linters,The strictest and most opinionated python linter ever!.,,https://github.com/wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,MIT,2018-03-09 21:04:25.000,2023-09-07 06:12:05.000,2023-09-07 06:11:21,2272.0,62.0,370.0,29.0,1668.0,111.0,960.0,2274.0,2023-05-31 14:30:27.000,0.18.0,56.0,182.0,36,True,,wemake-python-styleguide,,,15246.0,15199.0,https://pypi.org/project/wemake-python-styleguide,2020-01-19 11:56:48.000,47.0,199321.0,199321.0,,,,1.0,,,,,,,,,,,,,,,,,
41,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2023-06-16 13:15:36.736,2023-05-24 18:28:10,920.0,,203.0,39.0,237.0,133.0,237.0,1523.0,2023-05-24 18:44:54.000,4.1.0,45.0,86.0,36,True,,pytest-cov,conda-forge/pytest-cov,['pytest'],306317.0,272292.0,https://pypi.org/project/pytest-cov,2023-05-24 18:44:54.000,34025.0,24581896.0,24686043.0,https://anaconda.org/conda-forge/pytest-cov,2023-06-16 13:15:36.736,9373241.0,1.0,,,,,,,,,,,,,,,,,
