,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-03-21 06:21:59.000000,2024-03-15 20:17:06,6049.0,44.0,1326.0,235.0,674.0,1430.0,9870.0,,,40.0,205.0,44,True,,267.0,psutil,conda-forge/psutil,,,101752920.0,454960.0,454960.0,https://pypi.org/project/psutil,101095699.0,https://anaconda.org/conda-forge/psutil,2024-02-08 19:11:03.012,28917735.0,1.0,,,,,,,,,,,,,,,,,,
11,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2024-03-16 01:30:19.221627,2024-02-10 18:11:50,1979.0,15.0,1398.0,209.0,543.0,578.0,27207.0,2024-02-10 19:02:52.000,4.66.2,136.0,115.0,43,True,,490.0,tqdm,conda-forge/tqdm,,12027.0,94328290.0,705800.0,675586.0,https://pypi.org/project/tqdm,93769153.0,https://anaconda.org/conda-forge/tqdm,2024-02-10 20:59:56.053,25153133.0,1.0,2024-02-10 18:19:53.000,30214.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2024-03-16 01:30:19.221627,2.0,4265.0,,,,,,,,,,,
12,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2024-03-20 18:03:49.000000,2024-03-20 07:59:01,6153.0,195.0,3174.0,126.0,2819.0,2222.0,17821.0,2024-03-18 00:43:03.000,9.5.14,201.0,259.0,43,True,,36.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],,4365079.0,44949.0,44949.0,https://pypi.org/project/mkdocs-material,4357319.0,https://anaconda.org/conda-forge/mkdocs-material,2024-03-18 04:50:28.085,356968.0,1.0,,,,,,,,,,,,,,,,,,
13,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2024-03-21 01:53:08.000000,2024-03-20 19:50:42,16772.0,113.0,1481.0,198.0,4145.0,8824.0,6035.0,2024-03-18 13:27:19.000,24.3.0,100.0,450.0,43,True,,723.0,conda,conda-forge/conda,,123.0,1232052.0,47281.0,46182.0,https://pypi.org/project/conda,154918.0,https://anaconda.org/conda-forge/conda,2024-02-23 16:47:48.807,49548120.0,1.0,2017-04-22 23:43:59.218,1099.0,,,,,,,,,,,,,,,,
14,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2024-03-21 14:08:50.000000,2024-03-21 14:08:49,20693.0,243.0,1933.0,150.0,5284.0,5699.0,5974.0,2023-09-13 23:13:00.000,7.2.6,108.0,814.0,43,False,,1109.0,sphinx,conda-forge/sphinx,['sphinx'],,13139350.0,366080.0,366080.0,https://pypi.org/project/sphinx,12947991.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8802542.0,1.0,,,,,,,,,,,,,,,,,,
15,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2024-02-19 12:07:48.000000,2024-02-19 12:07:47,8412.0,10.0,502.0,113.0,594.0,1327.0,5630.0,2023-10-02 09:20:35.000,0.19.1,34.0,168.0,43,True,,57.0,jedi,conda-forge/jedi,,,40005336.0,416493.0,407931.0,https://pypi.org/project/jedi,39540348.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,20924489.0,1.0,2023-10-02 09:20:35.000,8562.0,,,,,,,,,,,,,,,,
16,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2024-03-11 11:59:06.000000,2024-02-29 14:02:23,3877.0,7.0,1646.0,543.0,1076.0,1068.0,46732.0,2024-02-28 14:52:38.000,13.7.1,109.0,236.0,42,True,,176.0,rich,conda-forge/rich,,,48961925.0,180718.0,180718.0,https://pypi.org/project/rich,48818767.0,https://anaconda.org/conda-forge/rich,2024-02-28 20:06:23.063,6298952.0,1.0,,,,,,,,,,,,,,,,,,
17,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2024-03-21 11:54:44.000000,2024-03-21 11:54:43,6526.0,598.0,803.0,70.0,6220.0,3337.0,25233.0,2024-03-15 18:13:40.000,0.3.3,106.0,386.0,42,True,astral-sh/ruff,720.0,ruff,conda-forge/ruff,,266046.0,14726789.0,37660.0,37660.0,https://pypi.org/project/ruff,14672132.0,https://anaconda.org/conda-forge/ruff,2024-03-16 15:10:31.619,570467.0,1.0,,,,,,,,,,,,,,,,,,
18,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2024-03-21 13:13:02.000000,2024-03-21 13:13:01,9178.0,90.0,1810.0,233.0,2349.0,4944.0,11165.0,2024-03-09 20:30:10.000,6.5.0,62.0,467.0,42,True,,271.0,pyinstaller,conda-forge/pyinstaller,,744579.0,2264102.0,55935.0,55935.0,https://pypi.org/project/pyinstaller,2244151.0,https://anaconda.org/conda-forge/pyinstaller,2024-03-10 13:47:13.762,533610.0,1.0,,,,,,,,3.0,,,,,,,,,,
19,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2024-03-18 22:35:57.000000,2024-03-18 13:25:36,9101.0,69.0,1065.0,77.0,4124.0,4496.0,5078.0,2024-02-25 16:48:26.000,3.1.0,185.0,559.0,42,True,pylint-dev/pylint,883.0,pylint,conda-forge/pylint,,,22192793.0,436525.0,413021.0,https://pypi.org/project/pylint,22085640.0,https://anaconda.org/conda-forge/pylint,2024-02-25 19:42:33.200,4821901.0,1.0,2024-02-25 16:48:26.000,23504.0,,,,,,,,,,,,,,,,
20,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2024-03-21 11:06:01.000000,2024-03-21 02:25:12,3186.0,153.0,2158.0,190.0,2763.0,5024.0,29067.0,2024-03-02 15:26:38.000,1.8.2,169.0,547.0,41,True,,652.0,poetry,conda-forge/poetry,,15416083.0,34834673.0,391.0,,https://pypi.org/project/poetry,34575824.0,https://anaconda.org/conda-forge/poetry,2024-03-03 16:09:33.641,1137244.0,2.0,2024-03-02 15:26:38.000,391.0,,,,,,,,,,,,,,,,
21,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2024-03-16 15:14:50.000000,2024-03-16 15:05:17,2053.0,14.0,2292.0,235.0,1256.0,1808.0,18095.0,2023-09-18 21:27:59.000,1.5.3,29.0,246.0,41,True,,119.0,mkdocs,conda-forge/mkdocs,['mkdocs'],,3350882.0,58533.0,58533.0,https://pypi.org/project/mkdocs,3341143.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,321407.0,1.0,,,,,,,,,,,,,,,,,,
22,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2024-03-21 13:02:10.000000,2024-03-20 13:29:19,2643.0,21.0,713.0,86.0,1169.0,1939.0,11830.0,2024-02-18 18:22:07.000,3.6.2,100.0,157.0,41,True,,19.0,pre-commit,conda-forge/pre-commit,,1109013.0,19758493.0,179937.0,179937.0,https://pypi.org/project/pre-commit,19636877.0,https://anaconda.org/conda-forge/pre-commit,2024-02-18 19:29:08.366,4181361.0,1.0,,,,,,,,,,,,,,,,,,
23,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2024-03-19 02:21:34.000000,2024-03-17 15:40:11,14545.0,51.0,2193.0,477.0,712.0,4112.0,8932.0,2024-01-11 16:01:12.000,7.0,79.0,198.0,41,True,,257.0,robotframework,conda-forge/robotframework,,554.0,2531720.0,10067.0,10067.0,https://pypi.org/project/robotframework,2526939.0,https://anaconda.org/conda-forge/robotframework,2024-01-11 22:50:41.389,172000.0,1.0,,,,,,,,,,,,,,,,,,
24,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2024-03-20 07:41:32.000000,2024-03-14 14:28:03,768.0,12.0,965.0,170.0,1348.0,1292.0,4675.0,2023-12-01 16:24:25.000,20.25.0,67.0,113.0,41,True,,21.0,virtualenv,conda-forge/virtualenv,,,121231565.0,369185.0,369185.0,https://pypi.org/project/virtualenv,121079903.0,https://anaconda.org/conda-forge/virtualenv,2024-02-22 11:44:36.913,6218148.0,2.0,,,,,,,,,,,,,,,,,,
25,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2024-03-20 17:41:36.000000,2024-01-15 05:16:11,4162.0,4.0,558.0,48.0,977.0,1075.0,6278.0,2023-12-13 20:37:31.000,5.13.2,146.0,294.0,40,True,,212.0,isort,conda-forge/isort,,,38086237.0,474321.0,455409.0,https://pypi.org/project/isort,37957092.0,https://anaconda.org/conda-forge/isort,2023-12-14 01:51:17.173,5682383.0,2.0,2023-12-13 20:37:23.000,18912.0,,,,,,,,,,,,,,,,
26,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2024-03-19 18:55:26.000000,2024-03-19 18:55:19,1345.0,9.0,882.0,211.0,368.0,463.0,13617.0,2023-09-22 18:40:43.000,0.40.2,74.0,154.0,39,True,,380.0,yapf,conda-forge/yapf,,,5462811.0,93511.0,91142.0,https://pypi.org/project/yapf,5413309.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1732584.0,2.0,2023-09-22 18:40:43.000,2369.0,,,,,,,,,,,,,,,,
27,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2024-03-18 17:41:59.000000,2024-03-12 22:25:28,2122.0,53.0,529.0,102.0,999.0,892.0,7405.0,2024-03-06 12:11:59.000,7.4.1,69.0,208.0,39,True,,146.0,pip-tools,conda-forge/pip-tools,,,13874050.0,26513.0,26513.0,https://pypi.org/project/pip-tools,13871016.0,https://anaconda.org/conda-forge/pip-tools,2024-03-06 14:43:42.984,139572.0,2.0,,,,,,,,,,,,,,,,,,
28,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2024-03-20 01:57:26.000000,2024-03-18 17:43:17,719.0,39.0,489.0,41.0,1415.0,1603.0,3486.0,2024-03-06 18:53:30.000,4.14.1,214.0,297.0,39,True,,93.0,tox,conda-forge/tox,['pytest'],,14965720.0,135221.0,112292.0,https://pypi.org/project/tox,14946598.0,https://anaconda.org/conda-forge/tox,2024-03-06 20:35:31.856,879620.0,1.0,2024-03-06 18:53:30.000,22929.0,,,,,,,,,,,,,,,,
29,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2024-03-20 19:06:10.000000,2024-03-20 19:06:06,7239.0,270.0,1250.0,115.0,1264.0,5357.0,11839.0,2024-03-20 06:13:37.000,1.1.355,439.0,107.0,38,True,,22.0,,,,1826.0,1283003.0,789.0,777.0,,,,,,2.0,,,,,,,,,pyright,https://www.npmjs.com/package/pyright,2024-03-20 06:09:03.781,12.0,1282917.0,,,,,
30,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2024-03-20 21:04:32.000000,2024-03-18 02:37:12,12131.0,883.0,568.0,136.0,375.0,2054.0,10581.0,,,201.0,167.0,38,True,,123.0,nuitka,conda-forge/nuitka,,,128815.0,1882.0,1882.0,https://pypi.org/project/nuitka,115126.0,https://anaconda.org/conda-forge/nuitka,2024-03-14 13:11:36.790,629712.0,1.0,,,,,,,,,,,,,,,,,,
31,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,,2013-03-10 13:51:19.000,2024-03-20 23:54:13.901000,2024-03-20 22:15:53,14284.0,759.0,562.0,74.0,2422.0,1470.0,7208.0,2023-04-26 08:30:52.000,hypothesis-python-6.74.0,777.0,328.0,38,False,,35.0,hypothesis,conda-forge/hypothesis,,,6892101.0,25634.0,25634.0,https://pypi.org/project/hypothesis,6708144.0,https://anaconda.org/conda-forge/hypothesis,2024-03-20 23:54:13.901,8462030.0,1.0,,,,,,,,,,,,,,,,,,
32,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2024-03-19 08:31:10.000000,2024-03-19 00:16:33,1360.0,27.0,569.0,66.0,442.0,478.0,5900.0,2024-03-08 19:25:54.000,1.7.8,39.0,178.0,38,True,,193.0,bandit,conda-forge/bandit,,765.0,5006409.0,49545.0,47645.0,https://pypi.org/project/bandit,4999329.0,https://anaconda.org/conda-forge/bandit,2024-01-26 11:30:27.704,289859.0,1.0,2024-03-08 19:25:54.000,1900.0,,,,,,,,,,,,,,,,
33,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2024-03-17 23:08:06.000000,2024-03-17 23:07:48,2887.0,41.0,291.0,72.0,250.0,372.0,4500.0,2024-03-17 10:44:22.000,2.1.0,76.0,63.0,38,True,,128.0,autopep8,conda-forge/autopep8,,,4525800.0,210227.0,204244.0,https://pypi.org/project/autopep8,4493995.0,https://anaconda.org/conda-forge/autopep8,2024-03-17 12:14:23.844,1431247.0,3.0,2024-03-17 10:44:22.000,5983.0,,,,,,,,,,,,,,,,
34,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,,2014-09-13 17:06:24.000,2024-03-19 11:19:51.000000,2024-03-19 11:19:50,2451.0,14.0,294.0,37.0,361.0,1538.0,3222.0,,,31.0,175.0,38,False,,22.0,flake8,conda-forge/flake8,,,30700710.0,536317.0,536317.0,https://pypi.org/project/flake8,30545848.0,https://anaconda.org/conda-forge/flake8,2024-01-05 19:47:00.587,7123678.0,1.0,,,,,,,,,,,,,,,,,,
35,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2024-03-12 20:04:57.000000,2024-03-03 02:02:52,1136.0,39.0,293.0,39.0,567.0,441.0,1525.0,2024-02-11 13:47:42.000,5.0.0,26.0,118.0,38,True,,52.0,twine,conda-forge/twine,,5.0,6390033.0,102008.0,102008.0,https://pypi.org/project/twine,6369415.0,https://anaconda.org/conda-forge/twine,2024-02-11 22:36:42.897,927838.0,1.0,,,,,,,,,,,,,,,,,,
36,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2024-03-19 15:27:17.000000,2024-03-19 15:27:16,1160.0,22.0,217.0,49.0,412.0,359.0,1335.0,2023-11-21 15:21:18.000,3.5.0,67.0,100.0,38,True,,247.0,pytest-xdist,conda-forge/pytest-xdist,['pytest'],20.0,19809977.0,100970.0,95285.0,https://pypi.org/project/pytest-xdist,19680431.0,https://anaconda.org/conda-forge/pytest-xdist,2023-11-21 18:58:37.015,5699830.0,1.0,2023-11-21 15:21:13.000,5685.0,,,,,,,,,,,,,,,,
37,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2024-03-03 09:06:54.000000,2024-03-02 11:34:55,809.0,29.0,655.0,138.0,169.0,780.0,17775.0,2023-09-11 15:25:24.000,0.7.2,21.0,53.0,37,True,,153.0,loguru,conda-forge/loguru,,,17450967.0,81744.0,78360.0,https://pypi.org/project/loguru,17406996.0,https://anaconda.org/conda-forge/loguru,2023-09-24 09:55:27.841,2022700.0,1.0,2023-09-11 15:24:35.000,3384.0,,,,,,,,,,,,,,,,
38,playwright-python,microsoft/playwright-python,testing,Python version of the Playwright testing and automation library.,,https://github.com/microsoft/playwright-python,https://github.com/microsoft/playwright-python,Apache-2.0,2020-07-01 15:28:13.000,2024-03-20 17:49:50.000000,2024-03-20 17:49:50,755.0,62.0,794.0,133.0,854.0,1208.0,10392.0,2024-03-06 10:19:52.000,1.42.0,109.0,37.0,37,True,,43.0,playwright,,,,2931804.0,14593.0,14070.0,https://pypi.org/project/playwright,2931804.0,,,,2.0,2024-03-06 10:19:52.000,523.0,,,,,,,,,,,,,,,,
39,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2024-03-19 01:21:43.000000,2024-03-19 01:10:48,937.0,17.0,205.0,39.0,248.0,245.0,1648.0,2023-05-24 18:44:54.000,4.1.0,45.0,88.0,37,True,,155.0,pytest-cov,conda-forge/pytest-cov,['pytest'],,42627386.0,341230.0,304528.0,https://pypi.org/project/pytest-cov,42519725.0,https://anaconda.org/conda-forge/pytest-cov,2023-06-16 13:15:36.736,10335466.0,2.0,2023-05-24 18:44:54.000,36702.0,,,,,,,,,,,,,,,,
40,pytest-asyncio,pytest-dev/pytest-asyncio,testing,Asyncio support for pytest.,,https://github.com/pytest-dev/pytest-asyncio,https://github.com/pytest-dev/pytest-asyncio,Apache-2.0,2015-04-11 00:18:05.000,2024-03-19 11:58:34.903000,2024-03-19 07:11:45,657.0,68.0,134.0,37.0,493.0,261.0,1306.0,2024-03-19 07:17:36.000,0.23.6,34.0,46.0,37,True,,41.0,pytest-asyncio,conda-forge/pytest-asyncio,['pytest'],939.0,12132417.0,91750.0,91750.0,https://pypi.org/project/pytest-asyncio,12091525.0,https://anaconda.org/conda-forge/pytest-asyncio,2024-03-19 11:58:34.903,1879416.0,2.0,,,,,,,,,,,,,,,,,,
41,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2024-03-21 10:19:43.854000,2024-03-11 19:28:01,940.0,23.0,139.0,34.0,221.0,344.0,474.0,2024-03-11 19:29:15.000,0.43.0,78.0,80.0,37,True,,43.0,wheel,conda-forge/wheel,,,411763823.0,297432.0,259661.0,https://pypi.org/project/wheel,409752128.0,https://anaconda.org/conda-forge/wheel,2024-03-21 10:19:43.854,86502902.0,2.0,2024-03-11 19:29:15.000,37771.0,,,,,,,,,,,,,,,,
42,pipx,pypa/pipx,dependency-managers,Install and Run Python Applications in Isolated Environments.,,https://github.com/pypa/pipx,https://github.com/pypa/pipx,MIT,2018-10-06 18:47:46.000,2024-03-19 15:02:15.000000,2024-03-19 15:02:14,709.0,67.0,374.0,74.0,594.0,610.0,8491.0,2024-01-16 16:53:15.000,1.4.3,61.0,137.0,36,True,,61.0,pipx,conda-forge/pipx,,50934.0,4655684.0,1999.0,1979.0,https://pypi.org/project/pipx,4653109.0,https://anaconda.org/conda-forge/pipx,2024-01-17 09:19:13.109,44533.0,2.0,2024-01-16 16:53:15.000,20.0,,,,,,,,,,,,,,,,
