,name,github_id,category,description,resource,homepage,contributor_count,github_url,license,created_at,updated_at,fork_count,open_issue_count,star_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,last_commit_pushed_at,commit_count,recent_commit_count,watchers_count,pr_count,closed_issue_count,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,github_release_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,updated_github_id,conda_forge
10,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,313.0,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2026-09-09 10:11:57.508000,1115.0,2.0,5045.0,36,True,virtualenv,conda-forge/virtualenv,,517612.0,515365.0,https://pypi.org/project/virtualenv,2026-09-09 01:03:26.000,2026-09-09 01:03:26.000,21.7.9,282.0,2247.0,379544540.0,379887244.0,https://anaconda.org/conda-forge/virtualenv,2026-09-09 10:11:57.508,24332009.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,653.0,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2026-09-08 15:16:14.000000,1429.0,699.0,2856.0,36,True,setuptools,conda-forge/setuptools,,909091.0,874348.0,https://pypi.org/project/setuptools,2026-08-08 18:27:56.000,2026-08-08 18:27:56.000,84.0.0,633.0,34743.0,1265738854.0,1268770088.0,https://anaconda.org/conda-forge/setuptools,2026-08-09 13:46:58.683,230373838.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://docs.astral.sh/ruff,969.0,,MIT,2022-11-30 10:02:13.208,2026-09-03 22:56:35.914000,2381.0,,49463.0,35,True,ruff,conda-forge/ruff,,327082.0,235904.0,https://pypi.org/project/ruff,2026-09-03 16:56:40.000,2026-09-03 16:56:40.000,0.16.6,422.0,91178.0,310846975.0,311041514.0,https://anaconda.org/conda-forge/ruff,2026-09-03 22:56:35.914,8948819.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,866.0,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2026-09-05 16:16:47.895000,3273.0,3179.0,20594.0,35,False,mypy,conda-forge/mypy,,474131.0,396981.0,https://pypi.org/project/mypy,2026-08-15 03:01:53.000,2026-08-15 03:01:53.000,2.3.1,141.0,77150.0,180092503.0,180207516.0,https://anaconda.org/conda-forge/mypy,2026-09-05 16:16:47.895,8626035.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,334.0,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2026-08-09 08:59:52.000000,4133.0,1.0,27255.0,34,True,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],108064.0,93484.0,https://pypi.org/project/mkdocs-material,2026-07-17 16:21:30.000,2026-07-17 16:21:30.000,9.7.7,442.0,14580.0,14887211.0,14902634.0,https://anaconda.org/conda-forge/mkdocs-material,2026-07-18 12:55:48.349,1172182.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,546.0,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2026-08-20 21:12:21.871000,1877.0,13.0,25039.0,34,True,pipenv,conda-forge/pipenv,,174650.0,174390.0,https://pypi.org/project/pipenv,2026-08-20 20:03:55.000,2026-08-20 20:03:55.000,2026.8.0,421.0,260.0,20397176.0,20402040.0,https://anaconda.org/conda-forge/pipenv,2026-08-20 21:12:21.871,369712.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
16,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,167.0,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2026-08-17 23:37:08.000000,1000.0,26.0,15542.0,34,True,pre-commit,conda-forge/pre-commit,,328850.0,290926.0,https://pypi.org/project/pre-commit,2026-08-10 22:07:16.000,2026-08-10 22:07:16.000,4.6.2,204.0,37924.0,174222128.0,174386248.0,https://anaconda.org/conda-forge/pre-commit,2026-08-11 00:33:10.928,11324337.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
17,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,354.0,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2026-08-27 23:35:03.010000,682.0,90.0,6950.0,34,True,isort,conda-forge/isort,,615718.0,586246.0,https://pypi.org/project/isort,2026-08-27 20:53:29.000,2026-08-27 20:53:29.000,9.0.1,159.0,29472.0,113708711.0,113845761.0,https://anaconda.org/conda-forge/isort,2026-08-27 23:35:03.010,10141771.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
18,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,262.0,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2026-09-02 12:10:02.000000,2645.0,189.0,22406.0,33,True,mkdocs,conda-forge/mkdocs,['mkdocs'],121719.0,107600.0,https://pypi.org/project/mkdocs,2026-09-02 12:10:02.000,2024-08-30 12:24:05.000,1.6.1,66.0,14119.0,15573821.0,15593931.0,https://anaconda.org/conda-forge/mkdocs,2025-04-22 14:56:22.183,1266947.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
19,playwright-python,microsoft/playwright-python,testing,Python version of the Playwright testing and automation library.,,https://github.com/microsoft/playwright-python,57.0,https://github.com/microsoft/playwright-python,Apache-2.0,2020-07-01 15:28:13.000,2026-09-03 23:34:05.000000,1220.0,13.0,14987.0,33,True,playwright,,,69398.0,61915.0,https://pypi.org/project/playwright,2026-07-31 17:00:44.000,2026-07-31 17:00:44.000,1.62.0,131.0,7483.0,97091982.0,97091982.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,500.0,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2026-08-18 13:39:20.275000,2025.0,289.0,13069.0,33,True,pyinstaller,conda-forge/pyinstaller,,93793.0,91147.0,https://pypi.org/project/pyinstaller,2026-08-17 20:52:17.000,2026-08-17 20:52:17.000,6.22.2,76.0,2646.0,17198639.0,17229536.0,https://anaconda.org/conda-forge/pyinstaller,2026-08-18 13:39:20.275,2101057.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
21,hypothesis,HypothesisWorks/hypothesis,testing,The property-based testing library for Python.,,https://github.com/HypothesisWorks/hypothesis,423.0,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2026-09-09 10:40:24.591000,673.0,40.0,8949.0,33,True,hypothesis,conda-forge/hypothesis,,54850.0,46081.0,https://pypi.org/project/hypothesis,2026-09-08 18:46:33.000,2026-09-08 18:46:33.000,6.168.0,1569.0,8769.0,49831971.0,50113615.0,https://anaconda.org/conda-forge/hypothesis,2026-09-09 10:40:24.591,21404956.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
22,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,180.0,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2026-06-23 21:59:49.043000,530.0,72.0,6138.0,33,True,jedi,conda-forge/jedi,,606176.0,604575.0,https://pypi.org/project/jedi,2026-05-01 23:38:43.000,2026-05-01 23:38:43.000,0.20.0,36.0,1601.0,108319896.0,108884154.0,https://anaconda.org/conda-forge/jedi,2026-06-23 21:59:49.043,42319359.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
23,pylint,PyCQA/pylint,linters,python code static checker.,,https://github.com/pylint-dev/pylint,680.0,,GPL-2.0,2020-06-17 14:34:01.091,2026-08-29 18:16:11.807000,1317.0,,5719.0,33,True,pylint,conda-forge/pylint,,508786.0,495098.0,https://pypi.org/project/pylint,2026-08-29 12:21:57.000,2026-08-29 12:21:57.000,4.0.8,214.0,13688.0,47348519.0,47465329.0,https://anaconda.org/conda-forge/pylint,2026-08-29 18:16:11.807,8760783.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
24,pytest-asyncio,pytest-dev/pytest-asyncio,testing,Asyncio support for pytest.,,https://github.com/pytest-dev/pytest-asyncio,82.0,https://github.com/pytest-dev/pytest-asyncio,Apache-2.0,2015-04-11 00:18:05.000,2026-08-31 19:29:49.000000,201.0,50.0,1660.0,33,True,pytest-asyncio,conda-forge/pytest-asyncio,['pytest'],267258.0,226015.0,https://pypi.org/project/pytest-asyncio,2026-05-26 09:56:02.000,2026-05-26 09:56:02.000,1.4.0,76.0,41243.0,252186046.0,252241694.0,https://anaconda.org/conda-forge/pytest-asyncio,2026-05-26 13:34:51.646,4229275.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
25,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,93.0,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2026-08-13 09:27:29.701000,187.0,7.0,569.0,33,True,wheel,conda-forge/wheel,,409463.0,392651.0,https://pypi.org/project/wheel,2026-08-11 22:02:26.000,2026-08-11 22:02:26.000,0.48.0,87.0,16812.0,474590094.0,477223448.0,https://anaconda.org/conda-forge/wheel,2026-08-13 09:27:29.701,192234907.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
26,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,80.0,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2026-08-30 17:08:10.000000,814.0,255.0,24099.0,32,True,loguru,conda-forge/loguru,,173996.0,157858.0,https://pypi.org/project/loguru,2024-12-06 11:20:54.000,2024-12-06 11:20:54.000,0.7.3,22.0,16138.0,77085681.0,77151215.0,https://anaconda.org/conda-forge/loguru,2026-01-16 11:15:00.482,4980654.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
27,pyre-check,facebook/pyre-check,type-checkers,Performant type-checking for python.,,https://github.com/facebook/pyre-check,308.0,https://github.com/facebook/pyre-check,MIT,2017-11-10 17:31:36.000,2026-08-06 10:26:35.000000,452.0,167.0,7171.0,32,True,pyre-check,,,130.0,24.0,https://pypi.org/project/pyre-check,2026-08-06 10:26:35.000,2025-07-07 15:59:16.000,0.9.25,82.0,106.0,203469.0,203469.0,,,,2.0,,,,,,2026-06-26 15:55:41,20985.0,17.0,114.0,573.0,311.0,8.0,,,,,,,,,,,,
28,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,362.0,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2026-09-09 13:08:54.228000,577.0,1.0,3931.0,32,True,tox,conda-forge/tox,['pytest'],151145.0,137347.0,https://pypi.org/project/tox,2026-09-09 01:37:10.000,2026-09-09 01:37:10.000,4.61.4,305.0,13798.0,21555825.0,21582765.0,https://anaconda.org/conda-forge/tox,2026-09-09 13:08:54.228,2047458.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
29,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,178.0,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2026-05-19 00:51:26.000000,348.0,23.0,3797.0,32,True,flake8,conda-forge/flake8,,721617.0,695083.0,https://pypi.org/project/flake8,2025-06-20 19:31:34.000,2025-06-20 19:31:34.000,7.3.0,94.0,26534.0,47023965.0,47175837.0,https://anaconda.org/conda-forge/flake8,2025-06-26 20:01:55.726,11542275.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
30,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,133.0,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2026-08-05 19:53:40.000000,334.0,53.0,1781.0,32,True,twine,conda-forge/twine,,189564.0,147336.0,https://pypi.org/project/twine,2026-07-27 15:58:59.000,2026-07-27 15:58:59.000,7.0.0,60.0,42228.0,24185054.0,24212630.0,https://anaconda.org/conda-forge/twine,2026-07-28 15:23:16.257,2068222.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
31,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,149.0,https://github.com/pypa/packaging,,2014-05-15 22:49:43.000,2026-08-05 00:02:25.436000,314.0,91.0,746.0,32,False,packaging,conda-forge/packaging,,2015079.0,1993697.0,https://pypi.org/project/packaging,2026-08-04 18:15:27.000,,,54.0,21382.0,1957822871.0,1959456374.0,https://anaconda.org/conda-forge/packaging,2026-08-05 00:02:25.436,124146267.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
32,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/Microsoft/pyright,160.0,https://github.com/Microsoft/pyright,MIT,2019-03-12 03:38:46.000,2026-09-09 20:42:01.701000,1809.0,339.0,15626.0,31,True,,,,1936.0,1802.0,,,2026-09-09 20:42:01.701,1.1.414,498.0,,,3329766.0,,,,3.0,,,,,,,,,,,,,pyright,https://www.npmjs.com/package/pyright,2026-09-09 20:42:01.701,134.0,3329766.0,,,,,,,
33,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,156.0,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2025-10-17 16:01:24.000000,902.0,418.0,13957.0,31,True,yapf,conda-forge/yapf,,109747.0,108491.0,https://pypi.org/project/yapf,2024-11-14 00:11:39.000,2024-11-14 00:11:39.000,0.43.0,75.0,1256.0,7219013.0,7276573.0,https://anaconda.org/conda-forge/yapf,2025-04-22 14:56:24.153,3741445.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
34,pipx,pypa/pipx,dependency-managers,Install and Run Python Applications in Isolated Environments.,,https://github.com/pypa/pipx,213.0,https://github.com/pypa/pipx,MIT,2018-10-06 18:47:46.000,2026-09-01 21:50:43.000000,591.0,,12953.0,31,True,pipx,conda-forge/pipx,,5018.0,4910.0,https://pypi.org/project/pipx,2026-09-01 21:50:43.000,2026-09-01 21:50:43.000,1.17.2,89.0,108.0,5043033.0,5047561.0,https://anaconda.org/conda-forge/pipx,2026-06-05 14:08:56.720,258138.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
35,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,237.0,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2026-09-04 08:22:06.000000,2562.0,300.0,11864.0,31,True,robotframework,conda-forge/robotframework,,15493.0,14254.0,https://pypi.org/project/robotframework,2026-09-04 08:22:06.000,2026-03-03 16:28:51.000,7.4.2,154.0,1239.0,4568493.0,4572964.0,https://anaconda.org/conda-forge/robotframework,2026-03-04 14:33:43.144,295142.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
36,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,228.0,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2026-08-31 17:47:19.000000,678.0,176.0,8006.0,31,True,pip-tools,conda-forge/pip-tools,,41726.0,38575.0,https://pypi.org/project/pip-tools,2026-08-12 00:04:07.000,2026-08-12 00:04:07.000,7.6.1,127.0,3151.0,14654574.0,14659543.0,https://anaconda.org/conda-forge/pip-tools,2026-08-14 12:08:02.681,377710.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
37,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,910.0,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2026-03-08 22:44:48.000000,2394.0,1423.0,7719.0,31,False,sphinx,conda-forge/sphinx,['sphinx'],530064.0,494007.0,https://pypi.org/project/sphinx,2025-12-31 15:09:25.000,2025-12-31 15:09:25.000,9.1.0,241.0,36057.0,45297475.0,45510837.0,https://anaconda.org/conda-forge/sphinx,2026-01-01 12:53:05.325,16215539.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
38,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,104.0,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2026-04-24 21:33:08.000000,244.0,170.0,2059.0,31,True,pytest-cov,conda-forge/pytest-cov,['pytest'],77890.0,,https://pypi.org/project/pytest-cov,2026-03-21 20:11:14.000,2026-03-21 20:11:14.000,7.1.0,54.0,77890.0,216322675.0,216594033.0,https://anaconda.org/conda-forge/pytest-cov,2026-03-22 00:27:51.180,20623273.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
39,pytest-mock,pytest-dev/pytest-mock,testing,Thin-wrapper around the mock package for easier use with pytest.,,https://github.com/pytest-dev/pytest-mock,87.0,https://github.com/pytest-dev/pytest-mock,MIT,2014-07-17 00:40:32.000,2026-09-01 04:24:28.000000,170.0,11.0,2039.0,31,True,pytest-mock,conda-forge/pytest-mock,['pytest'],150814.0,141401.0,https://pypi.org/project/pytest-mock,2025-09-16 16:37:25.000,2025-09-16 16:37:25.000,3.15.1,66.0,9413.0,89850815.0,89932175.0,https://anaconda.org/conda-forge/pytest-mock,2025-09-17 09:28:14.765,6102038.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
40,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,120.0,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2026-09-01 04:23:59.000000,282.0,315.0,1901.0,31,True,pytest-xdist,conda-forge/pytest-xdist,['pytest'],146882.0,141265.0,https://pypi.org/project/pytest-xdist,2025-07-01 13:30:56.000,2025-07-01 13:30:56.000,3.8.0,71.0,5617.0,141548697.0,141749279.0,https://anaconda.org/conda-forge/pytest-xdist,2025-07-02 10:39:49.174,14843112.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
41,nodeenv,ekalinin/nodeenv,virtual-envs,Virtual environment for Node.js & integrator with virtualenv.,,https://github.com/ekalinin/nodeenv,108.0,https://github.com/ekalinin/nodeenv,BSD-3-Clause,2011-03-29 15:28:56.000,2025-12-27 20:06:33.000000,220.0,50.0,1782.0,31,True,nodeenv,conda-forge/nodeenv,,151240.0,150831.0,https://pypi.org/project/nodeenv,2025-12-20 14:08:52.000,2025-12-20 14:08:52.000,1.10.0,75.0,409.0,196828807.0,196961822.0,https://anaconda.org/conda-forge/nodeenv,2025-12-20 20:08:47.195,9976190.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
42,python-json-logger,madzak/python-json-logger,logging,Json Formatter for the standard python logger.,,https://github.com/madzak/python-json-logger,64.0,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26.000,2026-08-16 09:33:29.277000,233.0,30.0,1764.0,31,False,python-json-logger,conda-forge/python-json-logger,,1654.0,,https://pypi.org/project/python-json-logger,2026-08-15 11:36:36.000,2026-08-15 11:36:36.000,4.2.0,39.0,1654.0,102119344.0,102376247.0,https://anaconda.org/conda-forge/python-json-logger,2026-08-16 09:33:29.277,18240158.0,2.0,,,,,,2024-12-12 19:59:04,263.0,,1.0,92.0,91.0,,,,,,,,,,,,,
43,pydocstyle,PyCQA/pydocstyle,linters,docstring style checker.,,https://github.com/PyCQA/pydocstyle,92.0,https://github.com/PyCQA/pydocstyle,MIT,2012-01-31 17:18:23.000,2025-04-22 14:56:24.767000,190.0,121.0,1120.0,31,False,pydocstyle,conda-forge/pydocstyle,,76543.0,74791.0,https://pypi.org/project/pydocstyle,2023-01-17 20:31:11.783,2023-01-17 20:31:11.783,6.3.0,23.0,1752.0,4695050.0,4750514.0,https://anaconda.org/conda-forge/pydocstyle,2025-04-22 14:56:24.767,4048873.0,1.0,,,,,,2023-11-03 22:28:45,746.0,,2.0,318.0,225.0,,,,,,,111.0,,,,,,
44,py-spy,benfred/py-spy,profiling,Sampling profiler for Python programs.,,https://github.com/benfred/py-spy,57.0,https://github.com/benfred/py-spy,MIT,2018-08-01 02:22:15.000,2026-08-28 13:49:32.586000,542.0,238.0,15458.0,30,True,py-spy,conda-forge/py-spy,,9283.0,9042.0,https://pypi.org/project/py-spy,2026-04-24 22:08:45.000,2026-04-24 22:09:42.172,0.4.2,41.0,236.0,23183207.0,23197220.0,https://anaconda.org/conda-forge/py-spy,2026-08-28 13:49:32.586,1036966.0,1.0,,,,,,,,,,,,,,,,,,,py-spy,https://crates.io/crates/py-spy,2026-04-24 22:09:42.172,5.0,,
45,PDM,pdm-project/pdm,dependency-managers,A modern Python package and dependency manager supporting the latest PEP standards.,,https://github.com/pdm-project/pdm,268.0,https://github.com/pdm-project/pdm,MIT,2019-12-27 03:50:57.000,2026-08-29 15:28:50.824000,487.0,46.0,8671.0,30,True,pdm,conda-forge/pdm,,869.0,632.0,https://pypi.org/project/pdm,2026-08-29 10:18:46.000,2026-08-29 10:18:46.000,2.29.0,253.0,237.0,10133249.0,10165863.0,https://anaconda.org/conda-forge/pdm,2026-08-29 15:28:50.824,1956889.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
