,name,github_id,category,description,resource,homepage,contributor_count,github_url,license,created_at,updated_at,fork_count,open_issue_count,star_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
10,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,903.0,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-08-05 07:22:12.178000,3331.0,963.0,10248.0,36,True,pip,conda-forge/pip,,261028.0,254784.0,https://pypi.org/project/pip,2026-08-04 22:51:12.000,2026-08-04 22:51:12.000,26.2.1,160.0,6244.0,689851635.0,693083237.0,https://anaconda.org/conda-forge/pip,2026-08-05 07:22:12.178,242370189.0,1.0,,,,,,,,,,,,,,,,
11,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,312.0,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2026-08-11 05:58:39.937000,1110.0,2.0,5041.0,36,True,virtualenv,conda-forge/virtualenv,,515367.0,513136.0,https://pypi.org/project/virtualenv,2026-08-10 22:54:31.000,2026-08-10 22:54:31.000,21.7.4,277.0,2231.0,554109911.0,554442853.0,https://anaconda.org/conda-forge/virtualenv,2026-08-11 05:58:39.937,23305978.0,1.0,,,,,,,,,,,,,,,,
12,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://docs.astral.sh/ruff,942.0,,MIT,2022-11-30 10:02:13.208,2026-08-08 01:42:03.750000,2306.0,,49100.0,35,True,ruff,conda-forge/ruff,,308597.0,224102.0,https://pypi.org/project/ruff,2026-08-07 13:30:14.000,2026-08-07 13:30:14.000,0.16.2,418.0,84495.0,326284492.0,326467743.0,https://anaconda.org/conda-forge/ruff,2026-08-08 01:42:03.750,8246315.0,1.0,,,,,,,,,,,,,,,,
13,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,544.0,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2026-08-04 04:24:32.760000,1878.0,19.0,25047.0,35,True,pipenv,conda-forge/pipenv,,174634.0,174375.0,https://pypi.org/project/pipenv,2026-08-04 00:11:23.000,2026-08-04 00:11:23.000,2026.7.1,420.0,259.0,26182949.0,26187757.0,https://anaconda.org/conda-forge/pipenv,2026-08-04 04:24:32.760,360670.0,2.0,,,,,,,,,,,,,,,,
14,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,862.0,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2026-07-14 02:19:09.405000,3236.0,3166.0,20528.0,35,False,mypy,conda-forge/mypy,,462950.0,390759.0,https://pypi.org/project/mypy,2026-07-13 11:28:38.000,2026-07-13 11:28:38.000,2.3.0,140.0,72191.0,212904914.0,213016271.0,https://anaconda.org/conda-forge/mypy,2026-07-14 02:19:09.405,8240490.0,1.0,,,,,,,,,,,,,,,,
15,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,167.0,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2026-08-11 00:33:10.928000,1000.0,26.0,15500.0,35,True,pre-commit,conda-forge/pre-commit,,326056.0,288132.0,https://pypi.org/project/pre-commit,2026-08-10 22:07:16.000,2026-08-10 22:07:16.000,4.6.2,204.0,37924.0,198141641.0,198300621.0,https://anaconda.org/conda-forge/pre-commit,2026-08-11 00:33:10.928,10810674.0,1.0,,,,,,,,,,,,,,,,
16,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,332.0,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2026-07-18 12:55:48.349000,4109.0,1.0,27112.0,34,True,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],105432.0,91760.0,https://pypi.org/project/mkdocs-material,2026-07-17 16:21:30.000,2026-07-17 16:21:30.000,9.7.7,442.0,13672.0,17661254.0,17676218.0,https://anaconda.org/conda-forge/mkdocs-material,2026-07-18 12:55:48.349,1122334.0,1.0,,,,,,,,,,,,,,,,
17,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,180.0,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2026-06-23 21:59:49.043000,530.0,72.0,6138.0,34,True,jedi,conda-forge/jedi,,604636.0,603035.0,https://pypi.org/project/jedi,2026-05-01 23:38:43.000,2026-05-01 23:38:43.000,0.20.0,36.0,1601.0,141668521.0,142222973.0,https://anaconda.org/conda-forge/jedi,2026-06-23 21:59:49.043,41029503.0,1.0,,,,,,,,,,,,,,,,
18,playwright-python,microsoft/playwright-python,testing,Python version of the Playwright testing and automation library.,,https://github.com/microsoft/playwright-python,57.0,https://github.com/microsoft/playwright-python,Apache-2.0,2020-07-01 15:28:13.000,2026-07-31 17:00:44.000000,1200.0,1.0,14865.0,33,True,playwright,,,67702.0,60219.0,https://pypi.org/project/playwright,2026-07-31 17:00:44.000,2026-07-31 17:00:44.000,1.62.0,131.0,7483.0,99206142.0,99206142.0,,,,1.0,,,,,,,,,,,,,,,,
19,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,496.0,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2026-08-09 01:04:43.428000,2025.0,289.0,13053.0,33,True,pyinstaller,conda-forge/pyinstaller,,92982.0,90394.0,https://pypi.org/project/pyinstaller,2026-08-08 13:33:46.000,2026-08-08 13:33:46.000,6.22.0,74.0,2588.0,12783771.0,12814510.0,https://anaconda.org/conda-forge/pyinstaller,2026-08-09 01:04:43.428,2059526.0,1.0,,,,,,,,,,,,,,,,
20,hypothesis,HypothesisWorks/hypothesis,testing,The property-based testing library for Python.,,https://github.com/HypothesisWorks/hypothesis,414.0,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2026-08-12 22:33:48.000000,667.0,44.0,8869.0,33,True,hypothesis,conda-forge/hypothesis,,52751.0,44769.0,https://pypi.org/project/hypothesis,2026-08-12 22:33:48.000,2026-08-12 22:33:48.000,6.165.5,1559.0,7982.0,50446211.0,50723760.0,https://anaconda.org/conda-forge/hypothesis,2026-08-11 03:49:40.919,20816222.0,1.0,,,,,,,,,,,,,,,,
21,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,351.0,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2026-08-08 13:09:36.000000,671.0,88.0,6948.0,33,True,isort,conda-forge/isort,,614135.0,584851.0,https://pypi.org/project/isort,2026-08-08 13:09:36.000,2026-02-28 10:08:19.000,8.0.1,156.0,29284.0,142513828.0,142649050.0,https://anaconda.org/conda-forge/isort,2026-02-28 11:36:11.788,9871277.0,2.0,,,,,,,,,,,,,,,,
22,pylint,PyCQA/pylint,linters,python code static checker.,,https://github.com/pylint-dev/pylint,664.0,,GPL-2.0,2020-06-17 14:34:01.091,2026-08-10 02:26:47.160000,1295.0,,5710.0,33,True,pylint,conda-forge/pylint,,507765.0,494194.0,https://pypi.org/project/pylint,2026-08-09 19:13:21.000,2026-08-09 19:13:21.000,4.0.7,213.0,13571.0,65072700.0,65187887.0,https://anaconda.org/conda-forge/pylint,2026-08-10 02:26:47.160,8523849.0,1.0,,,,,,,,,,,,,,,,
23,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,354.0,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2026-08-11 13:10:44.952000,569.0,1.0,3918.0,33,True,tox,conda-forge/tox,['pytest'],150657.0,136955.0,https://pypi.org/project/tox,2026-08-10 22:51:05.000,2026-08-10 22:51:05.000,4.59.0,298.0,13702.0,35490342.0,35517032.0,https://anaconda.org/conda-forge/tox,2026-08-11 13:10:44.952,2001777.0,1.0,,,,,,,,,,,,,,,,
24,pytest-asyncio,pytest-dev/pytest-asyncio,testing,Asyncio support for pytest.,,https://github.com/pytest-dev/pytest-asyncio,82.0,https://github.com/pytest-dev/pytest-asyncio,Apache-2.0,2015-04-11 00:18:05.000,2026-08-05 19:15:17.000000,199.0,50.0,1654.0,33,True,pytest-asyncio,conda-forge/pytest-asyncio,['pytest'],261508.0,220265.0,https://pypi.org/project/pytest-asyncio,2026-05-26 09:56:02.000,2026-05-26 09:56:02.000,1.4.0,76.0,41243.0,293160679.0,293214856.0,https://anaconda.org/conda-forge/pytest-asyncio,2026-05-26 13:34:51.646,4063313.0,1.0,,,,,,,,,,,,,,,,
25,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,92.0,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2026-08-13 09:27:29.701000,187.0,7.0,569.0,33,True,wheel,conda-forge/wheel,,408164.0,391352.0,https://pypi.org/project/wheel,2026-08-11 22:02:26.000,2026-08-11 22:02:26.000,0.48.0,87.0,16812.0,579103280.0,581667161.0,https://anaconda.org/conda-forge/wheel,2026-08-13 09:27:29.701,184599496.0,1.0,,,,,,,,,,,,,,,,
26,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,667.0,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2026-08-10 21:37:56.000000,2476.0,562.0,34290.0,32,True,poetry,conda-forge/poetry,,925.0,,https://pypi.org/project/poetry,2026-05-09 15:18:55.000,2026-05-09 15:18:55.000,2.4.1,188.0,925.0,82370691.0,82482717.0,https://anaconda.org/conda-forge/poetry,2026-05-09 16:51:24.968,8289932.0,1.0,,,,,,,,,,,,,,,,
27,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,262.0,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2025-10-20 13:17:06.000000,2637.0,184.0,22292.0,32,True,mkdocs,conda-forge/mkdocs,['mkdocs'],113217.0,106081.0,https://pypi.org/project/mkdocs,2024-08-30 12:24:05.000,2024-08-30 12:24:05.000,1.6.1,62.0,7136.0,17545283.0,17565108.0,https://anaconda.org/conda-forge/mkdocs,2025-04-22 14:56:22.183,1229166.0,1.0,,,,,,,,,,,,,,,,
28,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,235.0,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2026-07-17 16:22:27.000000,2553.0,299.0,11759.0,32,True,robotframework,conda-forge/robotframework,,15400.0,14188.0,https://pypi.org/project/robotframework,2026-07-17 16:22:02.000,2026-03-03 16:28:51.000,7.4.2,153.0,1212.0,4968880.0,4973328.0,https://anaconda.org/conda-forge/robotframework,2026-03-04 14:33:43.144,289166.0,2.0,,,,,,,,,,,,,,,,
29,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,178.0,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2026-05-19 00:51:26.000000,348.0,23.0,3797.0,32,True,flake8,conda-forge/flake8,,720256.0,693722.0,https://pypi.org/project/flake8,2025-06-20 19:31:34.000,2025-06-20 19:31:34.000,7.3.0,94.0,26534.0,56903526.0,57054455.0,https://anaconda.org/conda-forge/flake8,2025-06-26 20:01:55.726,11319699.0,1.0,,,,,,,,,,,,,,,,
30,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,104.0,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2026-04-24 21:33:08.000000,242.0,169.0,2054.0,32,True,pytest-cov,conda-forge/pytest-cov,['pytest'],77890.0,,https://pypi.org/project/pytest-cov,2026-03-21 20:11:14.000,2026-03-21 20:11:14.000,7.1.0,54.0,77890.0,238145371.0,238410431.0,https://anaconda.org/conda-forge/pytest-cov,2026-03-22 00:27:51.180,19879541.0,2.0,,,,,,,,,,,,,,,,
31,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,134.0,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2026-08-05 19:53:40.000000,334.0,53.0,1781.0,32,True,twine,conda-forge/twine,,187346.0,145118.0,https://pypi.org/project/twine,2026-07-27 15:58:59.000,2026-07-27 15:58:59.000,7.0.0,60.0,42228.0,34346384.0,34373673.0,https://anaconda.org/conda-forge/twine,2026-07-28 15:23:16.257,2019425.0,2.0,,,,,,2.0,,,,,,,,,,
32,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,149.0,https://github.com/pypa/packaging,,2014-05-15 22:49:43.000,2026-08-05 00:02:25.436000,314.0,91.0,746.0,32,False,packaging,conda-forge/packaging,,1954972.0,1933590.0,https://pypi.org/project/packaging,2026-08-04 18:15:27.000,,,54.0,21382.0,2253017242.0,2254572657.0,https://anaconda.org/conda-forge/packaging,2026-08-05 00:02:25.436,116656180.0,1.0,,,,,,2.0,,,,,,,,,,
33,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,77.0,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2026-05-24 13:07:54.000000,797.0,251.0,23948.0,31,True,loguru,conda-forge/loguru,,171727.0,156672.0,https://pypi.org/project/loguru,2024-12-06 11:20:54.000,2024-12-06 11:20:54.000,0.7.3,22.0,15055.0,82245774.0,82309290.0,https://anaconda.org/conda-forge/loguru,2026-01-16 11:15:00.482,4763721.0,1.0,,,,,,,,,,,,,,,,
34,py-spy,benfred/py-spy,profiling,Sampling profiler for Python programs.,,https://github.com/benfred/py-spy,57.0,https://github.com/benfred/py-spy,MIT,2018-08-01 02:22:15.000,2026-07-20 17:54:15.000000,540.0,236.0,15398.0,31,True,py-spy,conda-forge/py-spy,,9151.0,8910.0,https://pypi.org/project/py-spy,2026-04-24 22:08:45.000,2026-04-24 22:09:42.172,0.4.2,41.0,236.0,28320903.0,28334066.0,https://anaconda.org/conda-forge/py-spy,2026-04-27 18:05:01.608,960952.0,1.0,,,,,,,py-spy,https://crates.io/crates/py-spy,2026-04-24 22:09:42.172,5.0,,,,,,
35,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,156.0,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2025-10-17 16:01:24.000000,902.0,418.0,13957.0,31,True,yapf,conda-forge/yapf,,109640.0,108384.0,https://pypi.org/project/yapf,2024-11-14 00:11:39.000,2024-11-14 00:11:39.000,0.43.0,75.0,1256.0,9220025.0,9277030.0,https://anaconda.org/conda-forge/yapf,2025-04-22 14:56:24.153,3648363.0,2.0,,,,,,,,,,,,,,,,
36,pipx,pypa/pipx,dependency-managers,Install and Run Python Applications in Isolated Environments.,,https://github.com/pypa/pipx,207.0,https://github.com/pypa/pipx,MIT,2018-10-06 18:47:46.000,2026-08-04 15:09:02.000000,589.0,,12903.0,31,True,pipx,conda-forge/pipx,,4995.0,4888.0,https://pypi.org/project/pipx,2026-08-04 15:09:02.000,2026-08-04 15:09:02.000,1.16.6,86.0,107.0,7296992.0,7301449.0,https://anaconda.org/conda-forge/pipx,2026-06-05 14:08:56.720,249606.0,2.0,,,,,,,,,,,,,,,,
37,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,228.0,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2026-08-12 00:04:07.000000,671.0,172.0,8009.0,31,True,pip-tools,conda-forge/pip-tools,,41533.0,38382.0,https://pypi.org/project/pip-tools,2026-08-12 00:04:07.000,2026-08-12 00:04:07.000,7.6.1,127.0,3151.0,17245353.0,17250104.0,https://anaconda.org/conda-forge/pip-tools,2026-07-18 18:49:58.011,356396.0,2.0,,,,,,,,,,,,,,,,
38,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,910.0,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2026-03-08 22:44:48.000000,2394.0,1423.0,7719.0,31,False,sphinx,conda-forge/sphinx,['sphinx'],527987.0,491930.0,https://pypi.org/project/sphinx,2025-12-31 15:09:25.000,2025-12-31 15:09:25.000,9.1.0,241.0,36057.0,86796164.0,87007801.0,https://anaconda.org/conda-forge/sphinx,2026-01-01 12:53:05.325,15872819.0,1.0,,,,,,,,,,,,,,,,
39,structlog,hynek/structlog,logging,"Simple, powerful, and fast logging for Python.",,https://github.com/hynek/structlog,144.0,https://github.com/hynek/structlog,Apache-2.0,2013-08-13 15:55:58.000,2026-06-06 12:56:29.674000,279.0,31.0,4820.0,31,True,structlog,conda-forge/structlog,,42258.0,37287.0,https://pypi.org/project/structlog,2026-06-06 07:33:38.000,2026-06-06 07:33:38.000,26.1.0,43.0,4971.0,114595402.0,114617207.0,https://anaconda.org/conda-forge/structlog,2026-06-06 12:56:29.674,1460969.0,1.0,,,,,,,,,,,,,,,,
40,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,346.0,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2026-08-13 13:11:57.000000,650.0,429.0,2202.0,31,True,sentry-sdk,conda-forge/sentry-sdk,,1906.0,,https://pypi.org/project/sentry-sdk,2026-08-13 09:06:19.000,2026-08-13 09:06:19.000,2.68.0,345.0,1906.0,180690586.0,180716500.0,https://anaconda.org/conda-forge/sentry-sdk,2026-08-10 22:12:35.435,1917649.0,1.0,,,,,,,,,,,,,,,,
41,pytest-mock,pytest-dev/pytest-mock,testing,Thin-wrapper around the mock package for easier use with pytest.,,https://github.com/pytest-dev/pytest-mock,84.0,https://github.com/pytest-dev/pytest-mock,MIT,2014-07-17 00:40:32.000,2026-08-08 14:23:04.000000,166.0,12.0,2036.0,31,True,pytest-mock,conda-forge/pytest-mock,['pytest'],149448.0,140035.0,https://pypi.org/project/pytest-mock,2025-09-16 16:37:25.000,2025-09-16 16:37:25.000,3.15.1,66.0,9413.0,105563107.0,105643289.0,https://anaconda.org/conda-forge/pytest-mock,2025-09-17 09:28:14.765,5933478.0,2.0,,,,,,,,,,,,,,,,
42,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,118.0,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2026-08-03 22:08:32.000000,276.0,316.0,1892.0,31,True,pytest-xdist,conda-forge/pytest-xdist,['pytest'],145093.0,139476.0,https://pypi.org/project/pytest-xdist,2025-07-01 13:30:56.000,2025-07-01 13:30:56.000,3.8.0,71.0,5617.0,176612732.0,176806415.0,https://anaconda.org/conda-forge/pytest-xdist,2025-07-02 10:39:49.174,14138931.0,2.0,,,,,,,,,,,,,,,,
43,nodeenv,ekalinin/nodeenv,virtual-envs,Virtual environment for Node.js & integrator with virtualenv.,,https://github.com/ekalinin/nodeenv,108.0,https://github.com/ekalinin/nodeenv,BSD-3-Clause,2011-03-29 15:28:56.000,2025-12-27 20:06:33.000000,220.0,50.0,1782.0,31,True,nodeenv,conda-forge/nodeenv,,148828.0,148419.0,https://pypi.org/project/nodeenv,2025-12-20 14:08:52.000,2025-12-20 14:08:52.000,1.10.0,75.0,409.0,218705006.0,218832988.0,https://anaconda.org/conda-forge/nodeenv,2025-12-20 20:08:47.195,9470722.0,2.0,,,,,,,,,,,,,,,,
44,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/Microsoft/pyright,154.0,https://github.com/Microsoft/pyright,MIT,2019-03-12 03:38:46.000,2026-08-12 22:55:34.000000,1804.0,320.0,15583.0,30,True,,,,1841.0,1730.0,,,2026-08-12 22:51:57.922,1.1.412,496.0,,,3071031.0,,,,2.0,,,,,,,,,,,pyright,https://www.npmjs.com/package/pyright,2026-08-12 22:51:57.922,111.0,3071031.0,
45,PDM,pdm-project/pdm,dependency-managers,A modern Python package and dependency manager supporting the latest PEP standards.,,https://github.com/pdm-project/pdm,258.0,https://github.com/pdm-project/pdm,MIT,2019-12-27 03:50:57.000,2026-08-11 11:12:53.000000,480.0,50.0,8672.0,30,True,pdm,conda-forge/pdm,,866.0,629.0,https://pypi.org/project/pdm,2026-08-11 11:12:53.000,2026-08-11 11:12:53.000,2.28.1,251.0,237.0,12200778.0,12233214.0,https://anaconda.org/conda-forge/pdm,2026-06-23 06:06:23.305,1913774.0,2.0,,,,,,,,,,,,,,,,
46,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,197.0,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2026-05-25 22:28:37.000000,778.0,248.0,8091.0,30,True,bandit,conda-forge/bandit,,71186.0,67810.0,https://pypi.org/project/bandit,2026-02-25 06:44:13.000,2026-02-25 06:44:13.000,1.9.4,51.0,3376.0,29570434.0,29580609.0,https://anaconda.org/conda-forge/bandit,2026-02-25 10:39:26.216,712262.0,1.0,,,,,,-2.0,,,,,,,,,,
47,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,503.0,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2026-08-03 15:41:11.640000,2211.0,674.0,7478.0,30,True,conda,conda-forge/conda,,51988.0,51905.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,2017-04-22 23:43:59.218,4.3.16,117.0,83.0,5251.0,1064051.0,https://anaconda.org/conda-forge/conda,2026-08-03 15:41:11.640,79410068.0,2.0,,,,,,,,,,,,,,,,
