,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-11-15 16:33:44.000,2023-11-15 16:31:56,3870.0,37.0,1675.0,549.0,1044.0,197.0,1054.0,45439.0,2023-11-15 16:33:44.000,13.7.0,190.0,235.0,43,True,,rich,conda-forge/rich,,145407.0,139814.0,https://pypi.org/project/rich,2023-11-15 16:32:11.000,5593.0,36424633.0,36566230.0,https://anaconda.org/conda-forge/rich,2023-09-30 19:12:41.298,5663882.0,1.0,,,,,,,,,,,,,,,,,
11,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2023-11-16 13:55:40.000,2023-11-16 04:14:49,5662.0,1014.0,648.0,69.0,5226.0,575.0,2747.0,20217.0,2023-11-08 23:19:55.000,0.1.5,272.0,314.0,43,True,astral-sh/ruff,ruff,conda-forge/ruff,,24361.0,22810.0,https://pypi.org/project/ruff,2023-11-08 23:10:20.000,1551.0,7404753.0,7447928.0,https://anaconda.org/conda-forge/ruff,2023-11-09 05:48:57.662,419548.0,1.0,90351.0,,,,,,,,,,,,,,,,
12,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-11-16 09:24:23.000,2023-11-14 22:04:58,5830.0,387.0,3078.0,124.0,2638.0,38.0,2059.0,16186.0,2023-11-05 18:52:17.000,9.4.8,353.0,239.0,43,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],40498.0,39472.0,https://pypi.org/project/mkdocs-material,2023-11-05 18:52:17.000,1026.0,3318852.0,3326778.0,https://anaconda.org/conda-forge/mkdocs-material,2023-11-05 23:04:44.219,332913.0,1.0,,,,,,,,,,,,,,,,,
13,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-11-16 11:22:44.000,2023-11-16 11:20:53,14349.0,217.0,2193.0,482.0,685.0,306.0,3980.0,8501.0,2023-07-28 19:29:00.000,6.1.1,73.0,189.0,43,True,,robotframework,conda-forge/robotframework,,9156.0,9156.0,https://pypi.org/project/robotframework,,,1712734.0,1717859.0,https://anaconda.org/conda-forge/robotframework,2023-10-10 22:35:13.903,163864.0,1.0,553.0,,,,,,,,,,,,,,,,
14,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2023-11-16 13:55:10.000,2023-11-16 13:55:10,16607.0,155.0,1427.0,195.0,3954.0,743.0,8647.0,5819.0,2023-10-30 16:37:48.000,23.10.0,100.0,445.0,43,True,,conda,conda-forge/conda,,45182.0,44086.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,1096.0,117514.0,1261668.0,https://anaconda.org/conda-forge/conda,2023-11-07 21:45:39.233,48054498.0,1.0,,,,,,,,,,,,,,,,,
15,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-11-07 09:56:23.000,2023-08-10 10:52:15,1964.0,,1252.0,210.0,534.0,371.0,577.0,26236.0,2023-08-10 11:59:02.000,4.66.1,108.0,112.0,42,True,,tqdm,conda-forge/tqdm,,586630.0,586630.0,https://pypi.org/project/tqdm,,,79142353.0,79728542.0,https://anaconda.org/conda-forge/tqdm,2023-08-10 12:44:00.709,24026429.0,1.0,11431.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-08-26 01:32:37.879259,2.0,4128.0,,,,,,,,,,,
16,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2023-11-16 12:40:19.000,2023-11-16 11:56:53,11627.0,195.0,2567.0,234.0,6709.0,2310.0,7394.0,16755.0,,,56.0,678.0,42,False,,mypy,conda-forge/mypy,,213427.0,213427.0,https://pypi.org/project/mypy,,,20703105.0,20790727.0,https://anaconda.org/conda-forge/mypy,2023-11-10 18:07:51.486,3592520.0,1.0,,,,,,,,,,,,,,,,,
17,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-11-14 18:38:41.000,2023-11-14 18:38:40,9056.0,128.0,1786.0,231.0,2288.0,264.0,4821.0,10752.0,2023-11-11 16:53:08.000,6.2.0,59.0,461.0,42,True,,pyinstaller,conda-forge/pyinstaller,,50655.0,50655.0,https://pypi.org/project/pyinstaller,,,1876628.0,1897610.0,https://anaconda.org/conda-forge/pyinstaller,2023-11-11 19:11:28.083,506473.0,1.0,742518.0,,,,,,,,,,,,,,,,
18,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-11-16 13:48:06.000,2023-11-14 08:12:41,8990.0,167.0,1047.0,76.0,4013.0,821.0,4399.0,4924.0,2023-10-22 13:55:18.000,3.0.2,182.0,550.0,42,True,pylint-dev/pylint,pylint,conda-forge/pylint,,415605.0,392613.0,https://pypi.org/project/pylint,2023-10-22 13:55:18.000,22992.0,20366054.0,20480122.0,https://anaconda.org/conda-forge/pylint,2023-10-22 20:06:43.450,4676813.0,1.0,,,,,,,,,,,,,,,,,
19,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-11-13 18:40:09.000,2023-11-10 18:56:10,746.0,29.0,1067.0,170.0,1327.0,21.0,1284.0,4583.0,2023-10-23 18:36:13.000,20.24.6,212.0,267.0,42,True,,virtualenv,conda-forge/virtualenv,,354433.0,336420.0,https://pypi.org/project/virtualenv,2023-10-23 18:22:55.000,18013.0,108374302.0,108527079.0,https://anaconda.org/conda-forge/virtualenv,2023-10-23 20:27:05.672,5652776.0,2.0,,,,,,,,,,,,,,,,,
20,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2023-11-13 23:52:16.000,2023-11-13 23:52:14,2429.0,19.0,293.0,38.0,346.0,26.0,1516.0,3086.0,2023-07-29 19:05:02.000,6.1.0,88.0,172.0,42,True,,flake8,conda-forge/flake8,,550034.0,504327.0,https://pypi.org/project/flake8,2023-07-29 19:05:02.000,45707.0,25635050.0,25800110.0,https://anaconda.org/conda-forge/flake8,2023-07-31 20:03:25.549,6932529.0,1.0,,,,,,,,,,,,,,,,,
21,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-11-16 11:51:34.000,2023-11-16 11:51:34,3007.0,79.0,2042.0,193.0,2568.0,630.0,4774.0,27397.0,2023-11-03 14:24:53.000,1.7.0,165.0,496.0,41,True,,poetry,conda-forge/poetry,,328.0,,https://pypi.org/project/poetry,2023-11-03 14:24:53.000,328.0,26103435.0,26365040.0,https://anaconda.org/conda-forge/poetry,2023-11-03 17:57:26.579,1063365.0,2.0,15318591.0,,,,,,,,,,,,,,,,
22,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-11-15 10:49:33.000,2023-11-14 17:35:30,1992.0,42.0,2311.0,229.0,1214.0,129.0,1773.0,17365.0,2023-09-18 21:27:59.000,1.5.3,60.0,245.0,41,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],56819.0,52214.0,https://pypi.org/project/mkdocs,2023-09-18 21:26:09.000,4605.0,2492390.0,2502944.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,306074.0,1.0,,,,,,,,,,,,,,,,,
23,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-11-14 02:41:09.000,2023-11-14 02:41:08,2613.0,42.0,688.0,87.0,1141.0,16.0,1875.0,11192.0,2023-10-13 16:06:55.000,3.5.0,100.0,154.0,41,True,,pre-commit,conda-forge/pre-commit,,158652.0,158652.0,https://pypi.org/project/pre-commit,,,15474971.0,15597350.0,https://anaconda.org/conda-forge/pre-commit,2023-10-13 18:39:42.607,3924114.0,1.0,759439.0,,,,,,,,,,,,,,,,
24,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2023-11-16 11:10:29.000,2023-11-15 22:14:14,20450.0,87.0,1882.0,148.0,5053.0,1152.0,5510.0,5756.0,2023-09-13 23:13:00.000,7.2.6,108.0,790.0,41,False,,sphinx,conda-forge/sphinx,['sphinx'],341210.0,341210.0,https://pypi.org/project/sphinx,,,11793477.0,11996522.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8527930.0,1.0,,,,,,,-5.0,,,,,,,,,,
25,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-11-06 21:12:25.000,2023-11-06 21:12:17,4118.0,21.0,529.0,48.0,956.0,169.0,1064.0,6144.0,2023-01-30 09:41:30.000,5.11.5,100.0,288.0,40,True,,isort,conda-forge/isort,,428238.0,428238.0,https://pypi.org/project/isort,,,27830523.0,27892997.0,https://anaconda.org/conda-forge/isort,2023-06-16 13:18:02.201,5497722.0,2.0,,,,,,,,,,,,,,,,,
26,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-11-16 02:21:00.000,2023-11-08 21:44:38,1336.0,35.0,864.0,214.0,357.0,352.0,461.0,13485.0,,,26.0,151.0,39,True,,yapf,conda-forge/yapf,,86522.0,86522.0,https://pypi.org/project/yapf,,,5025601.0,5079352.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1666288.0,2.0,,,,,,,,,,,,,,,,,
27,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-11-16 11:05:52.000,2023-11-16 02:06:00,11585.0,291.0,529.0,133.0,333.0,177.0,1854.0,9984.0,2023-11-11 13:39:58.000,1.8.6,276.0,158.0,39,True,,nuitka,conda-forge/nuitka,,1657.0,1595.0,https://pypi.org/project/nuitka,2023-11-11 13:39:58.000,62.0,85052.0,99208.0,https://anaconda.org/conda-forge/nuitka,2023-11-12 09:52:21.785,594564.0,1.0,,,,,,,,,,,,,,,,,
28,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-11-13 17:39:49.000,2023-11-04 16:01:55,2060.0,43.0,516.0,103.0,979.0,142.0,864.0,7194.0,2023-08-08 23:35:03.000,7.3.0,67.0,199.0,39,True,,pip-tools,conda-forge/pip-tools,,23876.0,23876.0,https://pypi.org/project/pip-tools,,,10971852.0,10974965.0,https://anaconda.org/conda-forge/pip-tools,2023-08-09 01:51:06.267,130778.0,2.0,,,,,,,,,,,,,,,,,
29,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2023-10-18 21:45:39.000,2023-10-04 07:41:55,8402.0,16.0,487.0,114.0,590.0,50.0,1323.0,5552.0,,,23.0,165.0,39,False,,jedi,conda-forge/jedi,,365762.0,365762.0,https://pypi.org/project/jedi,,,31899490.0,32385325.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,19919245.0,1.0,,,,,,,,,,,,,,,,,
30,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-11-15 02:18:00.000,2023-11-14 10:07:05,670.0,36.0,494.0,42.0,1366.0,76.0,1586.0,3390.0,2023-09-08 22:45:32.000,4.11.3,208.0,290.0,39,True,,tox,conda-forge/tox,['pytest'],129387.0,106977.0,https://pypi.org/project/tox,2023-09-08 22:45:32.000,22410.0,13295711.0,13315495.0,https://anaconda.org/conda-forge/tox,2023-09-09 02:01:04.061,830942.0,1.0,,,,,,,,,,,,,,,,,
31,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-11-16 14:18:09.000,2023-11-16 09:03:38,1993.0,111.0,413.0,70.0,1411.0,141.0,909.0,1647.0,2023-11-13 11:06:03.000,1.35.0,114.0,197.0,39,True,,sentry-sdk,conda-forge/sentry-sdk,,52207.0,52207.0,https://pypi.org/project/sentry-sdk,,,22599646.0,22616457.0,https://anaconda.org/conda-forge/sentry-sdk,2023-11-13 11:32:33.512,685639.0,1.0,3492.0,,,,,,,,,,,,,,,,
32,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-11-01 14:26:35.000,2023-11-01 14:26:27,776.0,49.0,640.0,129.0,150.0,121.0,749.0,16620.0,2023-09-11 15:25:24.000,0.7.2,21.0,51.0,38,True,,loguru,conda-forge/loguru,,67080.0,67080.0,https://pypi.org/project/loguru,,,19763723.0,19806843.0,https://anaconda.org/conda-forge/loguru,2023-09-24 09:55:27.841,1811066.0,2.0,,,,,,,,,,,,,,,,,
33,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-11-16 08:42:13.000,2023-11-16 08:42:10,6832.0,344.0,1120.0,111.0,961.0,24.0,4751.0,11176.0,2023-11-15 03:14:30.000,1.1.336,100.0,100.0,38,True,,,,,668.0,668.0,,,,,772849.0,,,,2.0,1214.0,,,,,,,pyright,https://www.npmjs.com/package/pyright,772786.0,,,,,,,
34,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-11-09 19:33:29.000,2023-10-27 07:04:25,2846.0,23.0,289.0,73.0,234.0,118.0,362.0,4449.0,2023-08-26 13:59:08.000,2.0.4,25.0,60.0,38,True,,autopep8,conda-forge/autopep8,,195005.0,195005.0,https://pypi.org/project/autopep8,,,4183760.0,4217042.0,https://anaconda.org/conda-forge/autopep8,2023-08-26 14:51:03.645,1364575.0,3.0,,,,,,,,,,,,,,,,,
35,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,,2013-03-10 13:51:19.000,2023-11-16 06:09:45.000,2023-11-16 05:54:10,13378.0,178.0,551.0,73.0,2334.0,38.0,1415.0,7027.0,2023-04-26 08:30:52.000,hypothesis-python-6.74.0,718.0,320.0,37,False,,hypothesis,conda-forge/hypothesis,,23427.0,23427.0,https://pypi.org/project/hypothesis,,,6459885.0,6657128.0,https://anaconda.org/conda-forge/hypothesis,2023-11-13 09:44:21.304,8284240.0,1.0,,,,,,,,,,,,,,,,,
36,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,MIT,2009-10-02 00:43:37.000,2023-10-13 13:17:36.027,2023-10-12 23:38:32,1440.0,11.0,778.0,117.0,494.0,109.0,627.0,4924.0,2023-10-12 23:39:38.000,2.11.1,19.0,132.0,37,True,,pycodestyle,conda-forge/pycodestyle,,11658.0,20.0,https://pypi.org/project/pycodestyle,2023-10-12 23:39:38.000,11638.0,34577014.0,34802260.0,https://anaconda.org/conda-forge/pycodestyle,2023-10-13 13:17:36.027,7207883.0,1.0,,,,,,,7.0,,,,,,,,,,
37,pyflakes,PyCQA/pyflakes,linters,A simple program which checks Python source files for errors.,,https://github.com/PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2023-09-27 11:36:48.000,2023-07-31 23:20:08,562.0,,174.0,29.0,295.0,56.0,459.0,1306.0,2023-07-29 17:00:40.000,3.1.0,37.0,84.0,37,True,,pyflakes,conda-forge/pyflakes,,268623.0,254811.0,https://pypi.org/project/pyflakes,2023-07-29 17:00:40.000,13812.0,27366999.0,27583894.0,https://anaconda.org/conda-forge/pyflakes,2023-07-29 18:48:34.199,6940656.0,1.0,,,,,,,,,,,,,,,,,
38,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2023-11-13 20:19:57.000,2023-11-06 18:36:36,910.0,22.0,129.0,35.0,205.0,38.0,341.0,454.0,2023-10-30 10:05:34.000,0.41.3,33.0,76.0,37,True,,wheel,conda-forge/wheel,,236890.0,236890.0,https://pypi.org/project/wheel,,,287173705.0,289258255.0,https://anaconda.org/conda-forge/wheel,2023-10-30 13:03:38.406,81297465.0,1.0,,,,,,,,,,,,,,,,,
39,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2023-11-10 18:31:36.000,2023-11-10 18:12:39,1325.0,6.0,540.0,67.0,403.0,164.0,459.0,5582.0,2023-03-10 01:02:04.000,1.7.5,12.0,173.0,36,True,,bandit,conda-forge/bandit,,45323.0,45323.0,https://pypi.org/project/bandit,,,3381641.0,3389065.0,https://anaconda.org/conda-forge/bandit,2023-09-25 08:07:42.894,274290.0,1.0,755.0,,,,,,,,,,,,,,,,
40,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2023-11-14 07:17:37.000,2023-11-07 04:03:47,24279.0,302.0,1482.0,199.0,5616.0,682.0,849.0,5103.0,2023-09-02 20:49:47.000,3.9.2,61.0,851.0,36,True,,buildbot,conda-forge/buildbot,,334.0,334.0,https://pypi.org/project/buildbot,,,28808.0,31470.0,https://anaconda.org/conda-forge/buildbot,2023-09-03 11:43:28.850,90218.0,2.0,35982.0,,,,,,,,,,,,,,,,
41,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2023-10-15 13:01:19.000,2023-05-24 18:28:10,920.0,,209.0,39.0,240.0,143.0,239.0,1567.0,2023-05-24 18:44:54.000,4.1.0,45.0,86.0,36,True,,pytest-cov,conda-forge/pytest-cov,['pytest'],319903.0,284793.0,https://pypi.org/project/pytest-cov,2023-05-24 18:44:54.000,35110.0,39399517.0,39507559.0,https://anaconda.org/conda-forge/pytest-cov,2023-06-16 13:15:36.736,9939933.0,1.0,,,,,,,,,,,,,,,,,
42,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,,2014-05-15 22:49:43.000,2023-11-07 20:25:53.000,2023-11-07 20:25:52,676.0,20.0,215.0,27.0,403.0,67.0,274.0,544.0,2023-10-01 13:50:29.000,23.2,19.0,102.0,36,False,,packaging,conda-forge/packaging,,943906.0,943906.0,https://pypi.org/project/packaging,,,258070254.0,259047888.0,https://anaconda.org/conda-forge/packaging,2023-10-01 23:22:47.528,41060066.0,2.0,746.0,,,,,,,,,,,,,,,,
