,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
22,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-12-15 16:01:27.000,2023-11-08 21:44:38,1336.0,15.0,933.0,214.0,360.0,462.0,13533.0,2023-09-22 18:40:43.000,0.40.2,74.0,151.0,41,True,,365.0,yapf,conda-forge/yapf,,90744.0,88404.0,https://pypi.org/project/yapf,2023-09-22 18:40:43.000,2340.0,4340429.0,4391680.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1691306.0,2.0,,,,,,,,,,,,,,,,,
23,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-12-26 18:50:46.000,2023-12-26 18:50:45,2624.0,28.0,704.0,86.0,1153.0,1898.0,11384.0,2023-12-09 21:29:42.000,3.6.0,100.0,155.0,41,True,,18.0,pre-commit,conda-forge/pre-commit,,166532.0,166532.0,https://pypi.org/project/pre-commit,,,13606101.0,13725601.0,https://anaconda.org/conda-forge/pre-commit,2023-12-10 03:04:10.677,4006751.0,1.0,851970.0,,,,,,,,,,,,,,,,
24,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,,2012-10-15 22:08:03.000,2024-01-04 13:42:29.000,2024-01-03 10:22:43,16664.0,124.0,1389.0,197.0,4023.0,8719.0,5916.0,2023-12-01 04:46:19.000,23.11.0,100.0,447.0,41,False,,662.0,conda,conda-forge/conda,,44971.0,44971.0,https://pypi.org/project/conda,,,102053.0,1206415.0,https://anaconda.org/conda-forge/conda,2023-12-04 23:31:22.998,48591946.0,1.0,,,,,,,,,,,,,,,,,
25,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2024-01-03 18:15:56.000,2024-01-03 18:15:56,7003.0,365.0,1254.0,111.0,1085.0,5002.0,11419.0,2023-12-30 01:04:43.000,1.1.344,428.0,102.0,38,True,,28.0,,,,711.0,699.0,,,,,689461.0,,,,2.0,1406.0,,,,,,pyright,https://www.npmjs.com/package/pyright,2023-12-30 00:59:05.733,12.0,689391.0,,,,,,
26,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2024-01-04 10:14:57.000,2024-01-03 21:12:27,2076.0,26.0,521.0,104.0,986.0,876.0,7257.0,2023-08-08 23:35:03.000,7.3.0,67.0,200.0,38,True,,145.0,pip-tools,conda-forge/pip-tools,,24925.0,24925.0,https://pypi.org/project/pip-tools,,,9057016.0,9060058.0,https://anaconda.org/conda-forge/pip-tools,2023-08-09 01:51:06.267,133877.0,2.0,,,,,,,,,,,,,,,,,
27,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,,2013-03-10 13:51:19.000,2024-01-03 17:36:11.000,2023-12-27 01:25:09,13527.0,223.0,557.0,72.0,2354.0,1425.0,7082.0,2023-04-26 08:30:52.000,hypothesis-python-6.74.0,726.0,320.0,38,False,,45.0,hypothesis,conda-forge/hypothesis,,24259.0,24259.0,https://pypi.org/project/hypothesis,,,4342140.0,4531741.0,https://anaconda.org/conda-forge/hypothesis,2023-12-27 03:06:56.909,8342481.0,1.0,,,,,,,,,,,,,,,,,
28,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-12-18 05:09:58.000,2023-10-27 07:04:25,2846.0,13.0,298.0,73.0,235.0,362.0,4467.0,2023-08-26 13:59:08.000,2.0.4,75.0,60.0,38,True,,123.0,autopep8,conda-forge/autopep8,,204692.0,198736.0,https://pypi.org/project/autopep8,2023-08-26 13:49:56.000,5956.0,3406478.0,3438785.0,https://anaconda.org/conda-forge/autopep8,2023-08-26 14:51:03.645,1389239.0,3.0,,,,,,,,,,,,,,,,,
29,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2024-01-04 00:25:51.000,2024-01-04 00:25:50,682.0,19.0,478.0,42.0,1379.0,1591.0,3418.0,2023-11-28 04:13:52.000,4.11.4,90.0,68.0,38,True,,78.0,tox,conda-forge/tox,['pytest'],108855.0,108855.0,https://pypi.org/project/tox,,,10874593.0,10893801.0,https://anaconda.org/conda-forge/tox,2023-11-28 16:27:31.374,845165.0,1.0,,,,,,,,,,,,,,,,,
30,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2024-01-02 12:48:47.000,2024-01-02 12:48:30,789.0,23.0,644.0,132.0,159.0,764.0,17041.0,2023-09-11 15:25:24.000,0.7.2,21.0,52.0,37,True,,137.0,loguru,conda-forge/loguru,,71618.0,71618.0,https://pypi.org/project/loguru,,,14743953.0,14787684.0,https://anaconda.org/conda-forge/loguru,2023-09-24 09:55:27.841,1924185.0,1.0,,,,,,,,,,,,,,,,,
31,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2024-01-04 13:52:44.000,2023-12-31 07:44:18,11813.0,370.0,546.0,134.0,351.0,1931.0,10237.0,,,192.0,165.0,37,True,,153.0,nuitka,conda-forge/nuitka,,1704.0,1704.0,https://pypi.org/project/nuitka,,,84084.0,97891.0,https://anaconda.org/conda-forge/nuitka,2023-12-31 12:34:26.926,607517.0,1.0,,,,,,,,,,,,,,,,,
32,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2024-01-03 14:42:41.000,2023-12-21 17:47:33,1333.0,10.0,550.0,66.0,411.0,461.0,5707.0,2023-12-09 02:50:36.000,1.7.6,13.0,175.0,37,True,,167.0,bandit,conda-forge/bandit,,46283.0,46283.0,https://pypi.org/project/bandit,,,3115952.0,3123140.0,https://anaconda.org/conda-forge/bandit,2023-09-25 08:07:42.894,279903.0,1.0,756.0,,,,,,,,,,,,,,,,
33,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2023-12-28 10:20:12.000,2023-12-28 10:20:12,8404.0,2.0,489.0,114.0,593.0,1325.0,5579.0,,,23.0,166.0,37,False,,52.0,jedi,conda-forge/jedi,,381455.0,381455.0,https://pypi.org/project/jedi,,,26812899.0,27283918.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,20253857.0,1.0,,,,,,,,,,,,,,,,,
34,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,,2014-09-13 17:06:24.000,2023-12-26 01:52:33.000,2023-12-26 01:52:32,2439.0,17.0,286.0,37.0,352.0,1527.0,3137.0,,,30.0,173.0,37,False,,22.0,flake8,conda-forge/flake8,,516701.0,516701.0,https://pypi.org/project/flake8,,,21378230.0,21537322.0,https://anaconda.org/conda-forge/flake8,2023-07-31 20:03:25.549,7000062.0,1.0,,,,,,,,,,,,,,,,,
35,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2023-12-26 00:07:04.000,2023-12-23 18:34:11,1099.0,18.0,300.0,39.0,547.0,427.0,1497.0,2022-12-01 01:51:31.000,4.0.2,52.0,118.0,37,True,,51.0,twine,conda-forge/twine,,114837.0,98878.0,https://pypi.org/project/twine,2022-12-01 01:49:17.129,15959.0,3336258.0,3346412.0,https://anaconda.org/conda-forge/twine,2023-06-16 13:23:13.063,903750.0,1.0,,,,,,,,,,,,,,,,,
36,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2023-12-26 15:16:00.000,2023-12-26 15:15:59,919.0,20.0,132.0,34.0,213.0,342.0,465.0,2023-11-26 14:37:13.000,0.42.0,34.0,78.0,37,True,,39.0,wheel,conda-forge/wheel,,244864.0,244864.0,https://pypi.org/project/wheel,,,254074702.0,256105757.0,https://anaconda.org/conda-forge/wheel,2023-11-26 15:42:45.198,83273260.0,1.0,,,,,,,,,,,,,,,,,
37,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2024-01-04 10:32:37.000,2024-01-04 01:23:38,3044.0,74.0,2056.0,186.0,2617.0,4850.0,27921.0,2023-11-16 19:09:01.000,1.7.1,100.0,517.0,36,True,,602.0,poetry,conda-forge/poetry,,,,https://pypi.org/project/poetry,,,22953413.0,23211549.0,https://anaconda.org/conda-forge/poetry,2023-11-17 02:06:37.060,1092652.0,2.0,15359932.0,,,,,,,,,,,,,,,,
38,PDM,pdm-project/pdm,dependency-managers,A modern Python package and dependency manager supporting the latest PEP standards.,,https://github.com/pdm-project/pdm,https://github.com/pdm-project/pdm,MIT,2019-12-27 03:50:57.000,2024-01-04 08:52:25.000,2024-01-04 08:52:13,2569.0,120.0,297.0,31.0,875.0,1343.0,5816.0,2024-01-02 07:32:14.000,2.11.2,184.0,160.0,36,True,,49.0,pdm,conda-forge/pdm,,272.0,213.0,https://pypi.org/project/pdm,2024-01-02 07:32:08.000,59.0,519627.0,527601.0,https://anaconda.org/conda-forge/pdm,2024-01-02 10:43:23.906,223287.0,2.0,4.0,,,,,,,,,,,,,,,,
39,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2024-01-04 12:49:04.000,2024-01-02 04:30:49,24607.0,403.0,1487.0,199.0,5739.0,875.0,5118.0,2023-12-26 17:36:06.000,3.10.1,63.0,856.0,36,True,,685.0,buildbot,conda-forge/buildbot,,338.0,338.0,https://pypi.org/project/buildbot,,,19942.0,22523.0,https://anaconda.org/conda-forge/buildbot,2023-12-26 19:17:03.662,91322.0,2.0,36440.0,,,,,,,,,,,,,,,,
40,rope,python-rope/rope,refactoring,a python refactoring library.,,https://github.com/python-rope/rope,https://github.com/python-rope/rope,LGPL-3.0,2013-11-30 15:30:20.000,2024-01-03 02:34:54.000,2024-01-03 02:34:53,3241.0,67.0,198.0,28.0,363.0,237.0,1772.0,2023-11-05 15:13:29.000,1.11.0,92.0,80.0,36,True,,83.0,rope,conda-forge/rope,,72848.0,71205.0,https://pypi.org/project/rope,2023-11-05 15:13:29.000,1643.0,617910.0,653034.0,https://anaconda.org/conda-forge/rope,2023-11-09 10:24:24.435,1369858.0,1.0,,,,,,,,,,,,,,,,,
41,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2024-01-04 14:06:12.000,2023-12-15 09:31:55,2053.0,118.0,470.0,70.0,1479.0,949.0,1671.0,2023-12-14 09:44:31.000,1.39.1,210.0,200.0,36,True,,166.0,sentry-sdk,conda-forge/sentry-sdk,,466.0,,https://pypi.org/project/sentry-sdk,2023-12-14 09:44:18.000,466.0,23294919.0,23311435.0,https://anaconda.org/conda-forge/sentry-sdk,2023-12-14 11:24:24.116,706335.0,2.0,3624.0,,,,,,,,,,,,,,,,
42,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2023-12-26 18:04:58.000,2023-12-26 09:30:06,1140.0,24.0,217.0,49.0,395.0,345.0,1280.0,2023-11-21 15:21:18.000,3.5.0,67.0,93.0,36,True,,236.0,pytest-xdist,conda-forge/pytest-xdist,['pytest'],5522.0,,https://pypi.org/project/pytest-xdist,2023-11-21 15:21:13.000,5522.0,13377041.0,13509364.0,https://anaconda.org/conda-forge/pytest-xdist,2023-11-21 18:58:37.015,5557513.0,1.0,4.0,,,,,,,,,,,6.0,,,,,
