,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-08-10 12:44:00.709,2023-08-10 10:52:15,1964.0,23.0,1226.0,213.0,522.0,347.0,575.0,25427.0,2023-08-10 11:59:02.000,4.66.1,108.0,112.0,43,True,,tqdm,conda-forge/tqdm,,522557.0,522557.0,https://pypi.org/project/tqdm,58799610.0,59379206.0,https://anaconda.org/conda-forge/tqdm,2023-08-10 12:44:00.709,22017834.0,1.0,10982.0,,,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-08-10 11:42:22.895156,2.0,4107.0,,,,,,,,,,,
11,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-08-08 03:46:00.000,2023-08-07 06:49:18,5962.0,25.0,1301.0,237.0,641.0,238.0,1401.0,9454.0,,,37.0,198.0,43,True,,psutil,conda-forge/psutil,,347573.0,347573.0,https://pypi.org/project/psutil,68923644.0,69200184.0,https://anaconda.org/conda-forge/psutil,2023-06-16 13:17:58.536,24335602.0,1.0,,,,,,,,,,,,,,,,,,,
12,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-08-02 15:49:46.651,2023-08-02 14:51:14,1947.0,94.0,2284.0,229.0,1167.0,117.0,1732.0,16871.0,2023-08-02 14:54:19.000,1.5.2,59.0,242.0,42,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],52081.0,47667.0,https://pypi.org/project/mkdocs,2143882.0,2154613.0,https://anaconda.org/conda-forge/mkdocs,2023-08-02 15:49:46.651,279031.0,1.0,,2023-08-02 14:53:47.000,4414.0,,,,,,,,,,,,,,,,
13,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2023-08-10 14:00:59.000,2023-08-10 12:39:53,4531.0,1257.0,524.0,64.0,3980.0,386.0,2006.0,16743.0,2023-08-09 19:12:06.000,0.0.284,258.0,242.0,42,True,astral-sh/ruff,ruff,conda-forge/ruff,,13950.0,12950.0,https://pypi.org/project/ruff,4185109.0,4224071.0,https://anaconda.org/conda-forge/ruff,2023-08-10 03:40:29.129,299362.0,1.0,45606.0,2023-08-09 19:03:08.000,1000.0,,,,,,,,,,,,,,,,
14,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2023-08-10 12:44:13.000,2023-08-10 10:03:39,11409.0,224.0,2513.0,234.0,6461.0,2521.0,6774.0,16048.0,,,51.0,665.0,42,False,,mypy,conda-forge/mypy,,199596.0,199596.0,https://pypi.org/project/mypy,16604370.0,16690948.0,https://anaconda.org/conda-forge/mypy,2023-06-26 23:33:15.146,3289991.0,1.0,,,,,,,,,,,,,,,,,,,
15,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-08-01 16:17:33.000,2023-08-01 16:17:31,2567.0,46.0,732.0,88.0,1107.0,23.0,1794.0,10748.0,2023-06-13 23:12:35.000,3.3.3,185.0,151.0,42,True,,pre-commit,conda-forge/pre-commit,,148477.0,143463.0,https://pypi.org/project/pre-commit,12304508.0,12421251.0,https://anaconda.org/conda-forge/pre-commit,2023-06-14 13:24:44.334,3484301.0,1.0,558008.0,2023-06-13 23:12:05.310,5014.0,,,,,,,,,,,,,,,,
16,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-08-10 12:28:54.000,2023-08-10 08:12:41,8902.0,162.0,1765.0,234.0,2213.0,259.0,4692.0,10518.0,2023-06-24 23:23:25.000,5.13.0,54.0,456.0,42,True,,pyinstaller,conda-forge/pyinstaller,,46767.0,46767.0,https://pypi.org/project/pyinstaller,1488698.0,1510279.0,https://anaconda.org/conda-forge/pyinstaller,2023-06-26 15:53:40.337,476112.0,1.0,740550.0,,,,,,,,,,,,,,,,,,
17,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-08-07 22:10:21.000,2023-07-28 19:27:52,14131.0,93.0,2106.0,476.0,670.0,264.0,3898.0,8262.0,2023-07-28 19:29:00.000,6.1.1,72.0,186.0,42,True,,robotframework,conda-forge/robotframework,,8159.0,8159.0,https://pypi.org/project/robotframework,1663695.0,1668634.0,https://anaconda.org/conda-forge/robotframework,2023-07-28 20:32:29.432,143101.0,1.0,551.0,,,,,,,,,,,,,,,,,,
18,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2023-08-01 13:39:11.480,2023-07-28 22:57:34,8386.0,34.0,503.0,113.0,583.0,47.0,1317.0,5473.0,2023-07-28 23:12:48.000,0.19.0,33.0,165.0,42,True,,jedi,conda-forge/jedi,,339524.0,331095.0,https://pypi.org/project/jedi,23899655.0,24365792.0,https://anaconda.org/conda-forge/jedi,2023-08-01 13:39:11.480,17713210.0,1.0,,2023-07-28 23:12:48.000,8429.0,,,,,,,,,,,,,,,,
19,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-08-09 19:21:22.000,2023-08-09 19:21:21,8780.0,151.0,1023.0,76.0,3867.0,753.0,4315.0,4778.0,2023-07-26 09:54:27.000,2.17.5,175.0,533.0,42,True,pylint-dev/pylint,pylint,conda-forge/pylint,,398457.0,375889.0,https://pypi.org/project/pylint,16434067.0,16549422.0,https://anaconda.org/conda-forge/pylint,2023-07-26 12:44:25.216,4383510.0,1.0,,2023-07-26 09:54:27.000,22568.0,,,,,,,,,,,,,,,,
20,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-08-04 16:01:18.000,2023-07-28 04:20:21,1301.0,42.0,900.0,216.0,322.0,363.0,439.0,13348.0,2023-06-20 05:44:07.767,0.40.1,73.0,149.0,41,True,,yapf,conda-forge/yapf,,83466.0,81187.0,https://pypi.org/project/yapf,4472055.0,4527047.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1539801.0,2.0,,2023-06-20 05:44:07.767,2279.0,,,,,,,,,,,,,,,,
21,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,,2012-10-15 22:08:03.000,2023-08-10 14:06:42.000,2023-08-07 17:06:04,16445.0,131.0,1326.0,196.0,3762.0,683.0,8482.0,5636.0,2023-07-27 18:56:43.000,23.7.2,100.0,435.0,41,False,,conda,conda-forge/conda,,42325.0,42325.0,https://pypi.org/project/conda,92874.0,1255230.0,https://anaconda.org/conda-forge/conda,2023-07-28 14:19:49.232,45331912.0,1.0,,,,,,,,,,,,,,,,,,,
22,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2023-08-10 14:02:09.000,2023-08-10 12:11:25,20237.0,125.0,1841.0,146.0,4982.0,1149.0,5402.0,5546.0,2023-08-02 02:05:29.000,7.1.2,101.0,799.0,41,False,,sphinx,conda-forge/sphinx,['sphinx'],321244.0,321244.0,https://pypi.org/project/sphinx,10449707.0,10655604.0,https://anaconda.org/conda-forge/sphinx,2023-08-02 05:53:08.440,8029983.0,1.0,,,,,,,,,,,,,,,,,,,
23,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2023-08-07 15:34:06.000,2023-08-01 13:37:22,2407.0,33.0,293.0,39.0,333.0,26.0,1497.0,2947.0,2023-07-29 19:05:02.000,6.1.0,88.0,172.0,41,True,,flake8,conda-forge/flake8,,523582.0,478692.0,https://pypi.org/project/flake8,21342406.0,21509648.0,https://anaconda.org/conda-forge/flake8,2023-07-31 20:03:25.549,6522454.0,1.0,,2023-07-29 19:05:02.000,44890.0,,,,,,,,,,,,,,,,
24,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-08-10 13:32:56.000,2023-08-07 11:35:15,5384.0,120.0,3053.0,119.0,2459.0,28.0,1920.0,14814.0,2023-08-03 18:00:57.000,9.2.0b3,332.0,220.0,40,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],36196.0,35353.0,https://pypi.org/project/mkdocs-material,2665318.0,2672833.0,https://anaconda.org/conda-forge/mkdocs-material,2023-07-28 21:42:45.191,293108.0,1.0,,2023-08-03 18:01:47.000,843.0,,,,,,,,,,,,,,,,
25,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-07-26 10:21:54.000,2023-07-26 10:21:53,4096.0,16.0,520.0,48.0,936.0,156.0,1062.0,5956.0,2023-01-30 09:41:30.000,5.11.5,100.0,286.0,40,True,,isort,conda-forge/isort,,405621.0,405621.0,https://pypi.org/project/isort,26874096.0,26934245.0,https://anaconda.org/conda-forge/isort,2023-06-16 13:18:02.201,5112741.0,2.0,,,,,,,,,,,,,,,,,,,
26,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-08-10 10:26:18.000,2023-08-09 23:38:48,710.0,31.0,937.0,170.0,1292.0,21.0,1273.0,4517.0,2023-07-24 14:48:39.000,20.24.2,61.0,106.0,40,True,,virtualenv,conda-forge/virtualenv,,297733.0,297733.0,https://pypi.org/project/virtualenv,80616919.0,80763396.0,https://anaconda.org/conda-forge/virtualenv,2023-07-25 08:24:07.868,4980219.0,2.0,,,,,,,,,,,,,,,,,,,
27,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-08-10 13:10:52.000,2023-08-03 20:55:45,11261.0,477.0,498.0,127.0,318.0,177.0,1792.0,9463.0,2023-08-02 08:15:17.000,1.7.8,268.0,150.0,39,True,,nuitka,conda-forge/nuitka,,1435.0,1382.0,https://pypi.org/project/nuitka,70204.0,84557.0,https://anaconda.org/conda-forge/nuitka,2023-08-02 11:27:58.036,559805.0,1.0,,2023-08-04 09:04:32.000,53.0,,,,,,,,,,,,,,,,
28,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-08-09 18:42:10.000,2023-08-09 18:42:09,2015.0,118.0,507.0,100.0,951.0,131.0,846.0,6996.0,2023-08-08 23:35:03.000,7.3.0,67.0,195.0,39,True,,pip-tools,conda-forge/pip-tools,,21826.0,21826.0,https://pypi.org/project/pip-tools,9809014.0,9811822.0,https://anaconda.org/conda-forge/pip-tools,2023-08-09 01:51:06.267,109550.0,2.0,,,,,,,,,,,,,,,,,,,
29,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,,2013-03-10 13:51:19.000,2023-08-08 08:43:46.000,2023-08-08 08:43:43,13187.0,230.0,537.0,70.0,2290.0,40.0,1380.0,6826.0,2023-04-26 08:30:52.000,hypothesis-python-6.74.0,692.0,314.0,39,False,,hypothesis,conda-forge/hypothesis,,21866.0,21866.0,https://pypi.org/project/hypothesis,6251036.0,6455752.0,https://anaconda.org/conda-forge/hypothesis,2023-08-06 22:40:54.127,7983954.0,1.0,,,,,,,,,,,,,,,,,,,
30,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-08-09 18:53:30.000,2023-08-09 18:53:30,626.0,37.0,487.0,43.0,1330.0,68.0,1560.0,3327.0,2023-08-08 15:09:33.000,4.7.0,200.0,282.0,39,True,,tox,conda-forge/tox,['pytest'],125183.0,103145.0,https://pypi.org/project/tox,12038032.0,12057467.0,https://anaconda.org/conda-forge/tox,2023-08-08 22:26:43.400,757983.0,1.0,,2023-08-08 15:09:33.000,22038.0,,,,,,,,,,,,,,,,
31,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-08-10 12:32:55.000,2023-08-10 11:16:05,1876.0,129.0,397.0,69.0,1288.0,180.0,810.0,1581.0,2023-08-01 14:40:36.000,1.29.2,197.0,184.0,39,True,,sentry-sdk,conda-forge/sentry-sdk,,47966.0,47605.0,https://pypi.org/project/sentry-sdk,18537935.0,18552639.0,https://anaconda.org/conda-forge/sentry-sdk,2023-08-01 17:08:22.065,555607.0,1.0,3257.0,2023-08-01 14:40:22.000,361.0,,,,,,,,,,,,,,,,
32,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-08-10 12:57:30.000,2023-08-10 00:00:06,6440.0,334.0,1106.0,110.0,716.0,4.0,4328.0,10689.0,2023-08-09 02:38:06.000,1.1.321,405.0,97.0,38,True,,,,,588.0,577.0,,,632145.0,,,,2.0,715.0,,,,,,,,pyright,https://www.npmjs.com/package/pyright,2023-08-09 02:22:42.874,11.0,632106.0,,,,,,
33,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,MIT,2009-10-02 00:43:37.000,2023-08-01 13:37:49.000,2023-08-01 13:37:48,1429.0,72.0,740.0,118.0,488.0,110.0,609.0,4878.0,2023-07-29 17:19:52.000,2.11.0,18.0,132.0,38,True,,pycodestyle,conda-forge/pycodestyle,,11551.0,4.0,https://pypi.org/project/pycodestyle,29832960.0,30065660.0,https://anaconda.org/conda-forge/pycodestyle,2023-07-30 14:00:03.599,6748311.0,1.0,,2023-07-29 17:19:52.000,11547.0,,,,,,,,,,,9.0,,,,,
34,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-08-07 09:22:01.000,2023-08-06 06:50:55,727.0,13.0,626.0,132.0,125.0,113.0,698.0,15579.0,2023-04-10 09:14:19.000,0.7.0,19.0,45.0,37,True,,loguru,conda-forge/loguru,,61739.0,59128.0,https://pypi.org/project/loguru,6841384.0,6869658.0,https://anaconda.org/conda-forge/loguru,2023-06-16 16:13:46.735,1526796.0,2.0,,2023-04-10 09:07:15.493,2611.0,,,,,,,,,,,,,,,,
35,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2023-08-09 08:10:33.000,2023-07-24 19:27:57,1316.0,9.0,527.0,67.0,384.0,162.0,452.0,5372.0,2023-03-10 01:02:04.000,1.7.5,12.0,170.0,37,True,,bandit,conda-forge/bandit,,43273.0,43273.0,https://pypi.org/project/bandit,3447356.0,3452371.0,https://anaconda.org/conda-forge/bandit,2023-06-16 16:15:12.910,255194.0,1.0,721.0,,,,,,,,,,,,,,,,,,
36,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-08-04 11:28:21.000,2023-03-19 12:05:58,2819.0,,292.0,72.0,224.0,116.0,357.0,4398.0,2023-03-03 09:23:05.483,2.0.2,73.0,57.0,37,True,,autopep8,conda-forge/autopep8,,192373.0,186477.0,https://pypi.org/project/autopep8,3352057.0,3366430.0,https://anaconda.org/conda-forge/autopep8,2023-06-16 13:17:55.073,1236104.0,3.0,,2023-03-03 09:23:05.483,5896.0,,,,,,,,,,,,,,,,
37,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2023-06-16 13:15:36.736,2023-05-24 18:28:10,920.0,8.0,203.0,39.0,237.0,131.0,237.0,1506.0,2023-05-24 18:44:54.000,4.1.0,45.0,86.0,37,True,,pytest-cov,conda-forge/pytest-cov,['pytest'],301274.0,267712.0,https://pypi.org/project/pytest-cov,24161124.0,24263753.0,https://anaconda.org/conda-forge/pytest-cov,2023-06-16 13:15:36.736,9134068.0,1.0,,2023-05-24 18:44:54.000,33562.0,,,,,,,,,,,,,,,,
38,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2023-08-08 02:50:16.000,2023-07-26 18:04:34,653.0,10.0,228.0,28.0,383.0,74.0,256.0,516.0,2023-04-12 16:11:39.000,23.1,42.0,91.0,37,True,,packaging,conda-forge/packaging,,835842.0,816742.0,https://pypi.org/project/packaging,162419189.0,162844513.0,https://anaconda.org/conda-forge/packaging,2023-06-16 13:17:40.629,36576657.0,2.0,733.0,2023-04-12 16:13:15.470,19100.0,,,,,,,,,,,,,,,,
39,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2023-08-10 09:56:28.000,2023-08-10 09:56:28,887.0,25.0,137.0,30.0,186.0,33.0,338.0,433.0,2023-08-05 13:33:15.000,0.41.1,74.0,71.0,37,True,,wheel,conda-forge/wheel,,258758.0,222032.0,https://pypi.org/project/wheel,220670812.0,222665935.0,https://anaconda.org/conda-forge/wheel,2023-08-05 15:28:23.205,71824433.0,1.0,,2023-08-05 13:33:15.000,36726.0,,,,,,,,,,,,,,,,
40,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-08-09 09:17:57.000,2023-08-08 13:41:32,2924.0,83.0,1974.0,184.0,2468.0,549.0,4594.0,26036.0,2023-05-29 16:05:27.000,1.5.1,100.0,473.0,36,True,,poetry,conda-forge/poetry,,,,https://pypi.org/project/poetry,18166857.0,18425170.0,https://anaconda.org/conda-forge/poetry,2023-06-16 16:11:52.688,957740.0,2.0,15215248.0,,,,,,,,,,,,,,,,,,
41,pyautogui,asweigart/pyautogui,testing,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,,https://github.com/asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000,2023-08-09 02:48:41.000,2023-06-07 11:16:23,408.0,4.0,1076.0,186.0,154.0,455.0,225.0,8428.0,2023-05-24 20:13:07.561,0.9.54,51.0,52.0,36,True,,pyautogui,conda-forge/pyautogui,,26604.0,25827.0,https://pypi.org/project/pyautogui,654749.0,657701.0,https://anaconda.org/conda-forge/pyautogui,2023-06-12 20:13:48.004,203725.0,2.0,,2021-07-07 17:05:04.000,777.0,,,,,,,,,,,,,,,,
42,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2023-08-09 22:32:57.000,2023-08-09 18:30:55,23941.0,306.0,1475.0,201.0,5466.0,683.0,816.0,5067.0,2023-04-17 01:18:25.000,3.8.0,58.0,846.0,36,True,,buildbot,conda-forge/buildbot,,329.0,329.0,https://pypi.org/project/buildbot,32021.0,34291.0,https://anaconda.org/conda-forge/buildbot,2023-06-16 16:16:17.417,86091.0,2.0,31981.0,,,,,,,,,,,,,,,,,,
