,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,conda_id,labels,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,43,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2022-01-08 10:57:20.000000,2022-01-08 10:57:09.000000,5748.0,30.0,1188.0,229.0,539.0,1321.0,8000.0,2021-12-29 21:26:19.000000,5.9.0,84.0,173.0,210.0,conda-forge/psutil,,psutil,144457.0,129058.0,https://pypi.org/project/psutil,2021-12-29 21:26:19.000000,15399.0,32144857.0,32283557.0,https://anaconda.org/conda-forge/psutil,2021-12-30 18:15:13.024000,9570354.0,1.0,,,,,,,,,,,,,,,,,,,
11,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,41,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2022-01-08 21:08:11.000000,2022-01-08 21:08:11.000000,1623.0,27.0,1836.0,228.0,990.0,1521.0,13460.0,2021-10-12 21:59:03.000000,1.2.3,49.0,209.0,111.0,conda-forge/mkdocs,['mkdocs'],mkdocs,21032.0,17505.0,https://pypi.org/project/mkdocs,2021-12-15 14:53:23.599000,3527.0,645911.0,648251.0,https://anaconda.org/conda-forge/mkdocs,2021-10-13 01:18:18.279000,161495.0,1.0,,,,,,,,,,,,,,,,,,,
12,robotframework,https://github.com/robotframework/robotframework,,Generic automation framework for acceptance testing and RPA.,testing,41,True,robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000000,2022-01-12 21:00:07.000000,2022-01-12 21:00:01.000000,13226.0,173.0,1833.0,469.0,507.0,3493.0,6592.0,2021-12-15 19:00:16.000000,4.1.3,81.0,153.0,221.0,conda-forge/robotframework,,robotframework,5791.0,4777.0,https://pypi.org/project/robotframework,2021-12-15 18:57:24.000000,1014.0,749882.0,751345.0,https://anaconda.org/conda-forge/robotframework,2021-12-15 22:28:24.922000,70009.0,1.0,,514.0,,,,,,,,,,,,,,,,,
13,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,41,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-12-26 08:38:29.000000,2021-12-25 13:08:44.000000,8262.0,31.0,460.0,114.0,552.0,1247.0,5045.0,2021-11-17 00:47:47.000000,0.18.1,31.0,149.0,27.0,conda-forge/jedi,,jedi,180267.0,172008.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000000,8259.0,15838681.0,15955719.0,https://anaconda.org/conda-forge/jedi,2021-11-17 19:12:02.897000,7373451.0,1.0,,,,,,,,,,,,,,,,,,,
14,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,linters,41,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000000,2022-01-11 01:17:03.000000,2022-01-11 01:17:02.000000,2142.0,116.0,185.0,29.0,175.0,1311.0,1730.0,2021-10-11 12:42:47.000000,4.0.1,81.0,159.0,39.0,conda-forge/flake8,,flake8,258949.0,218431.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000000,40518.0,11288573.0,11341107.0,https://anaconda.org/conda-forge/flake8,2021-11-02 21:24:52.298000,3519823.0,1.0,,,,,,,,,,,,,,,,,,,
15,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,40,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2022-01-11 22:21:32.000000,2021-09-20 16:15:31.000000,1889.0,,1054.0,199.0,453.0,541.0,20852.0,2021-09-20 15:24:06.000000,4.62.3,125.0,107.0,327.0,conda-forge/tqdm,,tqdm,259465.0,238849.0,https://pypi.org/project/tqdm,2021-12-15 16:50:56.695000,20616.0,26917274.0,27056083.0,https://anaconda.org/conda-forge/tqdm,2021-09-20 17:51:38.361000,9288891.0,1.0,,8132.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2021-10-30 01:39:15.438974,2.0,3957.0,,,,,,,,,,,,
16,mkdocs-material,https://github.com/squidfunk/mkdocs-material,,Technical documentation that just works.,documentation,40,True,squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000000,2022-01-12 21:20:50.000000,2022-01-12 21:19:48.000000,3955.0,286.0,1960.0,86.0,1716.0,1246.0,8469.0,2022-01-11 09:24:23.000000,8.1.6,236.0,141.0,7.0,conda-forge/mkdocs-material,['mkdocs'],mkdocs-material,11664.0,10576.0,https://pypi.org/project/mkdocs-material,2022-01-11 09:24:23.000000,1088.0,659207.0,661646.0,https://anaconda.org/conda-forge/mkdocs-material,2022-01-11 15:10:33.074000,78048.0,1.0,,,,,,,,,,,,,,,,,,,
17,isort,https://github.com/PyCQA/isort,,A Python utility / library to sort imports.,formatters,40,True,PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000000,2022-01-07 06:54:34.000000,2022-01-07 06:54:33.000000,3876.0,57.0,432.0,39.0,835.0,1004.0,4437.0,2021-11-09 05:43:22.000000,5.10.1,132.0,254.0,37.0,conda-forge/isort,,isort,227358.0,213052.0,https://pypi.org/project/isort,2021-11-09 05:42:44.000000,14306.0,13828941.0,13869922.0,https://anaconda.org/conda-forge/isort,2021-11-09 08:52:00.919000,2704792.0,2.0,,,,,,,,,,,,,,,,,,,
18,virtualenv,https://github.com/pypa/virtualenv,,Virtual Python Environment builder.,virtual-envs,40,True,pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000000,2022-01-05 08:32:48.000000,2022-01-03 18:47:29.000000,501.0,55.0,924.0,156.0,1074.0,1134.0,4035.0,2022-01-02 15:54:47.000000,20.13.0,179.0,223.0,63.0,conda-forge/virtualenv,,virtualenv,17648.0,,https://pypi.org/project/virtualenv,2022-01-02 15:54:47.000000,17648.0,20381717.0,20405988.0,https://anaconda.org/conda-forge/virtualenv,2021-11-02 07:32:46.596000,1407742.0,2.0,,,,,,,,,,,,,,,,,,,
19,pylint,https://github.com/PyCQA/pylint,,Its not just a linter that annoys you!.,linters,40,True,PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000000,2022-01-13 14:05:08.000000,2022-01-13 11:26:08.000000,6292.0,333.0,802.0,75.0,1799.0,3138.0,3759.0,2021-12-03 17:31:36.000000,2.12.2,132.0,435.0,771.0,conda-forge/pylint,,pylint,20833.0,,https://pypi.org/project/pylint,2021-12-03 17:31:36.000000,20833.0,7810276.0,7848740.0,https://anaconda.org/conda-forge/pylint,2021-12-03 20:37:10.043000,2500216.0,1.0,,,,,,,,,,,,,,,,,,,
20,rich,https://github.com/Textualize/rich,,Rich is a Python library for rich text and beautiful formatting in the terminal.,logging,39,True,willmcgugan/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000000,2022-01-13 14:55:58.000000,2022-01-09 10:34:27.000000,2614.0,277.0,1045.0,518.0,550.0,614.0,32236.0,2022-01-09 10:38:06.000000,11.0.0,151.0,144.0,21.0,conda-forge/rich,,rich,11591.0,10294.0,https://pypi.org/project/rich,2022-01-09 10:34:53.000000,1297.0,2668141.0,2699777.0,https://anaconda.org/conda-forge/rich,2022-01-09 13:49:50.650000,569458.0,1.0,,,,,,,,Textualize/rich,,,,,,,,,,,
21,poetry,https://github.com/python-poetry/poetry,,Python dependency management and packaging made easy.,dependency-managers,39,True,python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000000,2022-01-11 10:26:01.000000,2022-01-11 09:23:09.000000,2001.0,116.0,1461.0,164.0,1419.0,2328.0,17834.0,2021-11-28 06:15:58.000000,1.1.12,142.0,320.0,1252.0,conda-forge/poetry,,poetry,113.0,,https://pypi.org/project/poetry,2021-11-28 06:15:58.000000,113.0,4013408.0,4243859.0,https://anaconda.org/conda-forge/poetry,2021-12-14 16:53:47.809000,352943.0,2.0,,10173561.0,,,,,,,,,,,,,,,,,
22,hypothesis,https://github.com/HypothesisWorks/hypothesis,,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",testing,39,True,HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000000,2022-01-12 12:40:09.000000,2022-01-08 14:59:57.000000,11310.0,286.0,479.0,65.0,2011.0,1147.0,5607.0,2022-01-08 15:00:19.000000,hypothesis-python-6.35.0,919.0,255.0,55.0,conda-forge/hypothesis,,hypothesis,12832.0,10974.0,https://pypi.org/project/hypothesis,2022-01-08 15:00:02.000000,1858.0,1819917.0,1897900.0,https://anaconda.org/conda-forge/hypothesis,2022-01-08 19:15:47.070000,5146907.0,1.0,,,,,,,,,,,,,,,,,,,
23,conda,https://github.com/conda/conda,,"OS-agnostic, system-level binary package manager and ecosystem.",dependency-managers,39,True,conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000000,2022-01-13 13:24:56.000000,2022-01-11 13:02:32.000000,15797.0,46.0,1100.0,195.0,2918.0,6424.0,4464.0,2021-11-22 18:47:32.000000,4.11.0,100.0,375.0,1847.0,conda-forge/conda,,conda,1087.0,,https://pypi.org/project/conda,2017-04-22 23:38:35.000000,1087.0,70967.0,440865.0,https://anaconda.org/conda-forge/conda,2021-11-23 11:16:29.692000,24043378.0,2.0,,,,,,,,,,,,,,,,,,,
24,yapf,https://github.com/google/yapf,,A formatter for Python files.,formatters,38,True,google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000000,2022-01-11 21:24:39.000000,2022-01-11 21:24:36.000000,1185.0,45.0,840.0,211.0,254.0,390.0,12250.0,2020-04-23 19:07:36.000000,0.30.0,68.0,135.0,342.0,conda-forge/yapf,,yapf,29643.0,27554.0,https://pypi.org/project/yapf,2021-12-26 07:48:00.000000,2089.0,1387998.0,1401644.0,https://anaconda.org/conda-forge/yapf,2022-01-06 16:55:17.692000,914310.0,2.0,,,,,,,,,,,,,,,,,,,
25,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,packaging,37,True,pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000000,2022-01-13 07:16:18.000000,2022-01-12 20:46:10.000000,8246.0,67.0,1755.0,231.0,1859.0,4080.0,8745.0,2022-01-12 20:14:21.000000,4.8,34.0,417.0,314.0,conda-forge/pyinstaller,,pyinstaller,129.0,,https://pypi.org/project/pyinstaller,2022-01-12 18:53:31.000000,129.0,581755.0,593321.0,https://anaconda.org/conda-forge/pyinstaller,2022-01-13 01:13:26.805000,286211.0,1.0,10.0,723025.0,,,,,,,,,,,,,,,,,
26,pycodestyle,https://github.com/PyCQA/pycodestyle,,Simple Python style checker in one Python file.,linters,37,True,PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000000,2022-01-03 22:37:19.000000,2022-01-03 22:35:35.000000,1271.0,25.0,614.0,121.0,401.0,556.0,4473.0,2021-10-11 00:56:25.000000,2.8.0,13.0,131.0,113.0,conda-forge/pycodestyle,,pycodestyle,195180.0,183942.0,https://pypi.org/project/pycodestyle,2021-10-11 00:56:25.000000,11238.0,16195749.0,16250789.0,https://anaconda.org/conda-forge/pycodestyle,2021-10-11 20:03:59.620000,3687721.0,1.0,,,,,,,,,,,,,,,,,,,
27,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,37,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000000,2022-01-13 11:26:21.000000,2022-01-13 07:40:56.000000,2060.0,8.0,392.0,38.0,971.0,1248.0,2557.0,2022-01-10 16:56:12.000000,4.0.0a10,126.0,254.0,136.0,conda-forge/tox,['pytest'],tox,73012.0,52627.0,https://pypi.org/project/tox,2022-01-04 10:00:51.000000,20385.0,3488601.0,3496261.0,https://anaconda.org/conda-forge/tox,2021-12-29 15:02:18.880000,398361.0,1.0,,,,,,,,,,,,,,,,,,,
28,sentry-sdk,https://github.com/getsentry/sentry-python,,The new Python SDK for Sentry.io.,logging,37,True,getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000000,2022-01-13 13:45:31.000000,2022-01-12 13:08:59.000000,1333.0,32.0,260.0,42.0,711.0,523.0,1124.0,2022-01-10 13:55:39.000000,1.5.2,138.0,116.0,78.0,conda-forge/sentry-sdk,,sentry-sdk,17851.0,16911.0,https://pypi.org/project/sentry-sdk,2022-01-10 13:55:36.000000,940.0,10831775.0,10835081.0,https://anaconda.org/conda-forge/sentry-sdk,2022-01-10 16:35:34.270000,121237.0,1.0,,4531.0,,,,,,,,,,,,,,,,,
29,Glances,https://github.com/nicolargo/glances,,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",profiling,36,True,nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000000,2022-01-02 08:35:47.000000,2022-01-02 08:34:35.000000,4221.0,70.0,1265.0,494.0,520.0,1230.0,19789.0,2021-11-29 13:01:08.000000,3.2.4.2,78.0,152.0,210.0,conda-forge/glances,,glances,417.0,367.0,https://pypi.org/project/glances,2021-11-22 10:55:51.000000,50.0,135800.0,137950.0,https://anaconda.org/conda-forge/glances,2021-11-20 23:54:35.274000,149892.0,1.0,,706.0,,,,,,,,,,,,,,,,,
30,pre-commit,https://github.com/pre-commit/pre-commit,,A framework for managing and maintaining multi-language pre-commit hooks.,others,36,True,pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000000,2022-01-10 21:17:43.000000,2022-01-10 21:17:42.000000,2142.0,56.0,519.0,80.0,857.0,1299.0,7203.0,2021-11-30 23:21:06.000000,2.16.0,164.0,129.0,23.0,conda-forge/pre-commit,,pre-commit,2728.0,,https://pypi.org/project/pre-commit,2021-11-30 23:17:09.000000,2728.0,3178710.0,3211192.0,https://anaconda.org/conda-forge/pre-commit,2021-12-01 17:32:37.464000,928085.0,1.0,,24965.0,,,,,,,,,,,,,,,,,
31,autopep8,https://github.com/hhatto/autopep8,,A tool that automatically formats Python code to conform to the PEP 8 style guide.,formatters,36,True,hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000000,2022-01-11 14:21:36.000000,2021-10-30 04:18:06.000000,2730.0,7.0,253.0,67.0,191.0,340.0,3975.0,2021-10-24 07:01:21.000000,1.6.0,68.0,51.0,92.0,conda-forge/autopep8,,autopep8,107712.0,102105.0,https://pypi.org/project/autopep8,2021-10-24 06:47:35.000000,5607.0,2206368.0,2215190.0,https://anaconda.org/conda-forge/autopep8,2021-10-26 17:07:50.178000,591085.0,3.0,,,,,,,,,,,,,,,,,,,
32,rope,https://github.com/python-rope/rope,,a python refactoring library.,refactoring,36,True,python-rope/rope,https://github.com/python-rope/rope,LGPL-3.0,2013-11-30 15:30:20.000000,2021-12-20 03:34:57.000000,2021-12-20 03:34:42.000000,2285.0,91.0,149.0,25.0,204.0,162.0,1259.0,2021-11-22 15:09:58.000000,0.22.0,69.0,68.0,72.0,conda-forge/rope,,rope,35508.0,33924.0,https://pypi.org/project/rope,2021-12-15 13:42:34.748000,1584.0,489790.0,500568.0,https://anaconda.org/conda-forge/rope,2021-11-22 17:32:33.372000,614388.0,1.0,,,,,,,,,,,,,,,,,,,
33,pytest-cov,https://github.com/pytest-dev/pytest-cov,,Coverage plugin for pytest.,testing,36,True,pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000000,2022-01-03 21:08:47.000000,2021-12-21 17:09:57.000000,868.0,7.0,165.0,34.0,209.0,204.0,1170.0,2021-10-04 01:48:57.000000,3.0.0,43.0,74.0,110.0,conda-forge/pytest-cov,['pytest'],pytest-cov,138323.0,110144.0,https://pypi.org/project/pytest-cov,2021-10-04 01:48:57.000000,28179.0,9205972.0,9268196.0,https://anaconda.org/conda-forge/pytest-cov,2021-10-04 14:17:04.977000,4355695.0,1.0,,,,,,,,,,,,,,,,,,,
34,packaging,https://github.com/pypa/packaging,,Core utilities for Python packages.,packaging,36,True,pypa/packaging,https://github.com/pypa/packaging,BSD-2-Clause,2014-05-15 22:49:43.000000,2021-12-22 22:46:04.000000,2021-11-18 00:38:55.000000,529.0,16.0,175.0,28.0,277.0,165.0,364.0,2021-11-18 00:41:06.000000,21.3,39.0,72.0,66.0,conda-forge/packaging,,packaging,314807.0,297962.0,https://pypi.org/project/packaging,2021-11-18 00:39:10.000000,16845.0,83921470.0,84097008.0,https://anaconda.org/conda-forge/packaging,2021-11-18 12:50:05.153000,11760581.0,1.0,,214.0,,,,,,,,,,,,,,,,,
35,buildbot,https://github.com/buildbot/buildbot,,Python-based continuous integration testing framework; your pull requests are more than welcome!.,build-tools,35,True,buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000000,2022-01-13 00:48:48.000000,2022-01-10 18:18:55.000000,22412.0,120.0,1560.0,201.0,4912.0,753.0,4753.0,2021-10-16 08:31:36.000000,3.4.0,116.0,805.0,634.0,conda-forge/buildbot,,buildbot,718.0,261.0,https://pypi.org/project/buildbot,2021-10-16 08:31:36.000000,457.0,57580.0,59632.0,https://anaconda.org/conda-forge/buildbot,2021-10-16 13:45:45.804000,48183.0,1.0,,18810.0,,,,,,,,,,,,,,,,,
36,wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,,The strictest and most opinionated python linter ever!.,linters,35,True,wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,MIT,2018-03-09 21:04:25.000000,2022-01-12 09:07:20.000000,2022-01-12 09:07:14.000000,1990.0,92.0,314.0,24.0,1339.0,910.0,1733.0,2021-12-13 20:48:04.000000,0.16.0,53.0,163.0,81.0,,,wemake-python-styleguide,939.0,915.0,https://pypi.org/project/wemake-python-styleguide,2021-12-13 20:48:04.000000,24.0,69648.0,69648.0,,,,1.0,,,,,,,,,,,,,,,,,,,
37,twine,https://github.com/pypa/twine,,Utilities for interacting with PyPI.,build-tools,35,True,pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000000,2022-01-05 09:03:32.000000,2021-12-31 13:40:18.000000,1017.0,30.0,254.0,30.0,459.0,354.0,1206.0,2021-12-07 11:51:46.000000,3.7.1,47.0,104.0,37.0,conda-forge/twine,,twine,64210.0,52255.0,https://pypi.org/project/twine,2021-12-07 11:46:01.000000,11955.0,2186445.0,2192373.0,https://anaconda.org/conda-forge/twine,2021-12-07 15:46:27.788000,385331.0,1.0,,,,,,,,,,,,,,,,,,,
38,pyflakes,https://github.com/PyCQA/pyflakes,,A simple program which checks Python source files for errors.,linters,35,True,PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000000,2021-12-27 13:49:28.000000,2021-12-24 21:39:26.000000,518.0,2.0,158.0,27.0,248.0,362.0,1098.0,2021-10-06 20:39:49.000000,2.4.0,33.0,79.0,84.0,conda-forge/pyflakes,,pyflakes,126778.0,113192.0,https://pypi.org/project/pyflakes,2021-10-06 20:39:49.000000,13586.0,11556101.0,11608746.0,https://anaconda.org/conda-forge/pyflakes,2021-10-07 19:30:05.408000,3527226.0,1.0,,,,,,,,,,,,,,,,,,,
39,pytest-xdist,https://github.com/pytest-dev/pytest-xdist,,pytest plugin for distributed testing and loop-on-failures testing modes.,testing,35,True,pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000000,2022-01-11 10:22:29.000000,2022-01-11 10:22:27.000000,962.0,48.0,158.0,45.0,287.0,254.0,826.0,2021-12-10 11:41:55.000000,2.5.0,58.0,77.0,206.0,conda-forge/pytest-xdist,['pytest'],pytest-xdist,4498.0,,https://pypi.org/project/pytest-xdist,2021-12-10 11:41:55.000000,4498.0,4161260.0,4195223.0,https://anaconda.org/conda-forge/pytest-xdist,2021-12-10 14:46:36.827000,2241611.0,2.0,,,,,,,,,,,,,,,,,,,
